NAZIV PROIZVODA,ŠIFRA PROIZVODA,MARKA PROIZVODA,NETO KOLIČINA,JEDINICA MJERE,MALOPRODAJNA CIJENA,CIJENA ZA JEDINICU MJERE,MPC ZA VRIJEME POSEBNOG OBLIKA PRODAJE,NAJNIŽA CIJENA U POSLJEDNIH 30 DANA,SIDRENA CIJENA NA 2.5.2025,BARKOD,KATEGORIJA PROIZVODA
VREĆICA TREGER LD MALA KONZUM,90538192,K PLUS,1.00 ko,ko,0.17,0.17,,,0.17,3850334524324,PROIZVODI ZA KUĆANSTVO
ORAH PEKAN GARDEN GOOD 180g,90553209,GARDEN GOOD,0.18 kg,ko,5.89,32.69,,,5.49,3838900987988,HRANA
TP VLAŽNI NATUR NEVEN 60/1,90553381,NATUR,60.02 ko,ko,0.99,0.02,,,0.99,3850334521156,TOALETNE POTREPŠTINE
MARAMICE NIVEA INTIMO ALOE WAT 15/1,90563123,NIVEA,15.00 ko,ko,4.49,0.3,,,4.49,42419884,TOALETNE POTREPŠTINE
TUBA FRUTOLINO KRUŠ/MAR 100g,90568390,LINO,0.10 kg,ko,1.65,16.5,,,1.65,3856020248123,HRANA
TUBA FRUTOLI JAB/KRUŠ/BAN 100g,90568469,LINO,0.10 kg,ko,1.65,16.5,,,1.65,3856020248093,HRANA
MEDALJONI PILEĆI LEDO 300g,90568750,LEDO,0.30 kg,ko,6.09,20.3,,,6.09,3850116039077,HRANA
ZELENA MJEŠAVINA S JEČMOM 400g LEDO,90568774,LEDO,0.40 kg,ko,3.59,8.98,,,3.59,3850116041445,HRANA
KAVA NOTA ESPRESSO DG 16/1 112g FRANCK,90569644,FRANCK NOTA,0.11 kg,ko,7.49,66.87,,,7.49,3850291053011,HRANA
BUĐOLA DALM NAR 100g MAP PIVAC,90569809,PIVAC,0.10 kg,ko,4.39,43.9,,,4.39,3858890183016,HRANA
PEČENICA DALM NAR 100g MAP PIVAC,90569810,PIVAC,0.10 kg,ko,3.89,38.9,,,3.89,3858890183467,HRANA
KOKOŠ ZA PEČENJE I KUHANJE VINDIJA,90570012,CEKIN,1.00 kg,kg,2.09,2.09,,,2.09,3850159110375,HRANA
KOKOŠ ZA PEČENJE I KUHANJE ČETVRTINE VINDIJA,90570015,CEKIN,1.00 kg,kg,2.09,2.09,,,2.09,3850159110399,HRANA
KOKOŠ ZA PEČENJE I KUHANJE POLOVICE VINDIJA,90570026,CEKIN,1.00 kg,kg,2.09,2.09,,,2.09,3850159110382,HRANA
SALATA VOĆNA MIJEŠANA MINUTE 265g,90570207,MINUTE,0.27 kg,ko,3.79,14.3,,,3.79,3850334524423,HRANA
SALATA VOĆNA ANANAS MINUTE 265g,90570215,MINUTE,0.27 kg,ko,3.79,14.3,,,3.79,3850334524430,HRANA
ŠUNKA PUR PEČ PIK 100g NAR MA,90570277,PIK,0.10 kg,ko,3.59,35.9,,,3.19,3850139522150,HRANA
JOGURT TEK 2.8% M.M .330g PET KRAVICA,90570330,KRAVICA KRALJICA,0.33 kg,ko,1.69,5.12,,,1.69,3856015324405,HRANA
PAPIR ZA PEČENJE LISTOVI FINO 16/1,90570344,FINO,16.00 ko,ko,2.99,0.19,,,2.99,5201314094838,PROIZVODI ZA KUĆANSTVO
SIR TVRDI KOCKICE 12mj100g DŽIUGAS,90570433,DŽIUGAS,0.10 kg,ko,3.19,31.9,,,3.19,4770299390583,HRANA
DŽEM MARELICA 360g PODRAVKA,90570502,PODRAVKA,0.36 kg,ko,3.09,8.58,,,2.29,3856020252441,HRANA
DŽEM MIJEŠANO VOĆE 360g PODRAVKA,90570508,PODRAVKA,0.36 kg,ko,2.75,7.64,,,2.75,3856020252274,HRANA
DŽEM MIJEŠANO VOĆE 690g PODRAVKA,90570512,PODRAVKA,0.69 kg,ko,2.9,4.2,,,2.9,3856020252304,HRANA
PEKMEZ ŠLJIVA 350g PODRAVKA,90570523,PODRAVKA,0.35 kg,ko,4.19,11.97,,,4.19,3856020252793,HRANA
DESERT SNICKERS SUPER+1 112.5g,90570922,MARS,0.11 kg,ko,2.49,22.13,,,2.49,5900951310843,HRANA
VODA MINERALNA JANA KIDS SČ 0.33L,90571815,JANA,0.33 l,ko,0.95,2.88,,,0.95,3858890876970,PIĆE
CEDEVITA NARANČA 900g,90571925,CEDEVITA,0.90 kg,ko,8.39,9.32,,,8.09,3850322014981,PIĆE
CEDEVITA LIMUN 900g,90571946,CEDEVITA,0.90 kg,ko,8.39,9.32,,,8.09,3850322015001,PIĆE
CEDEVITA NARANČA 455g,90571951,CEDEVITA,0.46 kg,ko,5.49,12.07,,,3.95,3850322014882,PIĆE
