NAZIV PROIZVODA,ŠIFRA PROIZVODA,MARKA PROIZVODA,NETO KOLIČINA,JEDINICA MJERE,MALOPRODAJNA CIJENA,CIJENA ZA JEDINICU MJERE,MPC ZA VRIJEME POSEBNOG OBLIKA PRODAJE,NAJNIŽA CIJENA U POSLJEDNIH 30 DANA,SIDRENA CIJENA NA 2.5.2025,BARKOD,KATEGORIJA PROIZVODA
CROISSANT 7DAYS MIDI KAKAO 60g,04027851,CHIPITA,0.06 kg,ko,1.05,17.5,,,1.05,7622201388409,HRANA
CROISSANT 7DAYS MINI KAKAO 60g,04028124,CHIPITA,0.06 kg,ko,1.35,22.5,,,1.35,7622202215322,HRANA
CROISSANT KAKAO 6/1 300g BAULI,04029201,BAULI,0.30 kg,ko,4.69,15.63,,,4.09,8001720645825,HRANA
CROISSANT 7DAYS MINI KAKAO 185g,04029804,CHIPITA,0.19 kg,ko,3.29,17.78,,,3.29,7622202215292,HRANA
CROISSANT 7DAYS MINI VANILIJA 185g,04029806,CHIPITA,0.19 kg,ko,3.29,17.78,,,3.29,7622202215735,HRANA
KRUPICA PŠENIČNA 400g FRANCK,04030074,FRANCK,0.40 kg,ko,2.05,5.13,,,2.05,3858881081598,HRANA
BRAŠNO GLATKO T-550 1kg MLINETA,04030487,MLINETA,1.00 kg,ko,0.75,0.75,,,0.75,3859888419025,HRANA
CORNFLAKES BRUGGEN 375g,04030488,BRUEGGEN,0.38 kg,ko,3.69,9.84,,,3.69,4008713713602,HRANA
PAHULJICE ZOBENE EXTRA 500g BRUEGGEN,04030527,BRUEGGEN,0.50 kg,ko,1.75,3.5,,,1.75,4008713702804,HRANA
PALENTA MAXX 540g  FRANCK,04030846,FRANCK,0.54 kg,ko,1.65,3.06,,,1.65,3858881083882,HRANA
PAHULJICE FITNESS NESTLE 375g,04031064,NESTLE ŽITAR,0.38 kg,ko,6.19,16.51,,,5.89,7613032853815,HRANA
TIJESTO ŠIR VALJ REZANCI S JAJIMA 400g 1147,04050105,ZLATO POLJE,0.40 kg,ko,3.19,7.98,,,3.19,3838700011470,HRANA
TIJESTO FARFALLE 31 500g ZARA,04050181,PASTA ZARA,0.50 kg,ko,1.89,3.78,,,1.89,8004350130310,HRANA
TIJESTO CHIFFERI RIGATI 55 500g ZARA,04050184,PASTA ZARA,0.50 kg,ko,1.89,3.78,,,1.89,8004350130556,HRANA
TIJESTO PENNE RIGATE 49 500g ZARA,04050187,PASTA ZARA,0.50 kg,ko,1.89,3.78,,,1.89,8004350130495,HRANA
TIJESTO VERMICELLI TAGL 80 500g ZARA,04050323,PASTA ZARA,0.50 kg,ko,1.89,3.78,,,1.89,8004350130808,HRANA
TIJESTO VERMICELLI 5 500g ZARA,04050625,PASTA ZARA,0.50 kg,ko,1.09,2.18,,,1.09,8004350130051,HRANA
TIJESTO REZAN USK MRK JAJ 400g MAROD,04050899,MARODI,0.40 kg,ko,3.19,7.98,,,3.19,3859888666214,HRANA
TJESTENINA S 4 SIRA 145g TALIAN POD,04050903,TALIANETTE,0.15 kg,ko,3.09,21.31,,,3.09,3850104231025,HRANA
TJESTENINA KARBONARA 160g PODRAVKA,04051335,TALIANETTE,0.16 kg,ko,3.09,19.31,,,3.09,3850104230943,HRANA
TIJ MAXX SPAGH 3 625G,04051337,PASTA ZARA,0.63 kg,ko,1.89,3.02,,,1.89,8004350001887,HRANA
RIŽA ZL POLJE ZA DOM JELA 1kg KUT,04060006,ZLATO POLJE,1.00 kg,ko,4.09,4.09,,,4.09,3838700540291,HRANA
RIŽA ARBORIO 1kg SCOTTI,04060048,RISO SCOTTI,1.00 kg,ko,5.99,5.99,,,5.99,8001860250378,HRANA
KAŠA JEČMENA 1kg BIVITA BOŽJAKOVINA,04065003,BOŽJAKOVINA,1.00 kg,ko,1.29,1.29,,,1.29,3859888540545,HRANA
INSTANT NES CL 100g LIM NESTLE,04070018,NESCAFE,0.10 kg,ko,8.09,80.9,,,7.09,7891000255049,HRANA
KAVA JUBILARNA MLJEV 175g VR FRANCK,04070058,JUBILARNA,0.18 kg,ko,5.49,31.37,,,5.49,3858881085589,HRANA
KAVA JUBILARNA MLJEV 400g VR FRANCK,04070059,JUBILARNA,0.40 kg,ko,10.39,25.98,,,10.39,3858881085596,HRANA
INSTANT CRONAT GOLD JACOBS 200g ST,04070073,JACOBS,0.20 kg,ko,18.79,93.95,,,16.19,8711000532904,HRANA
KIKIRIKI BEZ ULJA AROM 250g VREĆ FRA,04070234,CHIO,0.25 kg,ko,3.39,13.56,,,3.39,3856021302275,HRANA
KAVA GLORIA MLJEVENA 250g VR FRANCK,04070352,GLORIA,0.25 kg,ko,5.09,20.36,,,5.09,3858881084872,HRANA
INSTANT KAVA GOLD 100g BOČICA FRANC,04070405,FRANCK,0.10 kg,ko,6.89,68.9,,,6.89,3850291055244,HRANA
INSTANT KAVA CLASSIC LIM 100g FRANCK,04070424,FRANCK,0.10 kg,ko,5.59,55.9,,,5.59,3850291055213,HRANA
KAVA JUBIL VAC MLJEV 250g FRANCK,04070777,JUBILARNA,0.25 kg,ko,5.39,21.56,,,5.39,3858881080263,HRANA
MIX FRANCK 3U1 18g,04070786,FRANCK,0.02 kg,ko,0.49,27.22,,,0.49,3858881083646,HRANA
MIX FRANCK 2U1 15g,04070787,FRANCK,0.02 kg,ko,0.49,32.67,,,0.49,3858881083622,HRANA
KAVA LEDENA NES XPRESS MACCH 250ml,04071193,NESCAFE,0.25 l,ko,2.59,10.36,,,2.59,8445290619198,HRANA
KAVA LEDENA NES XPRESS WHITE 250ml,04071194,NESCAFE,0.25 l,ko,2.59,10.36,,,2.59,8445290618498,HRANA
ČAJ BOROVNICA FILT 55g OMOT FRANCK,04090281,FRANCK,0.06 kg,ko,3.09,56.18,,,3.09,3858881083851,HRANA
ČAJ ZELENI FILT 35g OMOT FRANCK,04090285,FRANCK,0.04 kg,ko,2.85,81.43,,,2.85,3858881083752,HRANA
ČAJ ŠUMSKO VOĆE FILT 55g OMOT FRANCK,04090288,FRANCK,0.06 kg,ko,3.09,56.18,,,3.09,3858881083813,HRANA
ČAJ EARL GREY 20X2g AHMAD,04090594,AHMAD,0.04 kg,ko,4.29,107.25,,,4.29,054881005517,HRANA
ČAJ INDIJSKI FILT OMOT 30g FRANCK,04091005,FRANCK,0.03 kg,ko,2.85,95,,,2.85,3858881082045,HRANA
ČAJ ŠIPAK FILT 20/1 60g FRANCK,04091824,FRANCK,0.06 kg,ko,2.85,47.5,,,2.09,3858881081383,HRANA
ČAJ KAMILICA FILT 20/1 20g FRANCK,04091837,FRANCK,0.02 kg,ko,2.25,112.5,,,2.25,3858881081420,HRANA
ČAJ ENGLISH BREAKFAST 50g,04095668,TWININGS,0.05 kg,ko,5.29,105.8,,,5.29,0070177077693,HRANA
PAPAR MJEŠAVINA 35g MLINAC KOTANY,04100444,KOTANYI,0.04 kg,ko,5.49,156.86,,,5.49,9001414041130,HRANA
PAPAR CRNI ZRNO 36g MLINAC KOTANY,04100446,KOTANYI,0.04 kg,ko,5.49,152.5,,,5.49,9001414041116,HRANA
SOL MORSKA SITNA 1kg KUT SOLANA,04110310,SOLANA PAG,1.00 kg,ko,1.05,1.05,,,1.05,3859888155114,HRANA
SOL SOLJENKA 250g PVC SOLANA PAG,04110352,SOLANA PAG,0.25 kg,ko,1.49,5.96,,,1.49,3859888155183,HRANA
ŠEĆER KRISTAL 1kg VIROVITICA,04121781,VIRO,1.00 kg,ko,0.99,0.99,,,0.99,3859893641008,HRANA
MED KADULJA HR 450g APIDAL,04131001,APIDAL,0.45 kg,ko,12.79,28.42,,,12.79,3859889410021,HRANA
FLIPS TIP TOP VES PRIJAT 45g,04140032,TIP TOP,0.05 kg,ko,1.35,30,,,1.35,3856021303722,HRANA
PECIVO KVIKI PERECI 100g PODRAVKA,04140144,KVIKI,0.10 kg,ko,1.35,13.5,,,1.35,3850104007217,HRANA
MRAMORNI BLOK KOLAČ 400g,04140168,JOMO,0.40 kg,ko,3.59,8.98,,,3.19,9002287000262,HRANA
MRAMORNI KUGLOF 400g,04140169,JOMO,0.40 kg,ko,3.59,8.98,,,3.19,9002287000521,HRANA
ŠTAPIĆI KVIKI 100g PODRAVKA,04140238,KVIKI,0.10 kg,ko,1.35,13.5,,,1.35,3850104007293,HRANA
DVOPEK FETTE DORATE 315g 2060 AWT,04140495,MULINO BIANCO,0.32 kg,ko,3.39,10.76,,,3.39,8076809512060,HRANA
KEKS GRANCEREALE CLASSICO 250g,04140499,BARILLA,0.25 kg,ko,2.49,9.96,,,2.49,8076809540124,HRANA
VAFL LOACKER NAPOLITANER 175g,04140669,LOACKER,0.18 kg,ko,3.09,17.66,,,2.75,8000380007219,HRANA
FLIPS BOBI 2X90g KAROLINA,04140940,BOBI,0.18 kg,ko,2.35,13.06,,,2.05,3858891590325,HRANA
BRUSCHETTE RAJČ/MASL/ORIG 70g MARETT,04141679,MARETTI,0.07 kg,ko,1.19,17,,,1.19,3800205875109,HRANA
BRUSCHETTE MIJEŠ POVRĆE 70g MARETTI,04141680,MARETTI,0.07 kg,ko,1.19,17,,,1.19,3800205875307,HRANA
NIC NAC S 125g LORENZ,04141920,LORENZ,0.13 kg,ko,3.39,27.12,,,3.19,4017100759000,HRANA
FLIPS SMOKI 130g ŠTARK,04142263,SOKO ŠTARK,0.13 kg,ko,1.59,12.23,,,1.59,8600939507087,HRANA
BISKVIT JAFFA KEKS NARANČA 150g,04144000,JAFFA,0.15 kg,ko,1.75,11.67,,,1.59,8600114000013,HRANA
BISKVIT NARANČA 125g KRAŠ,04144049,KRAŠ,0.13 kg,ko,1.75,14,,,1.75,3850102922703,HRANA
KEKS ČAJNI KOLUTIĆI 800g KRAŠ,04144062,KRAŠ,0.80 kg,ko,4.89,6.11,,,4.89,3850120700079,HRANA
POPCORN K PLUS HRUSTY SLANI 3X100g,04146103,HRUSTY,0.30 kg,ko,1.75,5.83,,,1.75,3838900841839,HRANA
KVIKI GRIC 100g PODRAVKA,04147524,KVIKI,0.10 kg,ko,1.75,17.5,,,1.75,3850104225277,HRANA
DVOPEK FETTE DORATE 315G INTEG 2060 AWT,04148000,MULINO BIANCO,0.32 kg,ko,3.39,10.76,,,3.39,8076809512077,HRANA
FLIPS BOBI 90g,04149382,BOBI,0.09 kg,ko,1.35,15,,,1.19,3858891590042,HRANA
KEKS GRANCEREALE ČOKOLADA 230g,04150462,BARILLA,0.23 kg,ko,3.59,15.61,,,3.59,8076809540155,HRANA
VAFL NAPOLITANKA ČOK PRELJ 500g KRAŠ,04150558,KRAŠ,0.50 kg,ko,8.39,16.78,,,6.29,3850102320073,HRANA
KEKS PLAZMA 300g,04150724,BAMBI,0.30 kg,ko,3.69,12.3,,,3.69,8600043000023,HRANA
VAFL JADRO 430g,04151051,JADRO,0.43 kg,ko,3.99,9.28,,,3.99,3850102522545,HRANA
KEKS PETIT BEURRE 480g KRAŠ,04151117,KRAŠ,0.48 kg,ko,3.69,7.69,,,3.69,3850102311439,HRANA
BISKVIT MILKA NARANČA 147g,04151217,MILKA,0.15 kg,ko,2.25,15.31,,,2.25,7622300479138,HRANA
KEKS DOMAĆICA ORIGINAL 300g,04151246,DOMAĆICA,0.30 kg,ko,4.39,14.63,,,3.19,3850102314126,HRANA
BISKVIT BARNI MILK 30g,04151404,BARNI,0.03 kg,ko,1.05,35,,,1.05,5906747318345,HRANA
BISKVIT BARNI CHOCO 150g,04151405,BARNI,0.15 kg,ko,4.39,29.27,,,4.39,7622300509606,HRANA
BISKVIT BARNI CHOCO 30g,04151406,BARNI,0.03 kg,ko,1.05,35,,,1.05,5906747314118,HRANA
BISKVIT BARNI MILK 150g,04151407,BARNI,0.15 kg,ko,4.39,29.27,,,4.39,7622300511814,HRANA
VAFL NAPOLIT CHOC CREAM BLOK 420g KR,04151425,KRAŠ,0.42 kg,ko,3.99,9.5,,,3.99,3850102326143,HRANA
FLIPS TIP TOP CUBICS 50g,04151533,TIP TOP,0.05 kg,ko,1.35,27,,,1.35,3856021303685,HRANA
VAFL NAPOLITANKA 840g KRAŠ,04151586,KRAŠ,0.84 kg,ko,6.19,7.37,,,6.19,3850102326150,HRANA
VAFL NAPOLITANKA NOUGAT 840g KRAŠ,04152518,KRAŠ,0.84 kg,ko,6.19,7.37,,,6.19,3850102326198,HRANA
DESERT ČOKOLADNA TORTICA 25g KRAŠ,04154813,TORTICA,0.03 kg,ko,0.69,27.6,,,0.69,3850102320011,HRANA
JUHA KOKOŠ S REZ 18g FINI MINI PODR,04160070,FINI MINI,0.02 kg,ko,0.99,55,,,0.99,3850104048296,HRANA
JUHA GOVEĐ S REZAN 18g FINI MINI,04160071,FINI MINI,0.02 kg,ko,0.99,55,,,0.99,3850104048333,HRANA
JUHA POVRTNA S TJES VREĆ 16g FINI PO,04160072,FINI MINI,0.02 kg,ko,0.99,55,,,0.99,3850104048326,HRANA
JUHA DALMATINSKA 60g PODRAVKA,04160519,PODRAVKA,0.06 kg,ko,1.25,20.83,,,1.25,3850104003837,HRANA
JUHA BEČKA 62g PODRAVKA,04161002,PODRAVKA,0.06 kg,ko,1.75,28.23,,,1.75,3850104088162,HRANA
JUHA SVATOVSKA 58g PODRAVKA,04161003,PODRAVKA,0.06 kg,ko,1.75,30.17,,,1.75,3850104004964,HRANA
JUHA KOKOŠ S TIJES 62g PODRAVKA,04162562,PODRAVKA,0.06 kg,ko,1.25,20.16,,,1.25,3850104003189,HRANA
JUHA GOVEĐ TIJES I MESO 60g PODRAVKA,04162614,PODRAVKA,0.06 kg,ko,1.75,29.17,,,1.29,3850104002410,HRANA
JUHA GOVEĐ S TIJES 65g PODRAVKA,04162627,PODRAVKA,0.07 kg,ko,1.25,19.23,,,1.25,3850104003134,HRANA
VEGETA 250g VREĆICA PODRAVKA,04163419,VEGETA,0.25 kg,ko,2.75,11,,,2.75,3850104008597,HRANA
KAŠICA INST ČOKOLINO 1kg VREĆ,04170091,LINO,1.00 kg,ko,8.99,8.99,,,8.99,3850104017537,HRANA
PAHULJ NESQ ČOK ŽIT LOPT DUO 325g,04170469,NESTLE ŽITAR,0.33 kg,ko,5.59,17.2,,,5.39,7613032028251,HRANA
PAHULJ NESQUIK 375g,04170625,NESTLE ŽITAR,0.38 kg,ko,5.59,14.91,,,5.39,5900020013668,HRANA
MUESLI TAMNA ČOKOLADA 375g DR OETKER,04171123,VITALIS,0.38 kg,ko,5.19,13.84,,,5.19,4000521002954,HRANA
KAŠICA INST ČOKOLINO 500g,04172111,LINO,0.50 kg,ko,5.99,11.98,,,5.99,3850104210259,HRANA
KAŠICA FRUTEK JAB KOLAČ 190g,04172606,FRUTEK,0.19 kg,ko,2.09,11,,,2.09,3838945511391,HRANA
MUESLI CRUNCH NATU GRAN CHOCO 350g,04172622,NATUREL,0.35 kg,ko,4.49,12.83,,,4.49,3858887245055,HRANA
MUESLI CRUNCH NATU GRAN FRUIT 350g,04172623,NATUREL,0.35 kg,ko,4.49,12.83,,,4.49,3858887245062,HRANA
CEDEVITA NARANČA 200g,04181016,CEDEVITA,0.20 kg,ko,2.75,13.75,,,2.65,3850322003527,PIĆE
CEDEVITA LIMUN 200g,04181018,CEDEVITA,0.20 kg,ko,2.75,13.75,,,2.65,3850322003534,PIĆE
BOMBON MENTOS FRUIT 38g,04190033,MENTOS,0.04 kg,ko,1.09,28.68,,,1.09,87108026,HRANA
BOMBON WERTHER'S 90g,04190350,WERTHERS,0.09 kg,ko,1.55,17.22,,,1.55,4014400908527,HRANA
BOMBON PEZ FRUIT 8.5g,04190369,PEZ,0.01 kg,ko,0.29,34.12,,,0.29,90444470,HRANA
BOMBON PEZ FIGURICE 1+2 17g,04190686,PEZ,0.02 kg,ko,3.09,181.76,,,3.09,5997255700104,HRANA
BOMBON MENTOL ZELENI 100g KANDIT,04191025,KANDIT,0.10 kg,ko,1.19,11.9,,,1.19,3858881043466,HRANA
BOMBON HARIBO CRVI 200g,04191372,HARIBO,0.20 kg,ko,3.09,15.45,,,3.09,9002975377218,HRANA
BOMBON SMARTIES 38g NESTLE,04191408,SMARTIES,0.04 kg,ko,1.69,44.47,,,1.69,7613034462961,HRANA
BOMB ORBIT FRESH MINT MINTS 28g,04191644,WRIGLEY,0.03 kg,ko,1.25,44.64,,,1.25,42211501,HRANA
BOMB ORBIT STRONG MINT MINTS 28g,04191645,WRIGLEY,0.03 kg,ko,1.25,44.64,,,1.25,42211631,HRANA
BOMBON BRONHI 100g KARAMELA KRAŠ,04191766,BRONHI,0.10 kg,ko,1.59,15.9,,,1.59,3850102516797,HRANA
BOMBON PEPERMINT 100g TVR KRAŠ,04191821,KRAŠ,0.10 kg,ko,1.55,15.5,,,1.55,3850102210312,HRANA
BOMBON MENTOS DUGINE BOJE 37.5g,04193161,MENTOS,0.04 kg,ko,1.09,29.07,,,1.09,87311396,HRANA
BOMBON 505 SA CRTOM  100g KRAŠ,04194735,KRAŠ,0.10 kg,ko,1.35,13.5,,,1.35,3850102216147,HRANA
BOMBON RONDO C CLASSIC 28 g,04195094,CEDEVITA,0.03 kg,ko,0.87,31.07,,,0.73,38502934,HRANA
LIZALICA CHUPA CHUPS FRUIT 12g,04199030,CHUPA CHUPS,0.01 kg,ko,0.49,40.83,,,0.49,84196675,HRANA
ŽV GUMA ORBIT SPEARMINT DRAŽEJE 14g,04200009,WRIGLEY,0.01 kg,ko,1.25,89.29,,,1.25,50173822,HRANA
ŽV GUMA AIRWAVES WRIG MEN&EUCAL 14g,04200043,WRIGLEY,0.01 kg,ko,1.25,89.29,,,1.25,50173167,HRANA
ŽV GUMA ORBIT WHITE 14g PLAVA,04200074,WRIGLEY,0.01 kg,ko,1.25,89.29,,,1.25,42069942,HRANA
ŽV GUMA ORBIT WHITE SPEARMINT 14g,04200201,WRIGLEY,0.01 kg,ko,1.25,89.29,,,1.25,42113164,HRANA
ŽV GUMA AIRWAVES EXTREME 14g,04200569,WRIGLEY,0.01 kg,ko,1.25,89.29,,,1.25,42189633,HRANA
ŽV GUMA AIRWAVES CRNI RIBIZL 14g,04201010,WRIGLEY,0.01 kg,ko,1.25,89.29,,,1.25,42070047,HRANA
ŽV GUMA AIRW BLACK MINT WRIG 14g,04201260,WRIGLEY,0.01 kg,ko,1.25,89.29,,,1.25,42101925,HRANA
ŽV GUMA ORBIT PEPERMINT 14g,04201410,WRIGLEY,0.01 kg,ko,1.25,89.29,,,1.25,50173204,HRANA
ŽV GUMA ORBIT BLUEBERRY 14g,04202178,WRIGLEY,0.01 kg,ko,1.25,89.29,,,1.25,42123880,HRANA
ŽV GUMA ORBIT SWEET MINT 14g,04207050,WRIGLEY,0.01 kg,ko,1.25,89.29,,,1.25,50173808,HRANA
ČOKOLADA TOBLERONE MLIJ 100g,04210054,TOBLERONE,0.10 kg,ko,3.89,38.9,,,3.89,7614500010013,HRANA
ČOKOL KINDER T 8 100g,04210063,FERRERO,0.10 kg,ko,2.35,23.5,,,2.25,80177616,HRANA
ČOKOLADA RIKI S RIŽOM  300g KANDIT,04210441,RIKI,0.30 kg,ko,7.09,23.63,,,7.09,3858881040472,HRANA
TIJES MAXX LUM RIG 053 625G,04051336,PASTA ZARA,0.63 kg,ko,1.89,3.02,,,1.89,8004350001870,HRANA
DESERT CORNY BIG ČOKOLADA 50g,04210475,SCHWARTAU,0.05 kg,ko,1.49,29.8,,,1.49,4011800586515,HRANA
DESERT ČOK LIZAL ŽIC LIZLI 15G KRAŠ,04210485,ŽIVOTINJSKO CARSTVO,0.02 kg,ko,0.87,58,,,0.87,38500633,HRANA
ČOKOL LINDT DARK EXCELL 70% 100g,04210560,LINDT,0.10 kg,ko,6.59,65.9,,,5.39,3046920022323,HRANA
ČOKOL DORINA S KEKSOM 80g,04210630,DORINA,0.08 kg,ko,2.35,29.38,,,2.35,3850102117970,HRANA
KAKAO NESQUIK PLUS 200g NESTLE,04210699,NESQUIK,0.20 kg,ko,4.19,20.95,,,4.19,5998710960729,HRANA
ČOKOL DORINA CIJ LJEŠNJAK 100g,04210993,DORINA,0.10 kg,ko,2.85,28.5,,,2.85,3850102122073,HRANA
ČOKOL DORINA RIŽA 75g NL,04211159,DORINA,0.08 kg,ko,2.35,31.33,,,2.35,3850102123681,HRANA
KAKAO KRAŠ EXPRES SP 330g KRAŠ,04211206,KRAŠ EXPRESS,0.33 kg,ko,4.99,15.12,,,4.99,3850102111152,HRANA
ČOKOL LINDT EXC DARK ORANGE 100g,04211364,LINDT,0.10 kg,ko,6.59,65.9,,,5.39,3046920028370,HRANA
ČOKOL DORINA NOISETTE 80g,04211564,DORINA,0.08 kg,ko,2.35,29.38,,,2.35,3850102125173,HRANA
ČOKOL MIKADO RIŽA 225g,04211695,MIKADO,0.23 kg,ko,4.89,21.73,,,4.19,3858888570477,HRANA
ČOKOL DORINA LEDENA 100g,04212302,DORINA,0.10 kg,ko,2.49,24.9,,,1.79,3850102117215,HRANA
ČOKOL DORINA MLIJEČNA 80g,04213178,DORINA,0.08 kg,ko,1.03,12.88,,,1.03,3850102111961,HRANA
ČOKOL MILKA ALPSKA 80g,04218065,MILKA,0.08 kg,ko,1.03,12.88,,,1.03,7622300424695,HRANA
DESERT BOUNTY 57g,04220004,MARS,0.06 kg,ko,1.75,30.7,,,1.75,5000159557771,HRANA
DESERT RAFAELO 4X16X4 40g,04220023,FERRERO,0.04 kg,ko,1.59,39.75,,,1.49,5413548040639,HRANA
DESERT KINDER JOY 20g,04220358,FERRERO,0.02 kg,ko,2.15,107.5,,,1.85,80310891,HRANA
DESERT TWIX EXTRA 75g,04220838,MARS,0.08 kg,ko,1.89,25.2,,,1.85,5900951312250,HRANA
DESERT KINDER BUENO T1 43g,04220953,FERRERO,0.04 kg,ko,1.59,36.98,,,1.49,80052760,HRANA
DESERT DUPLO KINDER 26g,04221322,FERRERO,0.03 kg,ko,1.25,48.08,,,1.05,80052357,HRANA
ČOKOLADA KINDER 50g T4,04221351,FERRERO,0.05 kg,ko,1.55,31,,,1.35,80177609,HRANA
DESERT CORNY BIG BANANA 50g,04221369,SCHWARTAU,0.05 kg,ko,1.49,29.8,,,1.49,4011800584511,HRANA
DESERT KINDER BUENO WHITE 39g,04221482,FERRERO,0.04 kg,ko,1.59,40.77,,,1.49,80761761,HRANA
DESERT RUM PLOČICE 45g,04221798,KANDIT,0.05 kg,ko,1.09,24.22,,,0.75,3858881042186,HRANA
NAMAZ LINO LADA DUO 400g ST PODRAVKA,04230107,LINO LADA,0.40 kg,ko,3.99,9.98,,,3.99,3850104019784,HRANA
NAMAZ NUTELLA 400g STAKLO,04230973,NUTELLA,0.40 kg,ko,5.89,14.73,,,5.49,80135876,HRANA
BOMBONJERA BAJADERA 200g KRAŠ,04251156,BAJADERA,0.20 kg,ko,9.99,49.95,,,9.99,3850102230044,HRANA
DESERT RAFFAELO 150g T15,04270548,FERRERO,0.15 kg,ko,5.39,35.93,,,4.99,8000500023976,HRANA
PERECI SALINIS BEZ GL 60g SCHAR,04280003,DR SCHAR,0.06 kg,ko,2.25,37.5,,,2.25,8008698002070,HRANA
ŠUMEĆE TABL MAGNEZIJ 96g NATUREL,04280421,NATUREL,0.10 kg,ko,2.75,28.65,,,2.75,3858887241743,HRANA
TIJESTO FUSILLI 98 500g BARILLA,04310039,BARILLA,0.50 kg,ko,2.35,4.7,,,2.35,8076802085981,HRANA
BOMBON HARIBO ZLATNI MEDO 100g,04340708,HARIBO,0.10 kg,ko,1.99,19.9,,,1.99,9002975301558,HRANA
BOMBON HARIBO BRESKVA 100g,04340724,HARIBO,0.10 kg,ko,1.99,19.9,,,1.99,9002975380522,HRANA
TIJESTO PENNE RIGATE 73 500g BARILLA,04360209,BARILLA,0.50 kg,ko,2.35,4.7,,,2.35,8076802085738,HRANA
BOMBON HARIBO ZLATNI MEDO 200g,04380768,HARIBO,0.20 kg,ko,3.09,15.45,,,3.09,9002975301268,HRANA
BOMBONJERA TOFFIFEE 15KOM 125g,04390185,TOFFIFEE,0.13 kg,ko,3.69,29.52,,,3.69,4014400400007,HRANA
TIJESTO BAVETTE 13 500g BARILLA,04410353,BARILLA,0.50 kg,ko,2.49,4.98,,,2.49,8076800195132,HRANA
ČOKOLADA TOBLERON ML CHUNK 35g,04420204,TOBLERONE,0.04 kg,ko,1.79,51.14,,,1.79,0000076145759,HRANA
SALVETE VIOLETA 38X38 2SL LILA 25/1,05081009,VIOLETA,25.00 ko,ko,1.99,0.08,,,1.99,3870128003651,PROIZVODI ZA KUĆANSTVO
TP VLAŽNI VIOLETA NEVEN 60/1,05081541,VIOLETA,59.99 ko,ko,2.79,0.05,,,2.79,3870128001664,TOALETNE POTREPŠTINE
SALVETE VIOLETA 38X38 2SL BEŽ 25/1,05081567,VIOLETA,25.00 ko,ko,1.99,0.08,,,1.99,3870128001183,PROIZVODI ZA KUĆANSTVO
RUPČIĆI PAP VIOLETA CLASSIC SOFT 3SL 10/1,05089927,VIOLETA,10.00 ko,ko,2.49,0.25,,,2.49,3870128000070,TOALETNE POTREPŠTINE
KRPA SPUŽV VILEDA 3/1   1030,05350092,VILEDA,3.00 ko,ko,4.79,1.6,,,4.79,3838447000072,PROIZVODI ZA KUĆANSTVO
SPUŽVA GLITZI CRYST 1/1 1017,05354913,VILEDA,1.00 ko,ko,2.05,2.05,,,2.05,3838447000294,PROIZVODI ZA KUĆANSTVO
SPUŽVA GLITZI CRYST 3/1 1031,05354939,VILEDA,3.00 ko,ko,4.99,1.66,,,4.99,3838447000331,PROIZVODI ZA KUĆANSTVO
ŠTAPIĆI RAŽ 25C 25/1 POKUPČANKA,05590106,POKUPČANKA,25.00 ko,ko,1.49,0.06,,,1.49,3858881180161,PROIZVODI ZA KUĆANSTVO
ŽIGICE ZA DOMAĆ VELIKE,05590126,EUROALP,1.00 ko,ko,1.49,1.49,,,1.75,8411442315904,PROIZVODI ZA KUĆANSTVO
BLAZINICE LOLETE SENSITIVE 85/1,06500022,LOLETE,85.03 ko,ko,1.75,0.02,,,1.75,3858881100244,TOALETNE POTREPŠTINE
HIG UL ALWAYS UL NOR PL DUO 20/1,06500030,ALWAYS P&G,20.00 ko,ko,3.45,0.17,,,3.45,8700216171311,TOALETNE POTREPŠTINE
HIG UL ALWAYS SUP+16/1 DUO 6756,06500031,ALWAYS P&G,16.00 ko,ko,3.45,0.22,,,3.45,8700216861069,TOALETNE POTREPŠTINE
HIG UL LIBRESSE INV NORM CL DUO 20/1,06500091,LIBRESSE,20.00 ko,ko,2.89,0.14,,,2.89,7322541194998,TOALETNE POTREPŠTINE
TAMPONI OB PROCOMF SUPER 16 4503,06500167,OB,16.00 ko,ko,5.59,0.35,,,5.19,3574660234541,TOALETNE POTREPŠTINE
TAMPONI OB PROCOMF NORMAL 16 4381,06500169,OB,16.00 ko,ko,5.59,0.35,,,5.19,3574660234428,TOALETNE POTREPŠTINE
HIG UL LIBRESSE MAXI GOODNIGHT DUO,06500235,LIBRESSE,20.00 ko,ko,3.69,0.18,,,3.69,7322540576450,TOALETNE POTREPŠTINE
HIG UL LIBRESSE MAXI GOODNIGHT 10/1,06502379,LIBRESSE,10.00 ko,ko,1.99,0.2,,,1.99,7322541192543,TOALETNE POTREPŠTINE
TAMPONI OB PROCOMF SUP PLUS 16,06504338,OB,16.00 ko,ko,5.59,0.35,,,5.19,3574661476391,TOALETNE POTREPŠTINE
DN UL CAREFREE ALOA 20,06505395,CAREFREE,20.00 ko,ko,2.55,0.13,,,2.49,3574660224849,TOALETNE POTREPŠTINE
DN UL LIBRESSE EXTRA 2u1 24/1,06507017,LIBRESSE,24.00 ko,ko,2.45,0.1,,,2.45,7322540062656,TOALETNE POTREPŠTINE
SAPUN TEK PALM AQUARIUM 300ml 3040,06510006,PALMOLIVE,0.30 l,ko,3.99,13.3,,,3.99,8003520013040,KOZMETIKA
