Naziv proizvoda;Šifra proizvoda;Marka proizvoda;Neto kolièina;Jedinica mjere;Maloprodajna cijena;Cijena za jedinicu mjere;Barkod;Kategorija;Najniža cijena u posljednjih 30 dana;MPC za vrijeme posebnog oblika prodaje
SKITTLES CRAZY SOURS 152g               ;646322    ;WRIGLEY        ;        0.15;kg ;        2.49;       16.38;'4009900513791';HRANA;        0.00;        0.00
SKITTLES FRUITS 152g                    ;646323    ;WRIGLEY        ;        0.15;kg ;        2.49;       16.38;'4009900482967';HRANA;        0.00;        0.00
KIKI PUNIOZA LIMETA COLA 90g            ;646650    ;KIKI           ;        0.09;kg ;        1.29;       14.33;'3850102009909';HRANA;        0.00;        0.00
ŠEÆERNA VATA 20g PAINTER                ;646817    ;BRAIN LICKER   ;        0.02;kg ;        0.77;       38.50;'5907582653202';HRANA;        0.00;        0.00
BOMBONI KAREMELA MLIJEÈNA 215g          ;646917    ;MIESZKO        ;        0.22;kg ;        1.19;        5.53;'5900353700945';HRANA;        0.00;        0.00
SKITTLES DESSERT  BOMBONI 152g          ;647329    ;WRIGLEY        ;        0.15;kg ;        2.49;       16.38;'4009900544788';HRANA;        0.00;        0.00
BOMBONI VOÆNI ŽELE 1kg                  ;651702    ;ROSHEN         ;        1.00;kg ;        5.99;        5.99;'4823077604492';HRANA;        0.00;        0.00
BOMBONI TVRDI ICE CANDY 150g            ;652617    ;MIESZKO        ;        0.15;kg ;        0.85;        5.67;'5900353507926';HRANA;        0.00;        0.00
ŠEÆERNA VUNA 50g UNICORN                ;652844    ;SLI-MET D.O.O.;        0.05;kg ;        1.25;       25.00;'5907654410191';HRANA;        0.00;        0.00
ŠEÆERNA VUNA 50g DINO                   ;652845    ;SLI-MET D.O.O.;        0.05;kg ;        1.25;       25.00;'5907654440891';HRANA;        0.00;        0.00
BOMBONI TVRDI EUKALIPTIUS 1kg           ;653588    ;MIRNA-VERIS D.O.O.;        1.00;kg ;        0.00;        3.99;'5900353500811';HRANA;        4.99;        3.99
BOMBONI RICOLA 75g ORIGINAL VREÆICA**   ;655106    ;SALVIA D.O.O.;        0.08;kg ;        2.15;       28.67;'7610700945087';HRANA;        0.00;        0.00
BOMBONI RICOLA 75g LEMON MINT VREÆICA** ;655107    ;SALVIA D.O.O.;        0.08;kg ;        2.15;       28.67;'7610700945131';HRANA;        0.00;        0.00
BOMBONI RICOLA 75g MENTHOL VREÆICA**    ;655108    ;SALVIA D.O.O.;        0.08;kg ;        2.15;       28.67;'7610700011089';HRANA;        0.00;        0.00
BOMBONI RICOLA 75g MALINA MELISA**      ;655109    ;SALVIA D.O.O.;        0.08;kg ;        2.15;       28.67;'7610700018675';HRANA;        0.00;        0.00
KIKI PUNIOZA JAGODA TWIST 90g           ;655625    ;KIKI           ;        0.09;kg ;        1.29;       14.33;'3850102015412';HRANA;        0.00;        0.00
DORINA MLIJEÈNA ÈOKOLADA 80g KRAŠ       ;01072     ;DORINA         ;        0.08;kg ;        1.03;       12.88;'3850102111961';HRANA;        0.00;        0.00
DORINA S LEDENIM PUNJENJEM 100g         ;01575     ;DORINA         ;        0.10;kg ;        0.00;       14.50;'3850102117215';HRANA;        1.99;        1.45
DORINA PUNCH 100g                       ;01599     ;DORINA         ;        0.10;kg ;        0.00;       14.50;'3850102110711';HRANA;        1.99;        1.45
TOBLERONE ÈOK.100g ALPSKA               ;02230     ;FILIR D.O.O.;        0.10;kg ;        2.99;       29.90;'7614500010013';HRANA;        0.00;        0.00
MILKA JAGODA 300g                       ;02238     ;MONDELEZ       ;        0.30;kg ;        5.99;       19.97;'7622200007769';HRANA;        0.00;        0.00
KINDER ÈOKOLADA 100g                    ;03255     ;FERRERO        ;        0.10;kg ;        1.89;       18.90;'80177616';HRANA;        0.00;        0.00
MILKA MILKINIS 100g                     ;07112     ;FILIR D.O.O.;        0.10;kg ;        2.49;       24.90;'7622300041496';HRANA;        0.00;        0.00
DORINA KEKS 80g KRAŠ                    ;103040    ;DORINA         ;        0.08;kg ;        1.89;       23.63;'3850102117970';HRANA;        0.00;        0.00
KANDIT ÈOKOLADA S RIŽOM 300g            ;107726    ;KANDIT         ;        0.30;kg ;        3.39;       11.30;'3858881040472';HRANA;        0.00;        0.00
VOLIM TE S LJEŠ.-BAD.-KAR.100g          ;121708    ;ZVEÈEVO        ;        0.10;kg ;        1.59;       15.90;'3858881065215';HRANA;        0.00;        0.00
SAMO TI S JAGODOM 100g                  ;122722    ;ZVEÈEVO        ;        0.10;kg ;        1.59;       15.90;'3858881065055';HRANA;        0.00;        0.00
MIKADO 300g S RIŽOM ZVEÈEVO             ;15217     ;ZVEÈEVO        ;        0.30;kg ;        0.00;       10.30;'3858881064201';HRANA;        4.99;        3.09
VOLIM TE S VIŠ.-JAG.-MAL.100g           ;15236     ;ZVEÈEVO        ;        0.10;kg ;        1.59;       15.90;'3858881065239';HRANA;        0.00;        0.00
SAMO TI S LJEŠNJAKOM 100g               ;15237     ;ZVEÈEVO        ;        0.10;kg ;        1.59;       15.90;'3858881065000';HRANA;        0.00;        0.00
MIKADO 75g ÈOKOLADA RIŽA                ;199546    ;ZVEÈEVO        ;        0.08;kg ;        1.49;       19.87;'3858881064256';HRANA;        0.00;        0.00
ÈOKOLADA MLIJEÈNA SEKA 75g              ;207081    ;ZVEÈEVO        ;        0.08;kg ;        1.49;       19.87;'3858881064843';HRANA;        0.00;        0.00
ÈOKOLADA MLIJEÈNA BRACO 75g             ;207082    ;ZVEÈEVO        ;        0.08;kg ;        1.49;       19.87;'3858881064874';HRANA;        0.00;        0.00
MILKA STRAWBERRY JOGHURT 100g           ;219463    ;MONDELEZ       ;        0.10;kg ;        0.00;       15.90;'7622200007332';HRANA;        2.49;        1.59
EUROCREM BLOK 50g                       ;22091     ;EUROCREM       ;        0.05;kg ;        0.65;       13.00;'8601900502032';HRANA;        0.00;        0.00
DORINA RIŽA 75g                         ;230143    ;DORINA         ;        0.08;kg ;        1.89;       25.20;'3850102123681';HRANA;        0.00;        0.00
DORINA RIŽA 220g                        ;230144    ;DORINA         ;        0.22;kg ;        4.49;       20.41;'3850102123452';HRANA;        0.00;        0.00
DORINA JAFFA 100g                       ;234715    ;DORINA         ;        0.10;kg ;        0.00;       14.50;'3850102123827';HRANA;        1.99;        1.45
DORINA NOISETTE 80g                     ;271435    ;DORINA         ;        0.08;kg ;        1.89;       23.63;'3850102125173';HRANA;        0.00;        0.00
KINDER MAXI T6*20 126g                  ;285941    ;FERRERO        ;        0.13;kg ;        2.89;       22.94;'80310167';HRANA;        0.00;        0.00
KINDER FIGURA BOŽIÆ 110g                ;298471    ;ATLANTIC TRADE d.o.o.;        0.11;kg ;        0.00;       30.45;'4008400511825';HRANA;        4.10;        3.35
MIKADO ÈOKOLADA 225g S RIŽOM            ;317325    ;ZVEÈEVO        ;        0.23;kg ;        3.89;       17.29;'3858888570477';HRANA;        0.00;        0.00
VESELA FARMA 140g  SL                   ;367150    ;EUROCREM       ;        0.14;kg ;        2.09;       14.93;'3875000050679';HRANA;        0.00;        0.00
MILKA LJEŠNJAK 80g                      ;371092    ;MONDELEZ       ;        0.08;kg ;        2.09;       26.13;'7622210043931';HRANA;        0.00;        0.00
MILKA NOISETTE 80g                      ;371095    ;MONDELEZ       ;        0.08;kg ;        2.09;       26.13;'7622210043955';HRANA;        0.00;        0.00
KANDIT MLIJEÈNA ÈOKOLADA 80g            ;374810    ;KANDIT         ;        0.08;kg ;        1.03;       12.88;'3858881046689';HRANA;        0.00;        0.00
KANDIT NUGASSO ÈOKOLADA 90g             ;374812    ;KANDIT         ;        0.09;kg ;        1.95;       21.67;'3858881046726';HRANA;        0.00;        0.00
KANDIT CONFETTINO ÈOKOLADA 100g         ;374813    ;KANDIT         ;        0.10;kg ;        1.95;       19.50;'3858881046801';HRANA;        0.00;        0.00
KANDIT LJEŠNJAK ÈOKOLADA 80g            ;374814    ;KANDIT         ;        0.08;kg ;        1.65;       20.63;'3858881046665';HRANA;        0.00;        0.00
KANDIT IDILA LJEŠNJAK 90g               ;392774    ;KANDIT         ;        0.09;kg ;        1.60;       17.78;'3858881049208';HRANA;        0.00;        0.00
KANDIT ÈOK. MILKY PLUS 90g              ;392778    ;KANDIT         ;        0.09;kg ;        1.59;       17.67;'3858881047693';HRANA;        0.00;        0.00
MILKA SCHOKO KEKS 300g                  ;395137    ;MONDELEZ       ;        0.30;kg ;        5.99;       19.97;'7622210275516';HRANA;        0.00;        0.00
M&M 200g CHOCO                          ;397679    ;MARS CHOCO     ;        0.20;kg ;        0.00;       16.80;'5900951141638';HRANA;        4.49;        3.36
DORINA MOUSSE ÈOKOLADA 95g FLOWP        ;404135    ;DORINA         ;        0.10;kg ;        0.00;       15.26;'3850102500505';HRANA;        1.99;        1.45
KINDER ÈOKOLADA T12X24 150g             ;404390    ;FERRERO        ;        0.15;kg ;        2.89;       19.27;'8000500141601';HRANA;        0.00;        0.00
DORINA LJEŠNJAK 80g FLOWPACK            ;404459    ;DORINA         ;        0.08;kg ;        1.89;       23.63;'3850102501526';HRANA;        0.00;        0.00
PRALINE PREMIUM HEDONA 160g             ;406620    ;HEDONA D.O.O.;        0.16;kg ;        9.89;       61.81;'3859892777609';HRANA;        0.00;        0.00
ÈOKOLADA YOU ARE MY HEART 300g          ;406628    ;HEDONA D.O.O.;        0.50;kg ;        8.29;       16.58;'3859892777715';HRANA;        0.00;        0.00
KANDIT TUTTI FRUTI 80g                  ;409052    ;KANDIT         ;        0.08;kg ;        1.65;       20.63;'3858881046610';HRANA;        0.00;        0.00
ÈOKOLADA SAMO TI S MALINOM 100g         ;413670    ;ZVEÈEVO        ;        0.10;kg ;        1.59;       15.90;'3858888573829';HRANA;        0.00;        0.00
DORINA MLIJEÈNA 250g FLOW               ;414616    ;DORINA         ;        0.25;kg ;        4.49;       17.96;'3850102502189';HRANA;        0.00;        0.00
DORINA NOISETTE 220g FLOW               ;414618    ;DORINA         ;        0.22;kg ;        4.49;       20.41;'3850102501984';HRANA;        0.00;        0.00
KINDER BUENO MINI 108g                  ;416294    ;FERRERO        ;        0.11;kg ;        3.69;       34.17;'8000500180709';HRANA;        0.00;        0.00
ÈOKOLADA MILKA BUBBLY MILK 90g          ;437835    ;MONDELEZ       ;        0.09;kg ;        0.00;       17.67;'7622210371638';HRANA;        2.49;        1.59
ÈOKOLADA MILKA BUBBLY WHITE 95g         ;437836    ;MONDELEZ       ;        0.09;kg ;        0.00;       17.67;'7622210371706';HRANA;        2.49;        1.59
KINDER COUNTRY 94g                      ;443264    ;FERRERO        ;        0.09;kg ;        2.79;       29.68;'8000500199985';HRANA;        0.00;        0.00
MILKA OREO 300g                         ;450040    ;MONDELEZ       ;        0.30;kg ;        5.99;       19.97;'7622210384362';HRANA;        0.00;        0.00
ÈOKOLADA SCHOGETTEN LJEŠNJAK 100g       ;509565    ;SCHOGETTEN     ;        0.10;kg ;        1.90;       19.00;'4000607851001';HRANA;        0.00;        0.00
ÈOKOLADA SCHOGETTEN NOISSETE 100g       ;509567    ;SCHOGETTEN     ;        0.10;kg ;        1.90;       19.00;'4000415851705';HRANA;        0.00;        0.00
ÈOKOLADA SCHOGETTEN BLACK AND WHITE 100G;509568    ;SCHOGETTEN     ;        0.10;kg ;        1.90;       19.00;'4000415039707';HRANA;        0.00;        0.00
ÈOKOLADA SCHOGETTEN TRILOGIA 100g       ;509569    ;SCHOGETTEN     ;        0.10;kg ;        1.90;       19.00;'4000415143800';HRANA;        0.00;        0.00
MILKA OREO COOKIES 100g                 ;518250    ;MONDELEZ       ;        0.10;kg ;        0.00;       15.90;'7622210194046';HRANA;        2.49;        1.59
ÈOKOLADA MILKA KIKIRIKI 276g            ;519966    ;MONDELEZ       ;        0.28;kg ;        5.99;       21.70;'7622210612267';HRANA;        0.00;        0.00
MILKA GROŽÐICE/LJEŠNJAK 270g            ;539969    ;MONDELEZ       ;        0.27;kg ;        5.99;       22.19;'7622210702326';HRANA;        0.00;        0.00
ÈOKOLADA MILKA TRIOLADE 280g            ;547697    ;MONDELEZ       ;        0.28;kg ;        5.99;       21.39;'7622210702623';HRANA;        0.00;        0.00
ÈOKOLADA MILKA OREO CIJELI KEKS 92g     ;549998    ;MONDELEZ       ;        0.09;kg ;        0.00;       17.28;'7622210830043';HRANA;        2.49;        1.59
ÈOKOLADA ANIDOR 70% KAKAO 85g           ;556503    ;ANIDOR         ;        0.09;kg ;        2.05;       24.12;'5941047821645';HRANA;        0.00;        0.00
ÈOKOLADA ANIDOR NARANÈA 85g             ;556504    ;ANIDOR         ;        0.09;kg ;        2.05;       24.12;'5941047821584';HRANA;        0.00;        0.00
KINDER ÈOKOLADA MINI 120g               ;563682    ;FERRERO        ;        0.12;kg ;        3.69;       30.75;'8000500256213';HRANA;        0.00;        0.00
ÈOKOLADA MERCI BAD-LJEŠ.100g            ;563896    ;STORCK         ;        0.10;kg ;        0.00;       24.50;'4014400914252';HRANA;        2.89;        2.45
ÈOKOLADA MERCI TAMNA 100g               ;563898    ;STORCK         ;        0.10;kg ;        0.00;       24.50;'4014400914276';HRANA;        2.89;        2.45
KINDER SCHOCO BONS 46g                  ;566940    ;FERRERO        ;        0.05;kg ;        1.89;       42.00;'4008400284620';HRANA;        0.00;        0.00
KINDER SCHOCOBONS WHITE 200g            ;574846    ;FERRERO        ;        0.20;kg ;        6.09;       30.45;'8000500289877';HRANA;        0.00;        0.00
DORINA 270g CHOCO MOUSSE                ;576269    ;DORINA         ;        0.27;kg ;        4.99;       18.48;'3850102517138';HRANA;        0.00;        0.00
ÈOKOLADA MILKA CHESECAKE 300g           ;576462    ;MONDELEZ       ;        0.30;kg ;        5.99;       19.97;'7622210683724';HRANA;        0.00;        0.00
KINDER HAPPY HIPPO COCOA 103,5g         ;577471    ;FERRERO        ;        0.10;kg ;        2.89;       28.06;'8000500023624';HRANA;        0.00;        0.00
MILKA NUT NOUGAT 300g                   ;577931    ;MONDELEZ       ;        0.30;kg ;        5.99;       19.97;'7622200004515';HRANA;        0.00;        0.00
ÈOKOLADA DORINA COCOLADA 98g            ;583458    ;DORINA         ;        0.10;kg ;        0.00;       14.80;'3850102516889';HRANA;        1.99;        1.45
ÈOKOLADA RIKI RIŽA ORIGINAL 75g         ;587410    ;KANDIT         ;        0.08;kg ;        1.55;       20.67;'3856024800679';HRANA;        0.00;        0.00
DORINA NAPOLITANKE 100g (2020)          ;592033    ;DORINA         ;        0.10;kg ;        1.99;       19.90;'3850102519521';HRANA;        0.00;        0.00
DORINA DOMAÆICA 105g(2020)              ;592034    ;DORINA         ;        0.11;kg ;        1.99;       18.95;'3850102519323';HRANA;        0.00;        0.00
DORINA 300g DOMAÆICA                    ;593273    ;DORINA         ;        0.30;kg ;        4.99;       16.63;'3850102519484';HRANA;        0.00;        0.00
DORINA 290g NAPOLITANKA                 ;593284    ;DORINA         ;        0.29;kg ;        4.99;       17.21;'3850102519552';HRANA;        0.00;        0.00
ÈOKOLADA RUNOLIST 100g RETRO            ;601146    ;DORINA         ;        0.10;kg ;        1.99;       19.90;'3850102514830';HRANA;        0.00;        0.00
ÈOKOLADA SCHOGETTEN TAMNA 100g          ;603218    ;SCHOGETTEN     ;        0.10;kg ;        1.90;       19.00;'4000607852008';HRANA;        0.00;        0.00
DORINA KEKS 220g                        ;606065    ;DORINA         ;        0.22;kg ;        4.49;       20.41;'3850102516285';HRANA;        0.00;        0.00
ÈOKOLADA SCHOGETTEN KIDS 100g           ;610966    ;SCHOGETTEN     ;        0.10;kg ;        1.90;       19.00;'4000607854606';HRANA;        0.00;        0.00
ÈOKOLADA KOLUMBO 100g                   ;612019    ;KOLUMBO        ;        0.10;kg ;        2.09;       20.90;'3850102521845';HRANA;        0.00;        0.00
MILKA MILKINIS 87,5g ÈOK.ŠTAPIÆI        ;61212     ;MONDELEZ       ;        0.09;kg ;        0.00;       18.07;'7622300108137';HRANA;        2.49;        1.59
ÈOKOLADA ROCHER PREMIUM MILK 90g        ;612876    ;FERRERO        ;        0.09;kg ;        2.89;       32.11;'8000500359488';HRANA;        0.00;        0.00
ÈOKOLADA RAFFAELLO 90g PREMIUM          ;613130    ;FERRERO        ;        0.09;kg ;        2.89;       32.11;'8000500359556';HRANA;        0.00;        0.00
DORINA 220g CIJELI LJEŠNJAK             ;613552    ;DORINA         ;        0.22;kg ;        4.99;       22.68;'3850102520381';HRANA;        0.00;        0.00
DORINA SJECKANI LJEŠNJAK 220g           ;613791    ;DORINA         ;        0.22;kg ;        4.49;       20.41;'3850102522323';HRANA;        0.00;        0.00
ÈOKOLADA CIJELI LJEŠNJAK 220g KANDIT    ;616953    ;KANDIT         ;        0.22;kg ;        0.00;       14.50;'3856024803946';HRANA;        4.50;        3.19
ÈOKOLADA HAZELNUT KANDI 210g            ;617288    ;KANDIT         ;        0.21;kg ;        2.99;       14.24;'3856024803885';HRANA;        0.00;        0.00
ÈOKOLADA TUTTI FRUTTI KANDI 210g        ;617289    ;KANDIT         ;        0.21;kg ;        2.99;       14.24;'3856024803908';HRANA;        0.00;        0.00
ÈOKOLADA ÈOKSA CREAMY MILK 68g          ;617294    ;ÈOKSA          ;        0.07;kg ;        1.39;       20.44;'3850102001613';HRANA;        0.00;        0.00
ÈOKOLADA ÈOKSA BANANA KEKS 68g          ;617295    ;ÈOKSA          ;        0.07;kg ;        1.39;       20.44;'3850102001606';HRANA;        0.00;        0.00
ÈOKOLADA ÈOKSA SLANI KIKIRIKI 67g       ;617298    ;ÈOKSA          ;        0.07;kg ;        1.59;       23.73;'3850102522637';HRANA;        0.00;        0.00
ÈOKOLADA SAMO TI JAGODA 250g            ;618737    ;ZVEÈEVO        ;        0.25;kg ;        3.89;       15.56;'3858881063594';HRANA;        0.00;        0.00
ÈOKOLADA KANDI ROYAL MIX NUTS 220g      ;618748    ;KANDIT         ;        0.22;kg ;        4.50;       20.45;'3856024803960';HRANA;        0.00;        0.00
MLIJEÈNA ÈOKOLADA KANDI 220g            ;618860    ;KANDIT         ;        0.22;kg ;        2.99;       13.59;'3856024803922';HRANA;        0.00;        0.00
ÈOK.SEKA I BRACO OKUS BANANA 85g        ;619294    ;ZVEÈEVO        ;        0.09;kg ;        1.49;       17.53;'3858881063556';HRANA;        0.00;        0.00
ÈOK.SEKA I BRACO MLIJEKO 85g            ;619297    ;ZVEÈEVO        ;        0.09;kg ;        1.49;       17.53;'3858881065376';HRANA;        0.00;        0.00
ÈOKOLADA MILKA NUTTY CHOCO WAFER 270g   ;625712    ;MONDELEZ       ;        0.27;kg ;        5.99;       22.19;'7622201677879';HRANA;        0.00;        0.00
EUROCREM BLOK 80g                       ;626093    ;EUROCREM       ;        0.08;kg ;        0.99;       12.38;'3875000050310';HRANA;        0.00;        0.00
ÈOKOLADA CREAMY NOISETTE 220g           ;627152    ;KANDIT         ;        0.22;kg ;        4.50;       20.45;'3856024803861';HRANA;        0.00;        0.00
KANDI WHITE MAGIC COCONUT 80g           ;635141    ;KANDIT         ;        0.08;kg ;        1.65;       20.63;'3856024804905';HRANA;        0.00;        0.00
ÈOKOLADA SALUT MLIJEÈNA 100g**          ;641510    ;SCHOGETTEN     ;        0.10;kg ;        0.90;        9.00;'4000415066000';HRANA;        0.00;        0.00
ÈOKOLADA VOLIM TE ŠUMSKO VOÆE 253g      ;642205    ;ZVEÈEVO        ;        0.24;kg ;        3.89;       16.55;'3858881062054';HRANA;        0.00;        0.00
ÈOKOLADA VOLIM TE LJEŠ.BAD.KARAMEL.253g ;642206    ;ZVEÈEVO        ;        0.25;kg ;        3.89;       15.38;'3858881062078';HRANA;        0.00;        0.00
ÈOKOLADA DORINA CREAMY HAZELNUT 98g     ;642804    ;DORINA         ;        0.10;kg ;        0.00;       14.80;'3850102005734';HRANA;        1.99;        1.45
DORINA 245g CREAMY HAZELNUT             ;642805    ;DORINA         ;        0.25;kg ;        4.99;       20.37;'3850102005758';HRANA;        0.00;        0.00
ÈOKOLADA DORINA STRAWBER.&VANIL.95g     ;642806    ;DORINA         ;        0.10;kg ;        0.00;       15.26;'3850102009947';HRANA;        1.99;        1.45
ÈOKOLADA DORINA PETIT BEURRE 240g       ;642808    ;DORINA         ;        0.24;kg ;        4.99;       20.79;'3850102010004';HRANA;        0.00;        0.00
DORINA 245g JAGODA VANILIJA             ;642809    ;DORINA         ;        0.25;kg ;        4.99;       20.37;'3850102010011';HRANA;        0.00;        0.00
ÈOK.EUROCREM BLOK MILKY 4*20g 80g       ;647169    ;EUROCREM       ;        0.08;kg ;        0.00;        9.88;'8601900501257';HRANA;        1.10;        0.79
ÈOKOLADA ROCHER WHITE 90g               ;647929    ;FERRERO        ;        0.09;kg ;        2.89;       32.11;'8000500359884';HRANA;        0.00;        0.00
KOKOS DESERT 180g (9X20g) VISPAK        ;648286    ;VISPAK         ;        0.18;kg ;        1.49;        8.28;'3870007047509';HRANA;        0.00;        0.00
DORINA EXTRA MILK 220g                  ;649421    ;DORINA         ;        0.22;kg ;        4.49;       20.41;'3850102012930';HRANA;        0.00;        0.00
ÈOKOLADA BAJADERA 130g KRAŠ             ;649489    ;KRAŠ d.d.;        0.13;kg ;        3.35;       25.77;'3850102013470';HRANA;        0.00;        0.00
ÈOKOLADA GRIOTTE 135g                   ;649490    ;KRAŠ d.d.;        0.14;kg ;        3.35;       24.81;'3850102013494';HRANA;        0.00;        0.00
ÈOKO MINT PRUTIÆI 200g DUPIN**          ;649498    ;HAMLET         ;        0.20;kg ;        3.49;       17.45;'5400265025063';HRANA;        0.00;        0.00
SCHOGETTEN BIJELA PISTACIJA 100g        ;650546    ;SCHOGETTEN     ;        0.10;kg ;        1.90;       19.00;'4000415852207';HRANA;        0.00;        0.00
MLIJEÈNE ÈOKOLADICE 4X15g MILLANO       ;652274    ;BARON INTERNATIONAL DOO;        0.06;kg ;        1.55;       25.83;'5905858674906';HRANA;        0.00;        0.00
ÈOKOLADNA SRCA U MREŽICI 100g BARON     ;652371    ;BARON INTERNATIONAL DOO;        0.10;kg ;        1.35;       13.50;'5905858674333';HRANA;        0.00;        0.00
DORINA CARAMEL ALMOND 250g              ;653883    ;DORINA         ;        0.25;kg ;        4.99;       19.96;'3850102010028';HRANA;        0.00;        0.00
DORINA CARAMEL ALMOND 100g              ;653884    ;DORINA         ;        0.10;kg ;        0.00;       14.50;'3850102014835';HRANA;        1.99;        1.45
DELICADORE ÈOK. BROWNIE 100g            ;653974    ;BARON INTERNATIONAL DOO;        0.10;kg ;        0.99;        9.90;'5905858670472';HRANA;        0.00;        0.00
DELICADORE ÈOK.S MLIJEÈNIM PUNJENJEM 100;653976    ;BARON INTERNATIONAL DOO;        0.10;kg ;        0.99;        9.90;'5905858670458';HRANA;        0.00;        0.00
MILKA ALPINE MILK 250g                  ;654290    ;MONDELEZ       ;        0.25;kg ;        5.99;       23.96;'7622202257827';HRANA;        0.00;        0.00
EUROCREM MIX ÈOKOLADICA 280g            ;654491    ;EUROCREM       ;        0.28;kg ;        3.29;       11.75;'8601900502773';HRANA;        0.00;        0.00
MILKA ÈOKOLADA WHITE 90g                ;655413    ;MONDELEZ       ;        0.09;kg ;        0.00;       17.67;'7622202265662';HRANA;        2.49;        1.59
MILKA ÈOKOLADA RAISINS & NUTS 90g       ;655415    ;MONDELEZ       ;        0.09;kg ;        0.00;       17.67;'7622202262739';HRANA;        2.49;        1.59
ÈOKOLADA SCHOGETTEN BLONDE ALMOND 100g  ;655448    ;SCHOGETTEN     ;        0.10;kg ;        1.45;       14.50;'4000415851309';HRANA;        0.00;        0.00
SCHOGETTEN FREEZE BURBON VANILIJA 100g  ;655460    ;SCHOGETTEN     ;        0.10;kg ;        1.45;       14.50;'4000415834005';HRANA;        0.00;        0.00
SCHOGETTEN FREEZE BRESKVA MAR. 100g     ;655461    ;SCHOGETTEN     ;        0.10;kg ;        1.45;       14.50;'4000415000554';HRANA;        0.00;        0.00
ÈOKOLADA ANGEL 85g ELLIT                ;655634    ;DUPIN d.o.o. ZAGREB;        0.09;kg ;        6.99;       82.24;'8698701043246';HRANA;        0.00;        0.00
MILKA NOISETTE 250g                     ;656016    ;FILIR D.O.O.;        0.25;kg ;        5.99;       23.96;'7622202258312';HRANA;        0.00;        0.00
MILKA TOFFE WHOLENUT 300g F             ;656033    ;FIDELIUS DISTRIBUCIJA D.O.O.;        0.30;kg ;        2.99;        9.97;'7622300134532';HRANA;        0.00;        0.00
MILKA CIJELI LJEŠNJAK 250g              ;656220    ;MONDELEZ       ;        0.25;kg ;        5.99;       23.96;'7622202273919';HRANA;        0.00;        0.00
SCHOGETTEN 100g ÈOKOLADA POPCORN        ;656448    ;DUPIN d.o.o. ZAGREB;        0.10;kg ;        1.45;       14.50;'4000415832100';HRANA;        0.00;        0.00
MILKA ÈOKOLADA  CIJELI LJEŠNJAK 95g     ;656580    ;FILIR D.O.O.;        0.10;kg ;        0.00;       20.95;'7622202264177';HRANA;        2.49;        1.99
KRAŠ SEL. ÈKOLADA ESPRESO MARTINI 130g  ;656616    ;KRAŠ d.d.;        0.13;kg ;        3.49;       26.85;'3850102015788';HRANA;        0.00;        0.00
KRAŠ SEL.ÈOK.FROZEN MARGARITA 130g      ;656618    ;KRAŠ d.d.;        0.13;kg ;        3.49;       26.85;'3850102015801';HRANA;        0.00;        0.00
ÈOKOLADA DELICADORE 100g AMARETTO       ;658285    ;BARON INTERNATIONAL DOO;        0.10;kg ;        0.00;        9.90;'5905858670533';HRANA;        1.29;        0.99
RIKI ÈOK.CORNFLAKES 95g                 ;658616    ;KANDIT         ;        0.10;kg ;        1.69;       17.79;'3856024806312';HRANA;        0.00;        0.00
RIKI ÈOKOLADA DARK 200g                 ;658631    ;KANDIT         ;        0.20;kg ;        3.85;       19.25;'3856024806213';HRANA;        0.00;        0.00
RIKI ÈOKOLADA CEREALS HONEY 230g        ;658632    ;KANDIT         ;        0.23;kg ;        3.39;       14.74;'3856024806237';HRANA;        0.00;        0.00
RIKI ÈOKOLADA POPCORN 250g              ;658633    ;KANDIT         ;        0.25;kg ;        3.39;       13.56;'3856024806299';HRANA;        0.00;        0.00
KIT KAT ÈOKOLADA HAZELNUT 99g           ;662053    ;NESTLE         ;        0.10;kg ;        2.79;       28.18;'3800020491461';HRANA;        0.00;        0.00
KIT KAT ÈOKOLADA DOUBLE CHOCOLATE 99g   ;662055    ;NESTLE         ;        0.10;kg ;        2.79;       28.18;'3800020491478';HRANA;        0.00;        0.00
KIT KAT ÈOKOLADA SALTED CARAMEL 99g     ;662056    ;NESTLE         ;        0.10;kg ;        2.79;       28.18;'3800020491508';HRANA;        0.00;        0.00
ÈOKOLADA SCHOGETTEN  POPCORN 100g       ;662568    ;DUPIN d.o.o. ZAGREB;        0.10;kg ;        1.45;       14.50;'4000415832308';HRANA;        0.00;        0.00
MILKA EXTRA WHOLE HAZELNUTS 190g        ;662651    ;MONDELEZ       ;        0.19;kg ;        4.49;       23.63;'7622202305399';HRANA;        0.00;        0.00
MILKA EXTRA ALPINE MILK 190g            ;662652    ;MONDELEZ       ;        0.19;kg ;        4.49;       23.63;'7622202305658';HRANA;        0.00;        0.00
MILKA EXTRA NOISETTE 190g               ;662653    ;MONDELEZ       ;        0.19;kg ;        4.49;       23.63;'7622202305733';HRANA;        0.00;        0.00
MILKA EXTRA LOTUS BISCOF 190g           ;662654    ;MONDELEZ       ;        0.19;kg ;        4.49;       23.63;'7622202305337';HRANA;        0.00;        0.00
KANDIT ÈOKOLADA S RIŽOM 200g            ;69577     ;KANDIT         ;        0.20;kg ;        3.79;       18.95;'3858881040458';HRANA;        0.00;        0.00
SPORT KEKS 1kg KRAŠ                     ;01525     ;KRAŠ SPORT     ;        1.00;kg ;        4.19;        4.19;'3850102311507';HRANA;        0.00;        0.00
