Naziv proizvoda;Šifra proizvoda;Marka proizvoda;Neto kolièina;Jedinica mjere;Maloprodajna cijena;Cijena za jedinicu mjere;Barkod;Kategorija;Najniža cijena u posljednjih 30 dana;MPC za vrijeme posebnog oblika prodaje
LEDENI ÈAJ ŠUMSKO VOÆE JUICY 0,5L       ;606622    ;JUICY          ;        0.50;L  ;        1.11;        2.22;'3858890977936';PIÆA;        0.00;        0.00
LEDENI ÈAJ LIMUN JUICY 0,5L             ;606623    ;JUICY          ;        0.50;L  ;        1.11;        2.22;'3858890978278';PIÆA;        0.00;        0.00
YIPPY ÈAJ BRESKVA  0,33L                ;606790    ;ATLANTIC TRADE d.o.o.;        0.33;L  ;        1.38;        4.18;'9008700200998';PIÆA;        0.00;        0.00
YIPPY ÈAJ ŠUMSKO VOÆE 0,33L             ;606791    ;ATLANTIC TRADE d.o.o.;        0.33;L  ;        1.38;        4.18;'9008700201032';PIÆA;        0.00;        0.00
STUDENA LEDENI ÈAJ BRESKVA 0,5L         ;616923    ;STUDENAC D.O.O.;        0.50;L  ;        1.06;        2.12;'3856022302045';PIÆA;        0.00;        0.00
STUDENA LEDENI ÈAJ BRUSNICA 0,5L        ;617082    ;STUDENAC D.O.O.;        0.50;L  ;        1.06;        2.12;'3856022302106';PIÆA;        0.00;        0.00
STUDENA LEDENI ÈAJ BRESKVA 1,5L         ;617219    ;STUDENAC D.O.O.;        1.50;L  ;        0.00;        0.93;'3856022302014';PIÆA;        1.29;        1.39
STUDENA LEDENI ÈAJ LIMUN 1,5L           ;617238    ;STUDENAC D.O.O.;        1.50;L  ;        0.00;        0.93;'3856022302137';PIÆA;        1.29;        1.39
LEDENI ÈAJ BRESKVA FROOTY 1,5L          ;618459    ;FROOTY         ;        0.00;   ;        1.29;        0.00;'3859892735272';PIÆA;        0.00;        0.00
LEDENI ÈAJ BRUSNICA FROOTY 1,5L         ;618460    ;FROOTY         ;        1.50;L  ;        1.29;        0.86;'3859892735289';PIÆA;        0.00;        0.00
STUDENA LEDENI ÈAJ BRUSNICA 1.5L        ;629502    ;STUDENAC D.O.O.;        1.50;L  ;        0.00;        0.93;'3856022302076';PIÆA;        1.29;        1.39
JANA LEDENI ÈAJ LIMUN 0,5L              ;643291    ;JANA           ;        0.50;L  ;        1.19;        2.38;'3856028500254';PIÆA;        0.00;        0.00
VIGO LEDENI ÈAJ 0,2L BRESKVA            ;645857    ;ZODA D.O.O.;        0.20;L  ;        0.40;        2.00;'8606108619223';PIÆA;        0.00;        0.00
JANA LEDENI ÈAJ LIMUN 1,5L              ;650185    ;JANA           ;        1.50;L  ;        1.69;        1.13;'3856028500223';PIÆA;        0.00;        0.00
JUICY LEDENI ÈAJ BRESKVA LIM 0,33L      ;650365    ;JUICY          ;        0.33;L  ;        1.15;        3.48;'3858890978520';PIÆA;        0.00;        0.00
JUICY LEDENI ÈAJ ŠUMSKO VOÆE LIM 0,33L  ;650366    ;JUICY          ;        0.33;L  ;        1.15;        3.48;'3858890978551';PIÆA;        0.00;        0.00
XIXO TEA RASPBERRY AND BLUEBERRY 0,25L  ;654313    ;HELL ENERGY ADRIA D.O.O.;        0.25;L  ;        0.69;        2.76;'5999860497547';PIÆA;        0.00;        0.00
JUICY LEDENI ÈAJ JAGODA VANILIJA 1,5L   ;655580    ;JUICY          ;        1.50;L  ;        1.79;        1.19;'3858890971354';PIÆA;        0.00;        0.00
LOL BUBBLE TEA PASSION FRUIT 0,275L     ;655966    ;SLI-MET D.O.O.;        0.27;L  ;        2.99;       11.07;'5060397352002';PIÆA;        0.00;        0.00
LOL BUBBLE TEA PEACH 0,275L             ;655967    ;SLI-MET D.O.O.;        0.28;L  ;        2.99;       10.87;'5060397351760';PIÆA;        0.00;        0.00
JANA LEDENI ÈAJ BRESKVA ZERO 1,5L       ;656078    ;JANA           ;        1.50;L  ;        1.69;        1.13;'3856028506324';PIÆA;        0.00;        0.00
XIXO CLASSIC LEMONADE 0,25L             ;656092    ;HELL ENERGY ADRIA D.O.O.;        0.25;L  ;        0.69;        2.76;'5999571055227';PIÆA;        0.00;        0.00
VINDI LEDENI ÈAJ BRESKVA 0,33L          ;656198    ;VINDIJA D.O.O.;        0.33;L  ;        0.79;        2.39;'3850108072297';PIÆA;        0.00;        0.00
VINDI LEDENI ÈAJ MANGO 0,33L            ;656199    ;VINDIJA D.O.O.;        0.33;L  ;        0.79;        2.39;'3850108072303';PIÆA;        0.00;        0.00
JUICY LEDENI ÈAJ JAGODA VANILIJA 0,5L   ;656709    ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.50;L  ;        1.14;        2.28;'3858890971330';PIÆA;        0.00;        0.00
LOL BUBBLE TEA PAPAYA 0,275mL           ;657729    ;SLI-MET D.O.O.;        0.28;L  ;        2.99;       10.87;'5060397351999';PIÆA;        0.00;        0.00
PRAGERS KOMBUCHA ORIGINAL 0,33L         ;657896    ;PRAGERS        ;        0.33;L  ;        2.99;        9.06;'8595231216440';PIÆA;        0.00;        0.00
PRAGERS KOMBUCHA MATCHA 0,33L           ;657900    ;PRAGERS        ;        0.33;L  ;        2.99;        9.06;'8595231218543';PIÆA;        0.00;        0.00
BUBBLE TEA MANGO 240g                   ;664028    ;DUPIN d.o.o. ZAGREB;        0.24;kg ;        6.49;       27.04;'4711256281735';PIÆA;        0.00;        0.00
BUBBLE TEA JAGODA 240g                  ;664030    ;DUPIN d.o.o. ZAGREB;        0.24;kg ;        6.49;       27.04;'4711256281742';PIÆA;        0.00;        0.00
JANA 1.5L LIMUN-LIMETA                  ;04377     ;JANA           ;        1.50;L  ;        1.59;        1.06;'3858884600819';PIÆA;        0.00;        0.00
JANA 0.5L LIMUN-LIMETA                  ;124154    ;JANA           ;        0.50;L  ;        1.05;        2.10;'3858884600932';PIÆA;        0.00;        0.00
JANA 0.5L JAGODA-GUAVA                  ;124155    ;JANA           ;        0.50;L  ;        1.05;        2.10;'3858884600956';PIÆA;        0.00;        0.00
