"NAZIV_PROIZVODA";"ŠIFRA_PROIZVODA";"MARKA_PROIZVODA";"NETO_KOLIÈINA";"JEDINICA_MJERE";"MALOPROD.CIJENA(EUR)";"CIJENA_ZA_JEDINICU_MJERE";"MPC_POSEB.OBLIK_PROD";"POSEB.OBLIK_PROD__ZA_JEDINICU_MJERE";"NAJNIŽA_MPC_U_30DANA";"SIDRENA_CIJENA";"BARKOD";"KATEGORIJA_PROIZVODA"
"CVJETNICE  TIP 1";"080431201";"NO BRAND";"1";"PZ";"2,29";"2,29";"0";"0";"0";"2,29";"3858891690674";"HRANA"
"CVJETNICE  TIP 1";"080431201";"NO BRAND";"1";"PZ";"2,29";"2,29";"0";"0";"0";"2,29";"3858891690971";"HRANA"
"CVJETNICE  TIP 1";"080431201";"NO BRAND";"1";"PZ";"2,29";"2,29";"0";"0";"0";"2,29";"3858891692135";"HRANA"
"CVJETNICE  TIP 1";"080431201";"NO BRAND";"1";"PZ";"2,29";"2,29";"0";"0";"0";"2,29";"3858891691398";"HRANA"
"CVJETNICE  TIP 1";"080431201";"NO BRAND";"1";"PZ";"2,29";"2,29";"0";"0";"0";"2,29";"3858891692203";"HRANA"
"CVJETNICE  TIP 2";"080431301";"NO BRAND";"1";"PZ";"7,96";"7,96";"0";"0";"0";"7,96";"3858891690865";"HRANA"
"CVJETNICE  TIP 2";"080431301";"NO BRAND";"1";"PZ";"7,96";"7,96";"0";"0";"0";"7,96";"3858891691480";"HRANA"
"CVJETNICE  TIP 2";"080431301";"NO BRAND";"1";"PZ";"7,96";"7,96";"0";"0";"0";"7,96";"3858891692135";"HRANA"
"CVJETNICE  TIP 2";"080431301";"NO BRAND";"1";"PZ";"7,96";"7,96";"0";"0";"0";"7,96";"3858891690124";"HRANA"
"CVJETNICE  TIP 3";"080431401";"NO BRAND";"1";"PZ";"1,19";"1,19";"0";"0";"0";"1,19";"3858891690827";"HRANA"
"CVJETNICE  TIP 3";"080431401";"NO BRAND";"1";"PZ";"1,19";"1,19";"0";"0";"0";"1,19";"3858891693293";"HRANA"
"CVJETNICE  TIP 3";"080431401";"NO BRAND";"1";"PZ";"1,19";"1,19";"0";"0";"0";"1,19";"3858891691497";"HRANA"
"DAGNJE CIJELE KUHANE 1000g";"910169601";"NO BRAND";"1";"KG";"7,99";"7,99";"0";"0";"0";"7,99";"8437002755515";"HRANA"
"DAGNJE OÈIŠÆENE 250g";"008170201";"ATHENA";"0,25";"KG";"2,99";"11,96";"0";"0";"0";"2,89";"8017596001337";"HRANA"
"DATELJI DEGLET NOUR 250g";"008926801";"NO BRAND";"0,25";"KG";"1,29";"5,16";"0";"0";"0";"1,29";"8005324021030";"HRANA"
"DATELJI DEGLET NOUR 250g";"008926801";"NO BRAND";"0,25";"KG";"1,29";"5,16";"0";"0";"0";"1,29";"8005324001353";"HRANA"
"DATELJI DEGLET NOUR 250g";"008926801";"NO BRAND";"0,25";"KG";"1,29";"5,16";"0";"0";"0";"1,29";"8005324021115";"HRANA"
"DATELJI DEGLET NOUR 250g";"008926801";"NO BRAND";"0,25";"KG";"1,29";"5,16";"0";"0";"0";"1,29";"8005912002137";"HRANA"
"DATELJI DEGLET NOUR 250g";"008926801";"NO BRAND";"0,25";"KG";"1,29";"5,16";"0";"0";"0";"1,29";"6194010411063";"HRANA"
"DATELJI DEGLET NOUR 250g";"008926801";"NO BRAND";"0,25";"KG";"1,29";"5,16";"0";"0";"0";"1,29";"6194001130485";"HRANA"
"DATELJI DEGLET NOUR 250g";"008926801";"NO BRAND";"0,25";"KG";"1,29";"5,16";"0";"0";"0";"1,29";"8005120011549";"HRANA"
"DATELJI DEGLET NOUR 250g";"008926801";"NO BRAND";"0,25";"KG";"1,29";"5,16";"0";"0";"0";"1,29";"6194001130430";"HRANA"
"DATELJI DEGLET NOUR 250g";"008926801";"NO BRAND";"0,25";"KG";"1,29";"5,16";"0";"0";"0";"1,29";"8059916231550";"HRANA"
"DATULJA S KOSTICOM MAZAFATI 500g";"910205401";"NO BRAND";"0,5";"KG";"2,49";"4,98";"0";"0";"0";"2,19";"3858893922421";"HRANA"
"DATULJE BEZ KOŠTICA 200g";"013860001";"NO BRAND";"0,2";"KG";"1,29";"6,45";"0";"0";"0";"1,29";"8009693001013";"HRANA"
"DATULJE BEZ KOŠTICA 200g";"013860001";"NO BRAND";"0,2";"KG";"1,29";"6,45";"0";"0";"0";"1,29";"6194001130195";"HRANA"
"DATULJE BEZ KOŠTICA 200g";"013860001";"NO BRAND";"0,2";"KG";"1,29";"6,45";"0";"0";"0";"1,29";"8001735023885";"HRANA"
"DATULJE BEZ KOŠTICA 200g";"013860001";"NO BRAND";"0,2";"KG";"1,29";"6,45";"0";"0";"0";"1,29";"8005324021115";"HRANA"
"DATULJE BEZ KOŠTICA 200g";"013860001";"NO BRAND";"0,2";"KG";"1,29";"6,45";"0";"0";"0";"1,29";"8009693007084";"HRANA"
"DATULJE BEZ KOŠTICA 200g";"013860001";"NO BRAND";"0,2";"KG";"1,29";"6,45";"0";"0";"0";"1,29";"8005912016172";"HRANA"
"DATULJE BEZ KOŠTICA 200g";"013860001";"NO BRAND";"0,2";"KG";"1,29";"6,45";"0";"0";"0";"1,29";"8059916231581";"HRANA"
"DATULJE U ÈOKOLADI 150g";"080492801";"NO BRAND";"0,15";"KG";"3,99";"26,6";"0";"0";"0";"3,99";"8005912013003";"HRANA"
"DEBRECINKA KOBASICA 320g";"910020701";"NO BRAND";"0,32";"KG";"2,89";"9,03";"0";"0";"0";"2,89";"3858884937731";"HRANA"
"DEBRECINKA KOBASICA 320g";"910020701";"NO BRAND";"0,32";"KG";"2,89";"9,03";"0";"0";"0";"2,89";"8017596129277";"HRANA"
"DEBRECINKA PIKANTNA KOBASICA 320g";"910020801";"NO BRAND";"0,32";"KG";"2,89";"9,03";"0";"0";"0";"2,89";"3858884937755";"HRANA"
"DEBRECINKA PIKANTNA KOBASICA 320g";"910020801";"NO BRAND";"0,32";"KG";"2,89";"9,03";"0";"0";"0";"2,89";"8017596129284";"HRANA"
"DENTAL STICK ZA PSE 7kom 180g";"018251301";"RADAMES";"0,18";"KG";"0,99";"5,5";"0,69";"3,83";"0,99";"0,99";"8017596077592";"PROIZVODI ZA KUÆANSTVO"
"DENTALNI KONAC 50m";"016152701";"WHITE & FRESH";"1";"PZ";"1,09";"1,09";"0";"0";"0";"1,09";"8017596102249";"KOZMETIKA"
"DEPIL.TRAKE TIJELO 30KOM + 4 MARAM";"012972501";"FIOR DI MAGNOLIA";"1";"PZ";"2,65";"2,65";"0";"0";"0";"2,65";"8017596069184";"KOZMETIKA"
"DEPIL.TRAKE ZA LICE 20KOM + 4 MARAM";"012949601";"FIOR DI MAGNOLIA";"1";"PZ";"1,29";"1,29";"0";"0";"0";"1,29";"8017596069177";"KOZMETIKA"
"DEPILACIJSKA KREMA 150 ml";"010582301";"FIOR DI MAGNOLIA";"0,15";"LT";"2,39";"15,93";"0";"0";"0";"2,19";"8017596018519";"KOZMETIKA"
"DESERT KAKAO ŠLAG PROTEIN 200g";"017628001";"DOLCIANDO";"0,2";"KG";"1,19";"5,95";"0";"0";"0";"1,19";"24101677";"HRANA"
"DESERT LJEŠNJAK ÈOKOLADA 4X100g";"900488501";"NO BRAND";"0,4";"KG";"1,79";"4,48";"0";"0";"0";"1,49";"4002971255102";"HRANA"
"DESERT PROTEIN RIŽA VANILIJA 180g";"017435301";"LAND";"0,18";"KG";"1,19";"6,61";"0";"0";"0";"1,19";"24101622";"HRANA"
"DESERT S KAKAO PRELJEVOM 6kom 100g";"012122801";"DOLCIANDO";"0,1";"KG";"0,99";"9,9";"0";"0";"0";"0,99";"8012672003304";"HRANA"
"DESERT S KAKAO PRELJEVOM 6kom 100g";"012122801";"DOLCIANDO";"0,1";"KG";"0,99";"9,9";"0";"0";"0";"0,99";"8017596100962";"HRANA"
"DESERT SIR VOÆE 6X50g";"009023701";"LAND";"0,3";"KG";"1,05";"3,5";"0";"0";"0";"1,05";"8017596015198";"HRANA"
"DESTILIRANA VODA 5l";"017650201";"NO BRAND";"5";"LT";"1,49";"0,3";"0";"0";"0";"1,49";"8007930400032";"SREDSTVA ZA ÈIŠÆENJE"
"DESTILIRANA VODA 5l";"017650201";"NO BRAND";"5";"LT";"1,49";"0,3";"0";"0";"0";"1,49";"8017596010698";"SREDSTVA ZA ÈIŠÆENJE"
"DESTILIRANA VODA 5l";"017650201";"NO BRAND";"5";"LT";"1,49";"0,3";"0";"0";"0";"1,49";"8003985211852";"SREDSTVA ZA ÈIŠÆENJE"
"DET. OSJETLJ.ROBA RUŽA/LAV.1,5l 25P";"017305401";"DEXAL";"1,5";"LT";"2,29";"1,53";"0";"0";"0";"2,29";"8017596051981";"SREDSTVA ZA ÈIŠÆENJE"
"DET. OSJETLJ.ROBA RUŽA/LAV.1,5l 25P";"017305401";"DEXAL";"1,5";"LT";"2,29";"1,53";"0";"0";"0";"2,29";"8017596061812";"SREDSTVA ZA ÈIŠÆENJE"
"DET.ZA RUBLJE AKTIVNI KISIK 3kg 50P";"017644601";"DEXAL";"3";"KG";"8,69";"2,9";"0";"0";"0";"8,69";"8017596130686";"SREDSTVA ZA ÈIŠÆENJE"
"DET.ZA RUÈNO PRANJE RUBLJA 1kg 20P";"017718201";"DEXAL";"1";"KG";"2,99";"2,99";"0";"0";"0";"2,99";"8017596130976";"SREDSTVA ZA ÈIŠÆENJE"
"DET.ZA UKLA.NEUG.MIRISA 1,98l 30P";"012554601";"DEXAL";"1,98";"LT";"3,99";"2,02";"0";"0";"0";"3,99";"8017596064684";"SREDSTVA ZA ÈIŠÆENJE"
"DETER. RUBLJE SUPERBIANCO 3l 42p";"014730601";"DEXAL";"3";"LT";"4,29";"1,43";"0";"0";"0";"4,29";"8017596061768";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽ. PRAH RUB.LAVANDA 1,5kg 25p";"017644701";"DEXAL";"1,5";"KG";"4,99";"3,33";"0";"0";"0";"4,99";"8017596130655";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽ. RUB.OBOJANO/MRLJE 2l 40P";"017570801";"DEXAL";"2";"LT";"3,59";"1,8";"0";"0";"0";"3,59";"8017596127778";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽ. RUB.OBOJANO/MRLJE 2l 40P";"017570801";"DEXAL";"2";"LT";"3,59";"1,8";"0";"0";"0";"3,59";"8017596127761";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽ. RUB.OBOJANO/MRLJE 2l 40P";"018607101";"DEXAL";"2";"LT";"3,59";"1,8";"0";"0";"0";"3,59";"8017596137920";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽ. RUB.OBOJANO/MRLJE 2l 40P";"018607101";"DEXAL";"2";"LT";"3,59";"1,8";"0";"0";"0";"3,59";"8017596137913";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽ. RUBLJE ALOE/LAVANDA.4l50P";"017474001";"DEXAL";"4";"LT";"4,99";"1,25";"0";"0";"0";"4,99";"8017596065155";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽ. RUBLJE ALOE/LAVANDA.4l50P";"017474001";"DEXAL";"4";"LT";"4,99";"1,25";"0";"0";"0";"4,99";"8017596065162";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽ. ZA RUBLJE PROTEGG. 3L 40P";"014610501";"DEXAL";"3";"LT";"3,99";"1,33";"0";"0";"0";"3,99";"8017596067890";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽ. ZA SUÐE ACETO/LIMON.1,250l";"013762301";"DEXAL";"1,25";"LT";"1,59";"1,27";"0";"0";"0";"1,59";"8017596051608";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽ. ZA SUÐE ACETO/LIMON.1,250l";"013762301";"DEXAL";"1,25";"LT";"1,59";"1,27";"0";"0";"0";"1,59";"8017596051592";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽ.POSUÐE ACETO/LIMON.1,250l";"012931801";"DEXAL";"1,25";"LT";"1,59";"1,27";"0";"0";"0";"1,59";"8017596051592";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽ.POSUÐE ACETO/LIMON.1,250l";"012931801";"DEXAL";"1,25";"LT";"1,59";"1,27";"0";"0";"0";"1,59";"8017596051608";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽ.POSUÐE LIMUN ECO REFILL 2l";"016578801";"AMO ESSERE ECO";"2";"LT";"2,99";"1,5";"0";"0";"0";"2,99";"8017596111326";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽ.POSUÐE LIMUN ZELENI 1l";"012108101";"DEXAL";"1";"LT";"2,09";"2,09";"0";"0";"0";"2,09";"8017596066084";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽ.POSUÐE LIMUN ZELENI 1l";"012108101";"DEXAL";"1";"LT";"2,09";"2,09";"0";"0";"0";"2,09";"8017596066091";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽ.PRAH RUB. CLASSIC 1,5kg 25p";"017442601";"DEXAL";"1,5";"KG";"4,99";"3,33";"0";"0";"0";"4,99";"8017596130662";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽEN ZA RUB.MARSIGLIA 1,5l 25P";"018695701";"DEXAL";"1,5";"LT";"2,29";"1,53";"0";"0";"0";"2,29";"8017596015808";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽENT OBOJANO RUBLJE 1,5l 25P";"017183101";"DEXAL";"1,5";"LT";"2,29";"1,53";"0";"0";"0";"2,29";"8017596052308";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽENT POSUÐE LIMUN 1,5l";"018340001";"DEXAL";"1,5";"LT";"1,69";"1,13";"0";"0";"0";"1,69";"8017596005106";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽENT POSUÐE LIMUN 3l";"017434701";"DEXAL";"3";"LT";"2,99";"1";"0";"0";"0";"2,99";"8017596005113";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽENT RUBLJE MARSIGLIA 4l 50P";"017473901";"DEXAL";"4";"LT";"4,99";"1,25";"0";"0";"0";"4,99";"8017596065179";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽENT ZA INOX SPREJ 500ml";"017403901";"DEXAL";"0,5";"LT";"1,69";"3,38";"0";"0";"0";"1,69";"8017596017345";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽENT ZA PEÆNICU I GRILL 500ml";"018079901";"NO BRAND";"1";"PZ";"1,99";"1,99";"0";"0";"0";"1,99";"8017596074737";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽENT ZA RUB. ARGAN 1,875l 25P";"013228501";"DEXAL";"1,875";"LT";"3,49";"1,86";"0";"0";"0";"3,49";"8017596070418";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽENT ZA RUBLJE 6,36kg 120P";"018052801";"NO BRAND";"6,36";"KG";"12,99";"2,04";"0";"0";"0";"12,99";"8410046611450";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽENT ZA RUBLJE 6,36kg 120P";"018052801";"NO BRAND";"6,36";"KG";"12,99";"2,04";"0";"0";"0";"12,99";"8410046611511";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽENT ZA RUBLJE ECO1,5l 30P";"017593801";"AMO ESSERE ECO";"1,5";"LT";"3,39";"2,26";"0";"0";"0";"3,39";"8017596111296";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽENT ZA SUÐE LIMUN 1,5l";"013401601";"DEXAL";"1,5";"LT";"1,59";"1,06";"0";"0";"0";"1,59";"8017596005106";"SREDSTVA ZA ÈIŠÆENJE"
"DETERDŽENT ZA TAMNO RUBLJE 1,5l 25P";"017163301";"DEXAL";"1,5";"LT";"2,29";"1,53";"0";"0";"0";"2,29";"8017596015792";"SREDSTVA ZA ÈIŠÆENJE"
"DEZ. SPEJ MUŠKI V.VRSTA 48H 150ml";"017426701";"NISSHE";"0,15";"LT";"1,19";"7,93";"0";"0";"0";"1,39";"8017596122735";"KOZMETIKA"
"DEZ. SPEJ MUŠKI V.VRSTA 48H 150ml";"017426701";"NISSHE";"0,15";"LT";"1,19";"7,93";"0";"0";"0";"1,39";"8017596122742";"KOZMETIKA"
"DEZ. SPEJ MUŠKI V.VRSTA 48H 150ml";"017426701";"NISSHE";"0,15";"LT";"1,19";"7,93";"0";"0";"0";"1,39";"8017596122759";"KOZMETIKA"
"DEZINFEKCIJSKO SRED. POVRŠINE 500ml";"910102001";"NO BRAND";"0,5";"LT";"2,39";"4,78";"0";"0";"0";"2,39";"3858891544304";"SREDSTVA ZA ÈIŠÆENJE"
"DEZINFEKCIJSKO SRED. RUKE 500ml";"910102101";"NO BRAND";"0,5";"LT";"2,29";"4,58";"0";"0";"0";"2,29";"3858891543994";"KOZMETIKA"
"DEZINFEKCIJSKO SRED. RUKE REFIL 1l";"910101201";"NO BRAND";"1";"LT";"3,49";"3,49";"0";"0";"0";"3,49";"3858891544007";"KOZMETIKA"
"DEZINFEKCIJSKO SRED. RUKE SPR.100ml";"910101501";"NO BRAND";"0,1";"LT";"0,99";"9,9";"0";"0";"0";"0,99";"3858891543987";"KOZMETIKA"
"DEZINFEKCIJSKO SRED.POVRŠINE REF.1l";"910101001";"NO BRAND";"1";"LT";"2,99";"2,99";"0";"0";"0";"2,99";"3858891544311";"SREDSTVA ZA ÈIŠÆENJE"
"DEZODORANS ROLL ON VIŠE V.48h 75ml";"017380301";"NEAR YOUR XXX";"0,075";"LT";"1,49";"19,87";"0";"0";"0";"1,49";"24101585";"KOZMETIKA"
"DEZODORANS ROLL ON VIŠE V.48h 75ml";"017380301";"NEAR YOUR XXX";"0,075";"LT";"1,49";"19,87";"0";"0";"0";"1,49";"24101592";"KOZMETIKA"
"DEZODORANS ROLL ON VIŠE V.48h 75ml";"017380301";"NEAR YOUR XXX";"0,075";"LT";"1,49";"19,87";"0";"0";"0";"1,49";"24101608";"KOZMETIKA"
"DEZODORANS SPEJ FRESH 48h 150ml";"017379901";"NEAR YOUR XXX";"0,15";"LT";"2,29";"15,27";"0";"0";"0";"2,29";"8017596122858";"KOZMETIKA"
"DEZODORANS STICK FRESH 48h 75ml";"017379701";"NEAR YOUR XXX";"0,075";"LT";"2,19";"29,2";"0";"0";"0";"2,19";"24101615";"KOZMETIKA"
"DEZODORANS UNIS.48H ORG/TALC 150ml";"017540701";"NEAR YOUR XXX";"0,15";"LT";"1,59";"10,6";"0";"0";"0";"1,39";"8017596122797";"KOZMETIKA"
"DEZODORANS UNIS.48H ORG/TALC 150ml";"017540701";"NEAR YOUR XXX";"0,15";"LT";"1,59";"10,6";"0";"0";"0";"1,39";"8017596122803";"KOZMETIKA"
"DEZODORANS ŽENSKI VIŠE VR. 150ml";"018582101";"FIOR DI MAGNOLIA";"0,15";"LT";"1,19";"7,93";"0";"0";"0";"1,19";"8017596138279";"KOZMETIKA"
"DEZODORANS ŽENSKI VIŠE VR. 150ml";"018582101";"FIOR DI MAGNOLIA";"0,15";"LT";"1,19";"7,93";"0";"0";"0";"1,19";"8017596138262";"KOZMETIKA"
"DEZODORANS ŽENSKI VIŠE VR. 150ml";"018582101";"FIOR DI MAGNOLIA";"0,15";"LT";"1,19";"7,93";"0";"0";"0";"1,19";"8017596138255";"KOZMETIKA"
"DIGITALNI TOPLOMJER";"016191801";"LA NUOVA PHARMACIA";"0,039";"KG";"3,29";"84,36";"0";"0";"0";"3,32";"8017596056955";"KOZMETIKA"
"DIMLJENA KOBASICA 300g";"910145601";"MEAT APPETIT";"0,3";"KG";"3,69";"12,3";"0";"0";"0";"3,69";"8017596129246";"HRANA"
"DIMLJENA MINI KOBASICA 220g";"910013101";"MEAT APPETIT";"0,22";"KG";"2,49";"11,32";"0";"0";"0";"2,49";"3858884937793";"HRANA"
"DIMLJENA MINI KOBASICA 220g";"910013101";"MEAT APPETIT";"0,22";"KG";"2,49";"11,32";"0";"0";"0";"2,49";"8017596129253";"HRANA"
"DIMLJENE KOBASICE";"900004401";"NO BRAND";"1";"KG";"7,19";"7,19";"0";"0";"0";"7,19";"";"HRANA"
"DINJA BIJELA";"080589701";"NO BRAND";"1";"KG";"2,79";"2,79";"0";"0";"0";"2,99";"";"HRANA"
"DINJA PIEL DE SAPO";"080558501";"NO BRAND";"1";"KG";"1,79";"1,79";"0";"0";"0";"2,99";"";"HRANA"
"DINJA rfz";"080025601";"NO BRAND";"1";"KG";"2,29";"2,29";"0";"0";"0";"2,99";"";"HRANA"
"DINJA ŽUTA rfz";"080025901";"NO BRAND";"1";"KG";"1,79";"1,79";"0";"0";"0";"2,99";"";"HRANA"
"DJ. KAŠ. MENU POVRÆE 190g";"900543901";"PRIME PAPPE";"0,19";"KG";"1,29";"6,79";"0,89";"4,68";"0,99";"1,29";"8017596128669";"HRANA"
"DJ.KAŠ. MENU TJESTOM/TELETINOM 190g";"900544001";"PRIME PAPPE";"0,19";"KG";"1,39";"7,32";"0,89";"4,68";"1,09";"1,39";"8017596128652";"HRANA"
"DJ.KAŠ.POV/RIŽA/JUNET 190g";"900543801";"PRIME PAPPE";"0,19";"KG";"1,39";"7,32";"0,89";"4,68";"0,99";"1,39";"8017596128676";"HRANA"
"DJE. ŠAMPANJAC SONIC JABUKA 750ML";"900610701";"NO BRAND";"0,75";"LT";"2,49";"3,32";"0";"0";"0";"2,49";"5998818568353";"PIÆE"
"DJEÈJI FLASTERI M 20kom";"016196201";"LA NUOVA PHARMACIA";"1";"PZ";"0,69";"0,69";"0";"0";"0";"0,69";"8017596056573";"KOZMETIKA"
"DJEÈJI ŠAMP.LOL JABUKA 750ML";"910188601";"NO BRAND";"0,75";"LT";"2,49";"3,32";"0";"0";"0";"2,49";"5998818566625";"PIÆE"
"DJEÈJI ŠAMP.PAW P.JAB_JAG 750ML";"900601701";"NO BRAND";"0,75";"LT";"2,49";"3,32";"0";"0";"0";"2,49";"5998818566700";"PIÆE"
"DNEVNI ULOŠCI 40kom";"015052601";"FIOR DI MAGNOLIA";"1";"PZ";"0,99";"0,99";"0";"0";"0";"0,99";"8017596075512";"KOZMETIKA"
"DNEVNI ULOŠCI 40kom";"015067401";"FIOR DI MAGNOLIA";"1";"PZ";"1,19";"1,19";"0";"0";"0";"1,19";"8017596075505";"KOZMETIKA"
"DNEVNI ULOŠCI ECO 100% PAMUK 20kom";"017284901";"AMO ESSERE ECO";"1";"PZ";"1,29";"1,29";"0";"0";"0";"1,29";"8017596120922";"KOZMETIKA"
"DNEVNI ULOŠCI MAXI 30kom";"015007401";"FIOR DI MAGNOLIA";"1";"PZ";"1,19";"1,19";"0";"0";"0";"1,19";"8017596003218";"KOZMETIKA"
"DNEVNI ULOŠCI TANKI 24kom";"015099601";"FIOR DI MAGNOLIA";"1";"PZ";"0,99";"0,99";"0";"0";"0";"0,99";"8017596075499";"KOZMETIKA"
"DODATAK JELIMA S POVRÆEM 1kg";"900454501";"DON JEREZ";"1";"KG";"2,49";"2,49";"0";"0";"0";"2,49";"8017596109699";"HRANA"
"DODATAK JELIMA S POVRÆEM 250g";"900454301";"DON JEREZ";"0,25";"KG";"0,69";"2,76";"0";"0";"0";"0,69";"8017596109675";"HRANA"
"DODATAK JELIMA S POVRÆEM 500g";"900454401";"DON JEREZ";"0,5";"KG";"1,29";"2,58";"0";"0";"0";"1,09";"8017596109682";"HRANA"
"DOKOLJENKE JOY 20 DEN CRNE 2P";"017955801";"GLISSADE";"1";"PZ";"1,99";"1,99";"0";"0";"0";"1,99";"8017596058706";"PROIZVODI ZA KUÆANSTVO"
"DOKOLJENKE JOY 20 DEN SMEDE 2P";"017949601";"GLISSADE";"1";"PZ";"1,99";"1,99";"0";"0";"0";"1,99";"8017596058713";"PROIZVODI ZA KUÆANSTVO"
"DOKOLJENKE MINI 20 DEN CRNE 2P";"017956201";"GLISSADE";"1";"PZ";"0,8";"0,8";"0";"0";"0";"0,8";"8017596058676";"PROIZVODI ZA KUÆANSTVO"
"DOKOLJENKE MINI 20 DEN DRAP 2P";"017949401";"GLISSADE";"1";"PZ";"0,8";"0,8";"0";"0";"0";"0,8";"8017596058690";"PROIZVODI ZA KUÆANSTVO"
"DOKOLJENKE MINI 20 DEN SMEDE 2P";"017955901";"NO BRAND";"1";"PZ";"0,8";"0,8";"0";"0";"0";"0,8";"8017596058683";"PROIZVODI ZA KUÆANSTVO"
"DOMAÆA JANJETINA BEZ GLAVE";"070205801";"NO BRAND";"1";"KG";"14,99";"14,99";"0";"0";"0";"14,99";"";"HRANA"
"DOMAÆA JANJETINA S GLAVOM";"070206301";"NO BRAND";"1";"KG";"12,99";"12,99";"0";"0";"0";"12,99";"";"HRANA"
"DOMAÆA KOBASICA 330g";"910099601";"NO BRAND";"0,33";"KG";"5,39";"16,33";"0";"0";"0";"5,29";"3858892090268";"HRANA"
"DOMAÆA MINI LEPINJA 110g";"910182201";"NO BRAND";"0,11";"KG";"0,49";"4,45";"0";"0";"0";"0,49";"3856016907454";"HRANA"
"DOMAÆA PILEÆA KRILA BEZ VRŠKA";"070208201";"NO BRAND";"1";"KG";"4,39";"4,39";"0";"0";"0";"4,39";"";"HRANA"
"DOMAÆA PILEÆA KRILA BEZ VRŠKA";"910122801";"NO BRAND";"1";"KG";"4,13";"4,13";"0";"0";"0";"4,13";"";"HRANA"
"DOMAÆA PILEÆA KRILA OBITELJ. PAK.";"070043801";"NO BRAND";"1";"KG";"4,19";"4,19";"0";"0";"0";"4,19";"";"HRANA"
"DOMAÆA PILEÆA PRSA BEZ KOŽE SK";"910122401";"NO BRAND";"1";"KG";"6,41";"6,41";"0";"0";"0";"6,41";"";"HRANA"
"DOMAÆA PILEÆA PRSA BEZ KOŽE SK";"070208501";"NO BRAND";"1";"KG";"5,99";"5,99";"0";"0";"0";"5,79";"";"HRANA"
"DOMAÆA PILEÆA PRSA SKK";"070208601";"NO BRAND";"1";"KG";"5,69";"5,69";"0";"0";"0";"5,69";"";"HRANA"
"DOMAÆA PILEÆA ZADNJA ÈETVRT";"070208001";"NO BRAND";"1";"KG";"3,35";"3,35";"2,19";"2,19";"3,35";"3,35";"";"HRANA"
"DOMAÆA PILEÆA ZADNJA ÈETVRT";"910123001";"NO BRAND";"1";"KG";"3,04";"3,04";"0";"0";"0";"3,04";"";"HRANA"
"DOMAÆA PILEÆI FILE CCA 2kg";"910122501";"NO BRAND";"1";"KG";"8,63";"8,63";"0";"0";"0";"8,63";"";"HRANA"
"DOMAÆA SALAMA 100g";"910081801";"NO BRAND";"0,1";"KG";"2,89";"28,9";"0";"0";"0";"2,35";"3838876025745";"HRANA"
"DOMAÆA SALAMA 500g";"910081901";"NO BRAND";"0,5";"KG";"8,49";"16,98";"0";"0";"0";"7,99";"3838876022676";"HRANA"
"DOMAÆE CARSKO MESO ZA SUŠENJE";"070200101";"NO BRAND";"1";"KG";"5,99";"5,99";"0";"0";"0";"5,29";"";"HRANA"
"DOMAÆE SVJEŽE PILE CCA 1,7-1,9kg";"910122301";"NO BRAND";"1";"KG";"3,59";"3,59";"0";"0";"0";"3,59";"";"HRANA"
"DOMAÆE SVJEŽE PILE CCA.1,5-1,6kg";"910175301";"NO BRAND";"1";"KG";"3,99";"3,99";"0";"0";"0";"3,99";"";"HRANA"
"DOMAÆE SVJEŽE PILE NA PODLOŠKU";"070209401";"NO BRAND";"1";"KG";"3,09";"3,09";"0";"0";"0";"3,09";"";"HRANA"
"DOMAÆI BIJELI KRUH 400g";"910117501";"NO BRAND";"0,4";"KG";"0,79";"1,98";"0";"0";"0";"0,69";"3858881509399";"HRANA"
