"NAZIV_PROIZVODA";"ŠIFRA_PROIZVODA";"MARKA_PROIZVODA";"NETO_KOLIÈINA";"JEDINICA_MJERE";"MALOPROD.CIJENA(EUR)";"CIJENA_ZA_JEDINICU_MJERE";"MPC_POSEB.OBLIK_PROD";"POSEB.OBLIK_PROD__ZA_JEDINICU_MJERE";"NAJNIŽA_MPC_U_30DANA";"SIDRENA_CIJENA";"BARKOD";"KATEGORIJA_PROIZVODA"
"MAJONEZA VREÆICA 85g";"900469201";"SUNNY NATURE";"0,085";"KG";"0,55";"6,47";"0";"0";"0";"0,55";"8017596112217";"HRANA"
"MAKOVNJAÈA 500g S&G";"910144701";"NO BRAND";"0,5";"KG";"3,79";"7,58";"0";"0";"0";"3,79";"3830056444629";"HRANA"
"MALINA KOKOS KOLAÈ 85g";"910123701";"NO BRAND";"0,085";"KG";"1,19";"14";"0";"0";"0";"1,19";"5413476993762";"HRANA"
"MALINA SMRZNUTA 400g";"900494801";"NO BRAND";"0,4";"KG";"3,69";"9,23";"0";"0";"0";"3,49";"3858891045306";"HRANA"
"MALINE 125g";"080016402";"NO BRAND";"0,125";"KG";"2,49";"19,92";"1,99";"15,92";"2,49";"2,49";"9999999999994";"HRANA"
"MALINE 125g";"080016402";"NO BRAND";"0,125";"KG";"2,49";"19,92";"1,99";"15,92";"2,49";"2,49";"3858885875759";"HRANA"
"MALINE 125g";"080016402";"NO BRAND";"0,125";"KG";"2,49";"19,92";"1,99";"15,92";"2,49";"2,49";"3859880908991";"HRANA"
"MALINE 125g";"080016402";"NO BRAND";"0,125";"KG";"2,49";"19,92";"1,99";"15,92";"2,49";"2,49";"3859892924010";"HRANA"
"MALINE 125g";"080016402";"NO BRAND";"0,125";"KG";"2,49";"19,92";"1,99";"15,92";"2,49";"2,49";"3859893161001";"HRANA"
"MALINE 125g";"080016402";"NO BRAND";"0,125";"KG";"2,49";"19,92";"1,99";"15,92";"2,49";"2,49";"8436588100443";"HRANA"
"MALINE 125g";"080016402";"NO BRAND";"0,125";"KG";"2,49";"19,92";"1,99";"15,92";"2,49";"2,49";"3859889267243";"HRANA"
"MALINE 125g";"080016402";"NO BRAND";"0,125";"KG";"2,49";"19,92";"1,99";"15,92";"2,49";"2,49";"8058056197610";"HRANA"
"MANDARINA 2,3kg";"080524201";"NO BRAND";"2,3";"KG";"2,39";"1,04";"0";"0";"0";"2,89";"3859891767380";"HRANA"
"MANDARINA rfz";"080291402";"NO BRAND";"1";"KG";"1,29";"1,29";"0";"0";"0";"1,95";"";"HRANA"
"MANDARINE 2kg";"080377601";"NO BRAND";"2";"KG";"2,19";"1,1";"0";"0";"0";"2,49";"3858885875070";"HRANA"
"MANDARINE 2kg";"080377601";"NO BRAND";"2";"KG";"2,19";"1,1";"0";"0";"0";"2,49";"8436588101136";"HRANA"
"MANDARINE 2kg";"080377601";"NO BRAND";"2";"KG";"2,19";"1,1";"0";"0";"0";"2,49";"3859891767182";"HRANA"
"MANDARINE 2kg";"080377601";"NO BRAND";"2";"KG";"2,19";"1,1";"0";"0";"0";"2,49";"8436588102294";"HRANA"
"MANDROLE KARAMELIZIRANI BADEMI 150g";"013391801";"DOLCIANDO";"0,15";"KG";"1,99";"13,27";"0";"0";"0";"1,99";"8017596054128";"HRANA"
"MANGO kom";"080229401";"NO BRAND";"0,38";"KG";"1,29";"3,39";"0";"0";"0";"1,29";"8022095003201";"HRANA"
"MANTIJE SA SIROM 700g";"910198301";"EAT EASY AND TASTY";"0,7";"KG";"4,99";"7,13";"0";"0";"0";"4,99";"8017596046475";"HRANA"
"MANTIJE SA SIROM I ŠPINATOM 700g";"910198401";"EAT EASY AND TASTY";"0,7";"KG";"4,99";"7,13";"3,99";"5,7";"4,99";"4,99";"8017596046482";"HRANA"
"MARAMICE ZA UPIJANJE BOJE 36kom";"018030401";"DEXAL";"1";"PZ";"2,59";"2,59";"1,79";"1,79";"2,59";"2,59";"8017596125552";"SREDSTVA ZA ÈIŠÆENJE"
"MARELICA SUHA 100g";"080133901";"NO BRAND";"0,1";"KG";"0,99";"9,9";"0";"0";"0";"0,99";"9999999999994";"HRANA"
"MARELICA SUHA 100g";"080133901";"NO BRAND";"0,1";"KG";"0,99";"9,9";"0";"0";"0";"0,99";"8005912011245";"HRANA"
"MARELICE SUHE BEZ KOŠTICE 200g";"012976501";"MISTER SIBAMBA";"0,2";"KG";"3,49";"17,45";"0";"0";"0";"2,49";"8017596070203";"HRANA"
"MARGARIN 250G";"910186601";"COLLINA D'ORO";"0,25";"KG";"0,89";"3,56";"0";"0";"0";"0,89";"8017596068378";"HRANA"
"MARGARIN 500G";"910186701";"COLLINA D'ORO";"0,5";"KG";"1,49";"2,98";"0";"0";"0";"1,49";"8017596133090";"HRANA"
"MASKA ZA KOSU U SPRAYU 5u1 150ml";"017791801";"COLOR LOOK";"0,15";"LT";"3,49";"23,27";"0";"0";"0";"3,39";"8017596131508";"KOZMETIKA"
"MASKA ZA KOSU U SPRAYU 5u1 150ml";"017791801";"COLOR LOOK";"0,15";"LT";"3,49";"23,27";"0";"0";"0";"3,39";"8017596077042";"KOZMETIKA"
"MASKA ZA OBNOVU KOSE 500ml";"010198201";"NEAR YOUR XXX";"0,5";"LT";"1,99";"3,98";"0";"0";"0";"1,99";"8017596051967";"KOZMETIKA"
"MASKARA ZA VOLUMEN/DULJINU";"012782401";"FIOR DI MAGNOLIA";"1";"PZ";"3,32";"3,32";"0";"0";"0";"3,32";"8017596017970";"KOZMETIKA"
"MASKARA ZA VOLUMEN/DULJINU";"012782401";"FIOR DI MAGNOLIA";"1";"PZ";"3,32";"3,32";"0";"0";"0";"3,32";"8017596069528";"KOZMETIKA"
"MASKARA ZA VOLUMEN/DULJINU";"017437701";"FIOR DI MAGNOLIA";"1";"PZ";"3,49";"3,49";"0";"0";"0";"3,49";"8017596017970";"KOZMETIKA"
"MASKARA ZA VOLUMEN/DULJINU";"017437701";"FIOR DI MAGNOLIA";"1";"PZ";"3,49";"3,49";"0";"0";"0";"3,49";"8017596069528";"KOZMETIKA"
"MASLAC 10x10g";"012952801";"LAND";"0,1";"KG";"1,49";"14,9";"1,19";"11,9";"1,49";"1,49";"8001605015217";"HRANA"
"MASLAC 10x10g";"012952801";"LAND";"0,1";"KG";"1,49";"14,9";"1,19";"11,9";"1,49";"1,49";"8017596074508";"HRANA"
"MASLAC 250g";"900494901";"LAND";"0,25";"KG";"2,49";"9,96";"0";"0";"0";"2,79";"8017596112835";"HRANA"
"MASLAC 500g";"013804401";"LAND";"0,5";"KG";"4,95";"9,9";"0";"0";"0";"5,29";"8017596075079";"HRANA"
"MASLAC BAVARSKI 250g";"010685801";"LAND";"0,25";"KG";"2,49";"9,96";"0";"0";"0";"2,49";"4008432082812";"HRANA"
"MASLAC BAVARSKI 250g";"010685801";"LAND";"0,25";"KG";"2,49";"9,96";"0";"0";"0";"2,49";"8017596072429";"HRANA"
"MASLAC BEZ LAKTOZE 200g";"016719001";"AMO ESSERE SENZA LATTOSIO";"0,2";"KG";"2,69";"13,45";"0";"0";"0";"2,69";"8017596117960";"HRANA"
"MASLAC OD KIKIRIKIJA HRSKAVI 350g";"900452701";"NO BRAND";"0,35";"KG";"2,39";"6,83";"0";"0";"0";"2,39";"3870507004965";"HRANA"
"MASLAC OD KIKIRIKIJA KREMASTI 350g";"900452601";"NO BRAND";"0,35";"KG";"2,39";"6,83";"0";"0";"0";"2,39";"3870507004958";"HRANA"
"MASLAC ZA TIJELO 250ml";"014129601";"FIOR DI MAGNOLIA";"0,25";"LT";"2,99";"11,96";"0";"0";"0";"2,99";"8017596076168";"KOZMETIKA"
"MASLINE CRNE BEZ KOŠTICE 150g";"010344701";"VARIAGUSTO";"0,15";"KG";"1,39";"9,27";"0";"0";"0";"1,39";"8017596015150";"HRANA"
"MASLINE CRNE BEZ KOŠTICE 350g/150g";"008830701";"VARIAGUSTO";"0,15";"KG";"1,39";"9,27";"0";"0";"0";"1,39";"8017596013460";"HRANA"
"MASLINE VELIKE BEZ KOŠTICE 560/260g";"014761801";"VARIAGUSTO";"0,26";"KG";"2,39";"9,19";"0";"0";"0";"2,29";"8017596009111";"HRANA"
"MASLINE ZEL BEZ KOŠT VRE 350g/150g";"015023101";"VARIAGUSTO";"0,15";"KG";"1,39";"9,27";"0";"0";"0";"1,39";"8017596105257";"HRANA"
"MASLINE ZELENE 565g/340g";"001252601";"VARIAGUSTO";"0,34";"KG";"1,99";"5,85";"0";"0";"0";"1,99";"8002170406035";"HRANA"
"MASLINE ZELENE 565g/340g";"001252601";"VARIAGUSTO";"0,34";"KG";"1,99";"5,85";"0";"0";"0";"1,99";"8017596008237";"HRANA"
"MASLINE ZELENE BEZ KOŠT. 1675g/800g";"007113401";"VARIAGUSTO";"0,8";"KG";"5,99";"7,49";"0";"0";"0";"5,99";"8002170306373";"HRANA"
"MASLINE ZELENE BEZ KOŠT. 1675g/800g";"007113401";"VARIAGUSTO";"0,8";"KG";"5,99";"7,49";"0";"0";"0";"5,99";"8002170417512";"HRANA"
"MASLINE ZELENE BEZ KOŠT. 1675g/800g";"007113401";"VARIAGUSTO";"0,8";"KG";"5,99";"7,49";"0";"0";"0";"5,99";"8017596076540";"HRANA"
"MASLINE ZELENE BEZ KOŠTICE 150g";"010334001";"VARIAGUSTO";"0,15";"KG";"1,29";"8,6";"0";"0";"0";"1,29";"8017596052216";"HRANA"
"MASLINE ZELENE BEZ KOŠTICE 150g";"010334001";"VARIAGUSTO";"0,15";"KG";"1,29";"8,6";"0";"0";"0";"1,29";"8017596015143";"HRANA"
