naziv;šifra;marka;neto kolièina;jedinica mjere;MPC (EUR);cijena za jedinicu mjere (EUR);MPC za vrijeme posebnog oblika prodaje (EUR);Najniža cijena u posljednjih 30 dana (EUR);sidrena cijena na 2.5.2025. (EUR);barkod;kategorija proizvoda
VINO HARDY VR SHIRAZ 0,75 L;45879;Weingut Schloss Fels;0,7500;L;5,02;6,69;;;5,02;9311043037382;Piæa
DESP.SR.ZA SKID.KAMENCA 500 ml;46017;Despar;0,5000;L;1,25;2,50;;;1,25;8001300898160;Sredstva za èišæenje
RAJÈICA DESPAR PELAT 800 g;46209;Despar;0,4800;kg;1,99;4,15;;;1,99;8001300220909;Hrana
RAJÈ.DESPAR POMODORINI 400 g;46210;Despar;0,2400;kg;1,19;4,96;;;1,19;8001300223009;Hrana
RAJÈICA DESPAR PELAT 3X400 g;46211;Despar;1,2000;kg;2,99;2,49;;;2,99;8001300223085;Hrana
RAJÈICA DESPAR POLPA 3X400 g;46217;Despar;1,2000;kg;2,99;2,49;;;2,99;8001300221111;Hrana
RAJÈICA DESPAR PASIRANA 690 g;46219;Despar;0,6900;kg;1,99;2,88;;;1,99;8001300223078;Hrana
RAJÈ.DESPAR PAS.RUSTICA 690 g;46222;Despar;0,6900;kg;1,99;2,88;;;1,99;8001300223016;Hrana
KEKSI DESPAR ÈOKOLADA 350 g;46382;Despar;0,3500;kg;2,49;7,11;;;2,38;8001300802198;Hrana
KEKSI DESPAR JABUKA 350 g;46383;Despar;0,3500;kg;2,49;7,11;;;2,38;8001300802273;Hrana
VINO ORAHOVICA FRANKOVKA 0,75L;46406;;0,7500;l;6,29;8,39;;;5,52;3859888114029;Piæa
VINO ORAHOVICA SAUVIGNON 0,75L;46407;;0,7500;l;6,29;8,39;;;5,52;3859888114104;Piæa
VINO ORAHOV. PINOT SIVI 0,75L;46409;Pp;0,7500;l;6,29;8,39;;;5,52;3859888114067;Piæa
VINO GRAŠEV.PP ORAHOV.1 L;46410;;1,0000;L;5,99;5,99;;;5,22;3859888114036;Piæa
VINO PP ORAHOV.GRAŠEVINA 0,75L;46415;;0,7500;l;6,29;8,39;;;5,52;3859888114043;Piæa
VINO ORAHOVICA FRANKOVKA 1 L;46417;;1,0000;l;5,99;5,99;;;4,78;3859888114012;Piæa
VINO ORAHOVICA CHARDON.0,75L ;46418;;0,7500;l;6,29;8,39;;;5,52;3859888114098;Piæa
MASLINE ZELENE ZVIJEZDA 350 g;46462;Zvijezda;0,2000;kg;2,89;14,45;;;2,89;3858882213745;Hrana
MASLINE ZELENE ZVIJEZDA 700 g;46464;Zvijezda;0,4000;kg;4,49;11,23;;;4,49;3858882213738;Hrana
MASLINE CRNE ZVIJEZDA 350 g;46466;Zvijezda;0,2000;kg;3,19;15,95;;;3,19;3858882213714;Hrana
