NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,MARKA,MALOPRODAJNA_CIJENA,MPC_ZA_VRIJEME_POSEBNOG_OBLIKA_PRODAJE,NAJNIZA_CIJENA_U_POSLJ._30_DANA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
Shake Miris za auto SK3,6905246,0.06,1komad,,2.99,,,2.99,3858892141892,Proizvodi za kuæanstvo,"2,99"
Obiteljski svježi kolaèi,6905271,0.33,"330g, 345g",Okusi zavièaja,5.49,,,15.91,4056489316510,Hrana,"5,49"
PP Orahovica Svježi šaran odrezak,6905274,0.45,450g,,,3.59,5.19,7.98,3858889833953,Hrana,"4,99"
Indomie Instant juha okus piletina,6905279,0.35,5x70g,,2.09,,,5.97,089686170115,Hrana,"2,09"
Indomie Instant juha okus piletina,6905279,0.35,5x70g,,2.09,,,5.97,8968617011500,Hrana,"2,09"
Proteini.si Prot. ploèica èokolada,6905314,0.055,55g,,1.29,,,23.45,3830059011316,Hrana,"1,29"
Proteini.si Prot. ploè. man. s jog.,6905321,0.055,55g,,1.09,,,19.82,3830069179655,Hrana,"1,15"
Èokoladni prutiæ s kokosom,0092695,0.05,2x25g,Mister Choc,0.59,,,11.8,20439293,Hrana,"0,69"
BO Bijela žemljica,0092781,0.07,65g,,0.13,,,2,4056489457565,Hrana,"0,13"
Regenerator za kosu SK1 ,0092854,0.2,200ml,Cien,1.99,,,9.95,20778354,Kozmetika,"2,19"
Instant Nudeln patka,0009451,0.119,119g,,2.59,,,21.76,8585002442710,Piæe,Nije_bilo_u_prodaji_02.05.2025
Schweppes Tonic Water,0009644,1.03,1l,,1.59,,,1.59,5449000044808,Piæe,Nije_bilo_u_prodaji_02.05.2025
Vreæica za voæe&povræe,0009663,0.001,1komad,,0.01,,,0.01,4010373999739,Proizvodi za kuæanstvo,"0,01"
Jelly Beans SK2,6601532,0.25,250g,MCENNEDY,1.59,,,6.36,20192716,Hrana,"1,59"
Amerièki sladoled SK16,6601570,0.43,"485ml,500ml",Gelatelli,3.89,,,8.02,4056489626138,Hrana,"3,99"
Amerièki sladoled SK16,6601570,0.43,"485ml,500ml",Gelatelli,3.89,,,8.02,4056489626145,Hrana,"3,99"
Punjeni Brie sir SK1,6601720,0.18,180g,Deluxe,2.39,,,13.28,20292256,Hrana,"2,79"
Uskršnji šareni bomboni,6601916,0.3,300g,Favorina,1.72,,,5.73,20284213,Hrana,"1,72"
Amerièki sladoled SK12,6608641,0.418,500ml,Gelatelli,3.89,,,7.78,4056489284567,Hrana,"3,13"
Veganski grèki sir,6611469,0.15,150g,Vemondo,1.99,,,13.27,4056489794639,Hrana,"1,99"
Prirodni jogurt s bifido kulturama,6700038,0.135,135g,Pilos,0.35,,,2.59,20535483,Hrana,"0,35"
Gulaš SK6,6700114,0.4,400g,Pikok,1.99,,,4.98,20470579,Hrana,"1,99"
Franck Cappuccino SK2,6902087,0.143,"112g,144g,160g",,2.59,,,16.19,3858881088344,Piæe,"2,95"
Capo pinca,6902100,0.4,400g,,1.59,,,3.98,3859890108795,Hrana,"1,59"
Roštilj kobasice SK4,6902126,0.44,440g,Grill&Fun,3.49,,,7.93,20780012,Hrana,"3,49"
"Cabernet&Syrah, kval. crno vino ",6902127,0.75,"0,75l",Winemakers of Croatia,3.98,,,5.31,4304493259324,Piæe,"3,98"
Kraš Petit Beurre,6902157,0.48,480g,,2.99,,,6.23,3850102311439,Hrana,"2,99"
Kraš Ki-Ki voæna karamela ,6902166,0.1,100g,,1.29,,,12.9,3850102016426,Hrana,"1,29"
"Osliæ bez glave, smrznuti HUBBSI",6902169,1,1000g,Ocean Sea,4.69,,,4.69,20781071,Hrana,4.69
Chivas Regal 12YO 40%,6902184,0.7,"0,7l",,26.99,,,38.56,0080432402931,Piæe,"26,54"
"Hendricks Gin 41,4%",6902186,0.7,"0,7l",,26.49,,,37.84,5010327709000,Piæe,"28,99"
"Kozel Tamno pivo 3,8%",6902215,0.5,"0,5l",,1.49,,,2.98,8594404008042,Piæe,"1,49"
Kinder Crispy Wafel,6909568,0.17,5x34g,,4.49,,,26.41,8000500434161,Hrana,Nije_bilo_u_prodaji_02.05.2025
Lacalut Pasta Ak. 75ml + balzam,6909593,0.096,75ml,,2.99,,,39.87,4016364739100,Kozmetika,Nije_bilo_u_prodaji_02.05.2025
Niko Pršut,6909632,0.3,300g,,5.49,,,18.3,3858892823163,Hrana,Nije_bilo_u_prodaji_02.05.2025
PIK Panona salama narezak,6909633,0.8,100g,,2.19,,,21.9,3850139010855,Hrana,Nije_bilo_u_prodaji_02.05.2025
Ekos green Kiseli kupus glavica,6909637,1,"ca. 1,5kg",,1.99,,,1.99,2133704300000,Hrana,Nije_bilo_u_prodaji_02.05.2025
Pivac Okrajci hamburger slanine,6909668,1,cca. 800g,,3.99,,,3.99,2846918000000,Hrana,Nije_bilo_u_prodaji_02.05.2025
"Svježa grdobina, oèišæena, cca.500g",6909671,1,cca. 500g,Naša ribarnica,13.99,,,13.99,2846545000000,Hrana,Nije_bilo_u_prodaji_02.05.2025
DORINA èokolada keks,6909680,0.16,160g,,1.99,,,12.44,3850102016334,Hrana,Nije_bilo_u_prodaji_02.05.2025
Ledo Panirani kolutiæi lignje XXL,6909703,1,1000g,,5.99,,,5.99,3850116003603,Hrana,Nije_bilo_u_prodaji_02.05.2025
Puding od èokolade sa šlagom,6909711,0.175,175g,,0.39,,,2.23,3858883520255,Hrana,Nije_bilo_u_prodaji_02.05.2025
Svinjski but b.k. komad,6909726,1,"cca. 7,5 kg",Naša mesnica,2.99,,,2.99,2846584000000,Hrana,Nije_bilo_u_prodaji_02.05.2025
PIKO Rijeka Obiteljsko pecivo,6909734,0.25,5x50g,,0.85,,,3.4,3850135242861,Hrana,Nije_bilo_u_prodaji_02.05.2025
BO Domaæi Craft Country kruh,6909739,0.4,400g,,1.99,,,4.98,3859894428653,Hrana,Nije_bilo_u_prodaji_02.05.2025
"Èvrsto masno tkivo, cca. 5kg",6909755,1,cca. 5kg,-,2.29,,,2.29,2846673000000,Hrana,Nije_bilo_u_prodaji_02.05.2025
"Èvrsto masno tkivo, cca. 5kg",6909755,1,cca. 5kg,-,2.29,,,2.29,2846674000000,Hrana,Nije_bilo_u_prodaji_02.05.2025
"Èvrsto masno tkivo, cca. 5kg",6909755,1,cca. 5kg,-,2.29,,,2.29,2846676000000,Hrana,Nije_bilo_u_prodaji_02.05.2025
Perfekte Prašak za rublje Color,6909778,5.2,"5,2kg",,6.99,,,1.34,4262358180667,Sredstva za èišæenje,Nije_bilo_u_prodaji_02.05.2025
BO Domaæi miješani kruh,6909802,0.4,400g,,0.68,,,1.7,3858894930449,Hrana,Nije_bilo_u_prodaji_02.05.2025
BO Domaæi kruh kalnièki,6909821,0.6,600g,,0.99,,,1.65,3856028412533,Hrana,Nije_bilo_u_prodaji_02.05.2025
Faks Deterdžent za rublje by Ornel,6909830,4.4,"4,4 kg",,15.99,,,15.99,3850105188212,Sredstva za èišæenje,Nije_bilo_u_prodaji_02.05.2025
Tradicionalno dimljena peèenica,6909833,1,cca. 400g,Naša mesnica,9.99,,,9.99,2846831000000,Hrana,Nije_bilo_u_prodaji_02.05.2025
Tradicionalno dimljena peèenica,6909833,1,cca. 400g,Naša mesnica,9.99,,,9.99,2846833000000,Hrana,Nije_bilo_u_prodaji_02.05.2025
Tradicionalno dimljena peèenica,6909833,1,cca. 400g,Naša mesnica,9.99,,,9.99,2846836000000,Hrana,Nije_bilo_u_prodaji_02.05.2025
Tradicionalno dimljena peèenica,6909833,1,cca. 400g,Naša mesnica,9.99,,,9.99,2846837000000,Hrana,Nije_bilo_u_prodaji_02.05.2025
"Umak za kebab, blagi",7007642,0.25,250ml,Chef Select,2.49,,,9.96,4335619116061,Hrana,Nije_bilo_u_prodaji_02.05.2025
Svježe vuèeno tijesto,7201754,0.4,400g,1001 delights,1.19,,,2.98,20709556,Hrana,"1,19"
Pasta za èišæenje,0226239,0.5,500g,W5,1.99,,,3.98,4335619196643,Sredstva za èišæenje,Nije_bilo_u_prodaji_02.05.2025
Tart SK1,0226412,0.253,"250g,255g",Deluxe,2.69,,,10.76,4335619197725,Hrana,"2,89"
Proteinska ploèica SK1,0226547,0.045,45g,Sportyfeel,1.19,,,1.19,4335619172883,Hrana,Nije_bilo_u_prodaji_02.05.2025
Proteinska ploèica SK1,0226547,0.045,45g,Sportyfeel,1.19,,,1.19,4335619172890,Hrana,Nije_bilo_u_prodaji_02.05.2025
Osvježivaè za WC SK4,0227481,0.144,3x48g,W5,1.99,,,13.82,4335619227491,Sredstva za èišæenje,Nije_bilo_u_prodaji_02.05.2025
Pro Beauty Skin Niacinamid Serum,0228330,0.03,30ml,Cien,3.79,,,126.33,4335619217362,Kozmetika,Nije_bilo_u_prodaji_02.05.2025
Beauty's Choice Retinal krem. serum,0228331,0.031,30ml,Cien,3.99,,,133,4335619217379,Kozmetika,Nije_bilo_u_prodaji_02.05.2025
Cr?me Br?lée,0228562,0.35,650ml,Duc de Coeur,1.87,,,2.88,4335619218277,Hrana,Nije_bilo_u_prodaji_02.05.2025
GGN/MSC Premium Sushi SK20,0228627,0.178,"168g,178,5g,185g",select & go,4.99,,,29.7,4335619221635,Hrana,"3,79"
GGN/MSC Premium Sushi SK20,0228627,0.178,"168g,178,5g,185g",select & go,4.99,,,27.96,4335619221635,Hrana,"3,79"
GGN/MSC Premium Sushi SK20,0228627,0.178,"168g,178,5g,185g",select & go,4.99,,,26.97,4335619221635,Hrana,"3,79"
GGN/MSC Premium Sushi SK20,0228627,0.178,"168g,178,5g,185g",select & go,4.99,,,27.96,4335619221642,Hrana,"3,79"
Limoncello sa šljokicama 25%,0228742,0.689,0.700l,Deluxe,4.79,,,6.84,4304493271463,Piæe,"3,77"
Mahune XXL SK1,0229123,0.6,600g,Vitasia,2.59,,,4.32,4335619227262,Hrana,Nije_bilo_u_prodaji_02.05.2025
Pro Beauty Skin Zaštitni fluid,0229226,0.05,50ml,Cien,3.19,,,63.8,4335619230705,Kozmetika,Nije_bilo_u_prodaji_02.05.2025
Sushi SK2,0229316,0.195,"190g,200g",select & go,3.79,,,19.95,4335619221611,Hrana,"3,79"
Pizza sa salamom XXL,0117021,1.4,4x350g,Trattoria Alfredo,8.07,,,5.76,4056489487739,Hrana,"7,47"
Higijenski dnevni ulošci XXL,0117061,0.12,80komad,Siempre,1.99,,,0.02,20723712,Toaletne potrepštine,"1,99"
Mini božiæne figure s èokoladom SK3,0117276,0.125,125g,Favorina,2.39,,,19.12,20697105,Hrana,"1,99"
Nougat ploèica SK5,0117357,0.1,100g,Favorina,1.19,,,11.9,20697211,Hrana,"0,74"
Nougat ploèica SK5,0117357,0.1,100g,Favorina,1.19,,,11.9,20697235,Hrana,"0,74"
Florentiner badem SK2,0117471,0.125,125g,Favorina,2.79,,,22.32,20602871,Hrana,"3,49"
Èokoladni listiæi s mentom,0117689,0.2,200g,Hatherwood,3.49,,,17.45,20706852,Hrana,"2,99"
Praline SK1,0117693,0.2,200g,J.D. Gross,5.49,,,27.45,20706876,Hrana,"5,49"
Sjemenke bundeve,0117851,0.2,200g,Alesto Selection,1.79,,,8.95,20707170,Hrana,"1,85"
Peterostruka britvica,0118123,0.022,1komad,Cien,5.29,,,5.29,4056489467762,Kozmetika,"5,29"
Zamjenske britvice,0118124,0.012,3komad,Cien,3.99,,,1.33,4056489467779,Kozmetika,"3,99"
Svježi deserti na francuski SK1,0118149,0.45,450g,Duc de Coeur,3.59,,,7.98,20707255,Hrana,"3,59"
"BO Ciabatta classic, 300g",0118251,0.31,300g,,0.99,,,3.3,20714055,Hrana,"0,99"
Kivi rinfuza,0080675,1,1kg,,2.79,,,2.79,,Hrana,"2,79"
Kinder èokolada Maxi 10 komada,6904072,0.214,214g,,3.19,,,14.91,,Hrana,"3,19"
Limun,0080160,1,1kg,,1.49,,,1.49,,Hrana,"1,49"
Mini Brownies èokolada lješnjak,7403106,0.24,240g,MCENNEDY,1.79,,,7.46,,Hrana,"1,79"
Kruška NASHI,0080315,1,1kg,,2.79,,,2.79,,Hrana,Nije_bilo_u_prodaji_02.05.2025
Kupus crveni,0082945,1,1kg,,0.79,,,0.79,,Hrana,"1,19"
"Dnevni higijenski ulošci, SK3",0003274,0.073,"32komad,45komad",Siempre,1.29,,,0.03,,Toaletne potrepštine,"1,29"
Paprika crvena,0082615,1,1kg,,3.99,,,3.99,,Hrana,"2,99"
Kokosovo mlijeko,0022949,0.4,425ml,Vitasia,1.79,,,4.21,,Hrana,"1,79"
Badem jezgra u rinfuzi,0002321,1,"22,68 kg",,7.49,,,7.49,,Hrana,"6,79"
Grožðe crveno bez koštica,0080480,1,1kg,,3.99,,,3.99,,Hrana,"3,99"
Aranžman Viktorija,6901251,0.9,1komad,,7.3,,,7.3,,Proizvodi za kuæanstvo,"7,3"
Radiè,0082120,1,1kg,,1.99,,,1.99,,Hrana,"2,99"
Mladi krumpir,0083155,1,1kg,,,1.39,1.99,1.39,,Hrana,"0,99"
Kozji sir Chilli/Ružmarin SK1,5912000,0.19,1komad,Deluxe,5.72,,,5.72,,Hrana,Nije_bilo_u_prodaji_02.05.2025
Luk ljubièasti rinfuza,0083345,1,1kg,,1.19,,,1.19,,Hrana,"1,19"
Cappelletti sa šunkom,6000264,0.25,250g,Italiamo,0.99,,,3.96,,Hrana,"0,99"
Scamorza bijeli sir,6000885,0.3,300g,Milbona,3.19,,,10.63,,Hrana,"3,19"
Grožðe bijelo bez koštica,0080500,1,1kg,,3.99,,,3.99,,Hrana,"3,99"
Kocka za juhu SK1,5715232,0.72,720g,Kania,4.19,,,5.82,,Hrana,"3,99"
Milka Mlijeèna èokolada Lješnjak,0000003,0.08,80g,,1.99,,,24.88,7622210043931,Hrana,"1,99"
Mineralna voda negazirana,0000004,1.5,"1,5l",Saguaro,0.45,,,0.3,4304493256583,Piæe,"0,45"
Always Ultra higijenski ulošci BA,0000017,0.058,"9 komada, 10 komada, 14 komada",,1.66,,,0.12,4015400931225,Toaletne potrepštine,"1,66"
Always Ultra higijenski ulošci BA,0000017,0.058,"9 komada, 10 komada, 14 komada",,1.66,,,0.18,8001841263953,Toaletne potrepštine,"1,66"
"Ledeni èaj breskva sa šeæerom, 1,5l",0000028,1.5,"1,5l",Freeway,1.25,,,0.83,4056489071297,Piæe,"1,05"
Lenor Omekšivaè 60 pranja Spring A.,0000085,1.8,"1,8l",,5.57,,,0.09,8001841375489,Sredstva za èišæenje,"5,57"
Lenor Omekšivaè G. Orchid 48 pranja,0000087,1.42,"1,42l",,5.57,,,0.12,8001841375885,Sredstva za èišæenje,"5,57"
Lenor Omekš.Spring Awakening 64 pr.,0000119,1.6,"1,6l",,5.65,,,3.53,8006540889862,Sredstva za èišæenje,"5,65"
Nescafé Gold,0000124,0.19,190g,Nestlé,9.49,,,49.95,8445290491275,Piæe,"8,99"
Twix ekstra 2 kom.,0000179,0.075,75g,,1.49,,,19.87,5900951312250,Hrana,Nije_bilo_u_prodaji_02.05.2025
Smarties Djed Božiænjak,0000318,0.085,85g,,2.39,,,28.12,42370307,Hrana,"1,89"
Silan Omekšivaè Fresh Sky 60 pranja,0000335,1.32,"1,32l",Henkel,4.79,,,3.63,9000101586732,Sredstva za èišæenje,"4,79"
Pedigree Pseæe poslastice sort SK2,0000347,0.133,"123g,200g,77g",Mars,1.79,,,23.25,5998749104392,Proizvodi za kuæanstvo,"1,79"
Pedigree Pseæe poslastice sort SK2,0000347,0.133,"123g,200g,77g",Mars,1.79,,,23.25,9003579302545,Proizvodi za kuæanstvo,"1,79"
Ariel praškasti deterdžent 50pr.,0000409,2.75,"2,75kg",,21.99,,,8,8700216733267,Sredstva za èišæenje,Nije_bilo_u_prodaji_02.05.2025
Old Spice Gel za tuširanje Whitewa.,0000436,0.711,675ml,,4.75,,,7.04,8006540280195,Kozmetika,"4,39"
Old Spice Gel za tuširanje Wolftho.,0000437,0.711,675ml,,4.75,,,7.04,8700216230988,Kozmetika,"4,39"
Finish Sred. za èišæ. perilice pos.,0000485,0.55,2x250ml,,5.31,,,10.62,5999109580061,Sredstva za èišæenje,"5,31"
Èeš. trajna kob. Vysoèina narezak,0001111,0.1,100g,Pikok,1.29,,,12.9,20073640,Hrana,"1,29"
Kornet jagoda,0001183,0.07,120ml,Ballino,0.59,,,4.92,4056489799122,Hrana,"0,59"
Sladoled štapiæ vanilija s èokola.,0001193,0.079,120ml,Ballino,0.89,,,7.42,20113391,Hrana,"0,89"
Sladoled štapiæ van.-prelj. èo.-ki,0001194,0.085,120ml,Ballino,0.89,,,7.42,20113407,Hrana,"0,89"
Sladoled jagoda-vrhnje,0001214,0.46,1l,Ballino,2.29,,,2.29,20218218,Hrana,"2,59"
Nescafé Classic,0001252,0.2,200g,Nestlé,9.99,,,49.95,7891000088814,Piæe,"8,99"
"Grašak, smrznuto",0001255,1,1kg,Freshona,1.99,,,1.99,4056489336662,Hrana,"2,19"
Kukuruzni flips slani,0001337,0.1,100g,Snack Day,0.59,,,5.9,20117580,Hrana,"0,59"
Sezam ploèice SK7,0001419,0.081,3x27g,Crownfield,0.49,,,6.05,4056489445333,Hrana,"0,49"
Sezam ploèice SK7,0001419,0.081,3x27g,Crownfield,0.49,,,6.05,4056489445340,Hrana,"0,49"
Sezam ploèice SK7,0001419,0.081,3x27g,Crownfield,0.49,,,6.05,5907751602611,Hrana,"0,49"
Kompot od višnje b/k (OM 340g),0001481,0.34,720ml,Okusi zavièaja,1.85,,,5.44,20273347,Hrana,"1,85"
Carefree Dnevni ulošci sort. SK2,0001496,0.124,56komad,Johnson & Johnson,3.35,,,0.06,3574660322590,Toaletne potrepštine,"3,35"
Kiselo vrhnje 20% m.m.,0001557,0.18,180g,Pilos,0.79,,,4.39,20447694,Hrana,"0,69"
Kiselo vrhnje 12% m.m.,0001558,0.18,180g,Pilos,0.65,,,3.61,20447687,Hrana,"0,65"
"Tekuæi jogurt 2,8% m.m.",0001561,1,1kg,Pilos,1.69,,,1.69,20539900,Hrana,"1,89"
"Tekuæi jogurt 2,8% m.m.",0001561,1,1kg,Pilos,1.69,,,1.69,4304493260108,Hrana,"1,89"
"Jogurt èvrsti 3,2% m.m.",0001566,0.18,180g,Pilos,0.37,,,2.06,20156114,Hrana,"0,37"
"Sirela Ribanac, 40g",0001610,0.04,40g,,1.49,,,1.49,3858883521177,Hrana,"1,49"
"b.Aktiv s LGG natur, 150g",0001614,0.15,150g,,0.79,,,5.27,3850354010845,Hrana,"0,65"
Bref WC Duo Aktiv Pine,0001690,0.052,50ml,Henkel,2.65,,,53,9000100625104,Sredstva za èišæenje,"2,65"
"Poli pileæa posebna, 500g",0001694,0.5,500g,,4.25,,,8.5,2200000000001,Hrana,"4,25"
Kuhana šunka narezak,0001731,0.2,200g,Pikok,1.79,,,8.95,20493271,Hrana,"1,79"
Gouda sir,0001744,0.5,500g,Pilos,4.99,,,9.98,20385330,Hrana,"4,99"
Sirni namaz SK15,0001780,0.2,200g,Milbona,1.49,,,7.45,20002619,Hrana,"1,49"
Sirni namaz SK15,0001780,0.2,200g,Milbona,1.49,,,7.45,20048082,Hrana,"1,49"
Gratinirani ribani sir SK12,0001833,0.2,200g,Milbona,1.99,,,9.95,20098025,Hrana,"1,59"
Namaz od vrhnja SK21,0001889,0.2,200g,Milbona,,1.09,1.79,5.45,20064440,Hrana,"1,55"
"Rolana lopatica bez kože cca. 1,3kg",0001994,1,"ca. 1,3kg",Pikok,5.75,,,5.75,2819940000000,Hrana,"5,75"
"Rolana lopatica bez kože cca. 1,3kg",0001994,1,"ca. 1,3kg",Pikok,5.75,,,5.75,2819945000000,Hrana,"5,75"
"Rolana lopatica bez kože cca. 1,3kg",0001994,1,"ca. 1,3kg",Pikok,5.75,,,5.75,2847715000000,Hrana,"5,75"
Mljeveni crni papar,0002095,0.1,100g,Kania,1.39,,,13.9,20131104,Hrana,"1,79"
"Bellarom Minas mljevena kava, 500g",0002160,0.5,500g,Bellarom,6.99,,,13.98,20156510,Piæe,"6,79"
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Nestlé,4.19,,,37.41,5011546477596,Piæe,"4,19"
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Nestlé,4.19,,,30.81,5011546477633,Piæe,"4,19"
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Nestlé,4.19,,,37.41,5011546477640,Piæe,"4,19"
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Nestlé,4.19,,,37.41,7613034172181,Piæe,"4,19"
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Nestlé,4.19,,,29.1,7613034532275,Piæe,"4,19"
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Nestlé,4.19,,,29.1,7613035440081,Piæe,"4,19"
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Nestlé,4.19,,,37.41,7613035919433,Piæe,"4,19"
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Nestlé,4.19,,,30.81,7613036204897,Piæe,"4,19"
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Nestlé,4.19,,,29.1,7613036204897,Piæe,"4,19"
Nescafé Cappuccino sort.,0002183,0.135,"112g,148g",Nestlé,4.19,,,28.31,7613036701990,Piæe,"4,19"
Pag91 Kuhinjska morska sol sitna,0002214,1,1kg,,0.49,,,0.49,3859888817340,Hrana,"0,49"
Kiara Kristal šeæer 1kg ,0002220,1,1kg,,0.99,,,0.99,3859888112124,Hrana,"0,99"
Kiara Kristal šeæer 1kg ,0002220,1,1kg,,0.99,,,0.99,9007829021019,Hrana,"0,99"
Kiara Kristal šeæer 1kg ,0002220,1,1kg,,0.99,,,0.99,9007829023099,Hrana,"0,99"
"Krušne mrvice, 500g",0002234,0.5,500g,Belbake,0.95,,,1.9,3858893730040,Hrana,"0,99"
"Pšenièna krupica TIP 400, 1kg",0002236,1,1kg,Okusi zavièaja,0.99,,,0.99,20156640,Hrana,"0,99"
Riža dugog zrna Arborio,0002278,1,1kg,Golden Sun,2.99,,,2.99,20054830,Hrana,"2,29"
"Džem od borovnice, 450g",0002336,0.45,450g,Maribel,2.99,,,6.64,20000660,Hrana,"2,99"
"Fanta Orange, 2l",0002667,2.07,2l,Coca-Cola,2.39,,,1.2,5449000004840,Piæe,"2,28"
"Coca Cola 0,5l",0002669,0.52,"0,5l",Coca-Cola,1.19,,,2.38,54491472,Piæe,"1,12"
"Karlovaèko Svijetlo pivo 0,5l-boc",0002719,0.5,"0,5l",,1.36,,,2.72,3850103000820,Piæe,"1,36"
Svinjska mast,0002762,1,1kg,Okusi zavièaja,2.19,,,2.19,3858884991627,Hrana,"2,19"
Airwaves žvakaæe gume SK2,0002906,0.014,14g,Mars,0.99,,,0.99,42212041,Hrana,"0,99"
Orbit žvakaæe gume sort. I,0002907,0.014,14g,Mars,0.99,,,0.99,50173204,Hrana,"0,99"
Orbit žvakaæe gume sort. I,0002907,0.014,14g,Mars,0.99,,,0.99,50173822,Hrana,"0,99"
Orbit žvakaæe gume sort. I,0002907,0.014,14g,Mars,0.99,,,0.99,50173976,Hrana,"0,99"
Milka Èokolada sort.,0002911,0.279,"250g, 276g, 300g",,5.99,,,19.97,7622200004607,Hrana,"5,99"
Milka Èokolada sort.,0002911,0.279,"250g, 276g, 300g",,5.99,,,23.96,7622200009084,Hrana,"5,99"
Milka Èokolada sort.,0002911,0.279,"250g, 276g, 300g",,5.99,,,23.96,7622201022679,Hrana,"5,99"
Milka Èokolada sort.,0002911,0.279,"250g, 276g, 300g",,5.99,,,21.7,7622201022679,Hrana,"5,99"
Milka Èokolada sort.,0002911,0.279,"250g, 276g, 300g",,5.99,,,23.96,7622202273919,Hrana,"5,99"
Milka Èokolada sort.,0002911,0.279,"250g, 276g, 300g",,5.99,,,23.96,7622210012500,Hrana,"5,99"
Milka Èokolada sort.,0002911,0.279,"250g, 276g, 300g",,5.99,,,21.7,7622210273369,Hrana,"5,99"
Milka Èokolada sort.,0002911,0.279,"250g, 276g, 300g",,5.99,,,21.7,7622210612267,Hrana,"5,99"
Milka Èokolada sort.,0002911,0.279,"250g, 276g, 300g",,5.99,,,19.97,7622210702562,Hrana,"5,99"
"Medenjaci s èoko. preljevom, 200g",0002936,0.2,200g,Tastino,1.49,,,7.45,20057428,Hrana,"1,35"
Vafel s 32% svj. jaja,0002969,0.25,250g,Confiserie Firenze,1.99,,,7.96,20025847,Hrana,"1,99"
Kompletna hrana za maèke SK19,0003002,0.1,100g,Coshida,0.39,,,3.9,20106775,Proizvodi za kuæanstvo,"0,45"
Kompletna hrana za maèke SK19,0003002,0.1,100g,Coshida,0.39,,,3.9,20609467,Proizvodi za kuæanstvo,"0,45"
"Cedevita Instant nap. naranèa, 1kg",0003013,1,1000g,,6.69,,,6.69,3850322010198,Piæe,"6,39"
"Cedevita Instant nap. naranèa, 1kg",0003013,1,1000g,,6.69,,,6.69,3850322010204,Piæe,"6,39"
Potpuna hrana za pse SK1,0003024,10,10kg,Orlando,11.89,,,1.19,4056489348641,Proizvodi za kuæanstvo,"11,89"
Pro Vitamin šam. za njegu kose SK13,0003035,0.31,300ml,Cien,1.29,,,4.3,20159405,Kozmetika,"1,29"
Lak za kosu SK11,0003054,0.31,400ml,Cien,1.98,,,4.95,20006518,Kozmetika,1.98
Lak za kosu SK11,0003054,0.31,400ml,Cien,1.98,,,4.95,20152857,Kozmetika,1.98
Lak za kosu SK11,0003054,0.31,400ml,Cien,1.98,,,4.95,20490379,Kozmetika,1.98
Lak za kosu SK11,0003054,0.31,400ml,Cien,1.98,,,4.95,20490386,Kozmetika,1.98
Krema za njegu kože SK1,0003083,0.249,250ml,Cien,1.55,,,6.2,4335619267176,Kozmetika,"1,55"
"Cedevita Instant nap., SK5, 200g",0003086,0.2,200g,,2.19,,,10.95,3850322003527,Piæe,"2,09"
"Cedevita Instant nap., SK5, 200g",0003086,0.2,200g,,2.19,,,10.95,3850322010372,Piæe,"2,09"
"Cedevita Instant nap., SK5, 200g",0003086,0.2,200g,,2.19,,,10.95,3850322016244,Piæe,"2,09"
Q10 krema za lice protiv bora SK7 ,0003089,0.051,50ml,Cien,2.89,,,57.8,20151867,Kozmetika,"2,89"
Pjena za brijanje sensitive,0003108,0.294,300ml,Cien MEN,1.59,,,5.3,20006853,Kozmetika,"1,59"
Pjena za brijanje sensitive,0003108,0.294,300ml,Cien MEN,1.59,,,5.3,20220501,Kozmetika,"1,59"
Pjena za brijanje sensitive,0003108,0.294,300ml,Cien MEN,1.59,,,5.3,4056489323068,Kozmetika,"1,59"
Pjena za brijanje sensitive,0003108,0.294,300ml,Cien MEN,1.59,,,5.3,4056489431084,Kozmetika,"1,59"
Losion poslije brijanja SK15,0003114,0.092,100ml,Cien MEN,2.39,,,23.9,20106980,Kozmetika,"2,39"
"Tekuæina za ispiranje usta, SK15",0003125,0.508,500ml,Dentalux,1.45,,,2.9,20199449,Kozmetika,"1,45"
Domestos sort.,0003183,0.75,750ml,,3.29,,,4.39,8718114630205,Sredstva za èišæenje,"2,49"
Sredstvo za èišæenje masnoæa SK12,0003191,0.753,750ml,W5,1.99,,,2.65,4056489350552,Sredstva za èišæenje,"1,99"
Higijenski ulošci SK6,0003262,0.145,"14komad,20komad",Siempre,1.29,,,0.09,20152895,Toaletne potrepštine,"1,29"
Kondomi od prirodnog lateksa SK1,0003281,0.013,12komad,Mondos,1.89,,,0.16,4056489774181,Toaletne potrepštine,"1,89"
Spiralna žica od neh. èelika,0003308,0.08,4komad,W5,0.7,,,0.18,20042776,Proizvodi za kuæanstvo,"0,7"
