NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,MARKA,MALOPRODAJNA_CIJENA,MPC_ZA_VRIJEME_POSEBNOG_OBLIKA_PRODAJE,NAJNIZA_CIJENA_U_POSLJ._30_DANA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
Šampon za svakodne. pranje kose SK6,0003034,0.515,500ml,Cien,1.39,,,2.78,20153755,Kozmetika,"1,39"
Šampon za svakodne. pranje kose SK6,0003034,0.515,500ml,Cien,1.39,,,2.78,20303693,Kozmetika,"1,39"
Šampon za svakodne. pranje kose SK6,0003034,0.515,500ml,Cien,1.39,,,2.78,4056489815594,Kozmetika,"1,39"
Pjena za kosu SK8,0003050,0.22,250ml,Cien,1.33,,,5.32,20006501,Kozmetika,1.33
Pjena za kosu SK8,0003050,0.22,250ml,Cien,1.33,,,5.32,20152840,Kozmetika,1.33
Pjena za kosu SK8,0003050,0.22,250ml,Cien,1.33,,,5.32,20220440,Kozmetika,1.33
Krema za njegu kože SK1,0003083,0.249,250ml,Cien,1.55,,,6.2,20057060,Kozmetika,"1,55"
"Cedevita Instant nap., SK5, 200g",0003086,0.2,200g,,2.19,,,10.95,3850322009871,Piæe,"2,09"
Q10 krema za lice protiv bora SK7 ,0003089,0.051,50ml,Cien,2.89,,,57.8,20120061,Kozmetika,"2,89"
Èetkice za zube SK3,0003117,0.037,2komad,Dentalux,0.89,,,0.45,20055929,Kozmetika,"0,89"
Pasta za zube SK6,0003120,0.155,125ml,Dentalux,0.85,,,6.8,4056489857297,Kozmetika,"1,05"
Signal zubna pasta SK2,0003124,0.075,75ml,,2.69,,,35.87,5900300056101,Kozmetika,"2,19"
"Tekuæina za ispiranje usta, SK15",0003125,0.508,500ml,Dentalux,1.45,,,2.9,20964962,Kozmetika,"1,45"
Specijalna sol za perilicu posuða,0003169,2,2kg,W5,1.45,,,0.73,20038953,Sredstva za èišæenje,"1,45"
Domestos sort.,0003183,0.75,750ml,,3.29,,,4.39,8718114630106,Sredstva za èišæenje,"2,49"
Sredstvo za uklanjanje kamenca,0003193,0.523,500ml,W5,1.25,,,2.5,4056489411352,Sredstva za èišæenje,"1,25"
Tamponi SK3,0003257,0.054,24komad,Siempre,1.55,,,0.06,20110710,Toaletne potrepštine,"1,55"
Higijenski ulošci SK6,0003262,0.145,"14komad,20komad",Siempre,1.29,,,0.06,20069650,Toaletne potrepštine,"1,29"
Nola elektronski upaljaè,0003316,0.049,3komad,,1.09,,,0.36,20002848,Proizvodi za kuæanstvo,"1,09"
"Alkalna baterija 1,5 V AAA",0003331,0.098,8komad,Aerocell,1.99,,,0.25,20080570,Proizvodi za kuæanstvo,"1,99"
"Lino Èokolino, 500g",0003401,0.5,500g,,4.99,,,9.98,3850104210259,Hrana,"4,99"
"Gavriloviæ Mesni doruèak, 150g",0003448,0.15,150g,,2.15,,,14.33,3858881220010,Hrana,"2,15"
"Vegeta Univerzalni zaèin, 1kg",0003569,1,1kg,,5.99,,,5.99,3850104047046,Hrana,"5,99"
Gazirano piæe naranèa sa sladilom,0003610,2,2l,Freeway,0.99,,,0.5,4304493257078,Piæe,"0,89"
"Vafel s mlij. i lješ. kremom, UTZ",0003650,0.25,250g,Sondey,2.25,,,9,20146092,Hrana,"2,25"
Palette Int. Color Creme boja SK4,0003664,0.11,1komad,Henkel,4.25,,,4.25,3838824159416,Kozmetika,"5,25"
Palette Int. Color Creme boja SK4,0003664,0.11,1komad,Henkel,4.25,,,4.25,3838824159614,Kozmetika,"5,25"
Palette Int. Color Creme boja SK4,0003664,0.11,1komad,Henkel,4.25,,,4.25,3838905170064,Kozmetika,"5,25"
"Kakao krema s okusom lješ., SK2",0003690,0.4,400g,Mister Choc,1.99,,,4.98,20079598,Hrana,"1,99"
Axe Dezodorans u spreju Africa,0003696,0.15,150ml,,4.89,,,32.6,8712561120029,Kozmetika,"4,55"
Dj. èetkica za zube,0003757,0.039,2komad,Dentalux,0.89,,,0.45,20148560,Kozmetika,"0,89"
Biljni liker 35% Vol.,0003769,0.7,"0,7l",Jagdstolz,5.19,,,7.41,4304493262317,Piæe,"5,19"
Slani štapiæi,0003790,0.25,250g,Snack Day,0.79,,,3.16,20005627,Hrana,"0,79"
Talijanski umaci SK8,0003805,0.42,400ml,Combino,1.79,,,4.48,20023218,Hrana,"1,79"
Topljeni sir trokutiæi 50% m.m.,0003831,0.4,400g,Milbona,4.39,,,10.98,20157517,Hrana,"4,29"
