NAZIV,SIFRA,MARKA,NETO_KOLICINA,JED_MJERE,MPC,CIJENA_PO_MJERI,POSEBNA_PRODAJA,NAJNIZA_30_DANA,SIDRENA_02_05,BARKOD,KATEGORIJA
"2,5KG POVRĆE ZA FRANC. SALATU",238355,"","2500 G","KG",5.49,2.2,,5.49,4.99,5412532104050,"hrana"
"2,5KG POVRĆE ZA FRANC. SALATU",271071,"","10000 G","KG",18.65,1.87,,18.65,18.65,5412532399050,"hrana"
"2,5KG MC COUNTRY MIX",259181,"METRO CHEF","2500 G","KG",7.49,3,,7.49,7.49,4337182032045,"hrana"
"2,5KG GRAŠAK-MRKVA ZAMRZNUTI",271045,"","2500 G","KG",5.86,2.34,,5.86,5.86,3858894110063,"hrana"
"2,5KG GRAŠAK-MRKVA ZAMRZNUTI",272408,"","10000 G","KG",22.28,2.23,,22.28,,3858894110070,"hrana"
"2,5KG MC BABY MRKVA",152076,"METRO CHEF","2500 G","KG",6.49,2.6,,6.49,6.49,4337182138310,"hrana"
"2,5KG MC BABY MRKVA",267024,"METRO CHEF","10000 G","KG",24.45,2.45,,24.45,24.45,4337182138327,"hrana"
"1KG MC ŠPAROGE ZELENE",214460,"METRO CHEF","1000 G","KG",12.54,12.54,,12.54,11.4,4337182131656,"hrana"
"2,5KG MC MRKVA KOCKICA",214463,"METRO CHEF","2500 G","KG",4.91,1.96,,4.91,4.61,4337182150664,"hrana"
"2,5KG MC MRKVA KOCKICA",267055,"METRO CHEF","10000 G","KG",16.95,1.7,,16.95,16.95,4337182150671,"hrana"
"2,5 KG MC MRKVA PLOŠKE",214464,"METRO CHEF","2500 G","KG",5.36,2.14,,5.36,5.36,4337182138891,"hrana"
"2,5 KG MC MRKVA PLOŠKE",271064,"METRO CHEF","10000 G","KG",19.45,1.95,,19.45,19.45,4337182018162,"hrana"
"2,5 KG MC BOB",214466,"METRO CHEF","2500 G","KG",9.61,3.84,,9.61,9.61,4337182036913,"hrana"
"2,5 KG MC BOB",267022,"METRO CHEF","10000 G","KG",38.45,3.85,,38.45,38.45,4337182036937,"hrana"
"2,5 KG MC KUKURZ ŠEĆERAC",214471,"METRO CHEF","2500 G","KG",7.99,3.2,,7.99,7.99,4337182139447,"hrana"
"2,5 KG MC KUKURZ ŠEĆERAC",267028,"METRO CHEF","10000 G","KG",31.95,3.2,,31.95,31.95,4337182174523,"hrana"
"2,5 KG ARO KUKURUZ ŠEĆERAC",219903,"ARO","2500 G","KG",7.74,3.1,,7.74,7.74,4337182032878,"hrana"
"2,5 KG ARO KUKURUZ ŠEĆERAC",267023,"ARO","10000 G","KG",29.95,3,,29.95,29.95,4337182032885,"hrana"
"1KG MC ŠPAROGA BIJELA",219957,"METRO CHEF","1000 G","KG",10.36,10.36,,10.36,10.36,4333465176437,"hrana"
"1KG ŠPAROGA BIJELA",272470,"GOLDEN CROWN","1000 G","KG",10.36,10.36,,10.36,,4009884400650,"hrana"
"2,5KG MCCAIN JULIENNE A, 6MM",214158,"MCCAIN","2500 G","KG",6.99,2.8,,6.99,6.99,8710438000856,"hrana"
"2,5KG MCCAIN JULIENNE A, 6MM",264473,"MCCAIN","12500 G","KG",33.69,2.7,,33.69,33.69,8710438028065,"hrana"
"2,5KG MCCAIN FRY N DIP ZLJEB.",214161,"MCCAIN","2500 G","KG",7.74,3.1,,7.74,7.74,8710438058529,"hrana"
"2,5KG MCCAIN FRY N DIP ZLJEB.",264472,"MCCAIN","12500 G","KG",38.69,3.1,,38.69,38.69,8710438058536,"hrana"
"2,5KG MCCAIN POM.EXPRESS 9MM",214167,"MCCAIN","2500 G","KG",8.24,3.3,,8.24,8.24,8710438032468,"hrana"
"2,5KG MCCAIN POM.EXPRESS 9MM",264664,"MCCAIN","12500 G","KG",39.94,3.2,,39.94,39.94,8710438032451,"hrana"
"2,5KG MCCAIN POM.FRITES 9/9MM",214168,"MCCAIN","2500 G","KG",7.11,2.84,,7.11,7.11,8710438000849,"hrana"
"2,5KG MCCAIN POM.FRITES 9/9MM",264467,"MCCAIN","12500 G","KG",35.56,2.84,,35.56,35.56,8710438024692,"hrana"
"2,5KG MCCAIN POMFRIT VALOV 9MM",217075,"MCCAIN","2500 G","KG",8.11,3.24,,8.11,8.11,8710438000863,"hrana"
"2,5KG MCCAIN POMFRIT VALOV 9MM",264665,"MCCAIN","12500 G","KG",38.69,3.1,,38.69,38.69,8710438028133,"hrana"
"2,5 KG MC KRUMP. DIPPERS",219251,"METRO CHEF","2500 G","KG",7.1,2.84,,7.1,7.1,4337182024200,"hrana"
"2,5 KG MC KRUMP. DIPPERS",263006,"METRO CHEF","10000 G","KG",28.4,2.84,,28.4,28.4,5412873959906,"hrana"
"2,5KG MC EXPRESS FRIES 9X9",220435,"METRO CHEF","2500 G","KG",8.24,3.3,,8.24,8.24,4337182255987,"hrana"
"2,5KG MC EXPRESS FRIES 9X9",263049,"METRO CHEF","10000 G","KG",32.95,3.3,,32.95,32.95,4337182255994,"hrana"
"2,5KG MC STEAKHOUSE KRUMPIR",220437,"METRO CHEF","2500 G","KG",6.24,2.5,,6.24,6.24,4337182228349,"hrana"
"2,5KG MC STEAKHOUSE KRUMPIR",261593,"METRO CHEF","10000 G","KG",24.95,2.5,,24.95,24.95,4337182228356,"hrana"
"2,5 KG MC DOMAĆI KRUMPIR",220596,"METRO CHEF","2500 G","KG",7.49,3,,7.49,7.49,4337182137276,"hrana"
"2,5 KG MC DOMAĆI KRUMPIR",263009,"METRO CHEF","10000 G","KG",29.95,3,,29.95,29.95,4337182137283,"hrana"
"2,5KG MC KRUMP.CRIN",222224,"METRO CHEF","2500 G","KG",6.24,2.5,,6.24,6.24,4337182024583,"hrana"
"2,5KG MC KRUMP.CRIN",263050,"METRO CHEF","10000 G","KG",24.95,2.5,,24.95,24.95,4337182024842,"hrana"
"2,5KG MC POMMES OD BATATA",229869,"METRO CHEF","2500 G","KG",13.74,5.5,,13.74,13.74,4337182127185,"hrana"
"2,5KG MC POMMES OD BATATA",263008,"METRO CHEF","10000 G","KG",49.95,5,,49.95,49.95,4337182141891,"hrana"
"2,5KG MC EKSTRA HRSKAVI POMM.",232187,"METRO CHEF","2500 G","KG",7.81,3.12,,7.81,7.11,4337182025412,"hrana"
"2,5KG MC EKSTRA HRSKAVI POMM.",271069,"METRO CHEF","10000 G","KG",27.45,2.75,,27.45,27.45,4337182025580,"hrana"
"2,27 KG AVIKO BATAT POMMES",258070,"AVIKO","2270 G","KG",17.25,7.6,,17.25,17.25,8710449918126,"hrana"
"2,27 KG AVIKO BATAT POMMES",270714,"AVIKO","11350 G","KG",77.13,6.8,,77.13,77.13,8710449925001,"hrana"
"2,5KG MC GF POMMES FRIT. 9X9MM",260730,"METRO CHEF","2500 G","KG",5.99,2.4,,5.99,5.99,4337182199014,"hrana"
"2,5KG MC GF POMMES FRIT. 9X9MM",261612,"METRO CHEF","10000 G","KG",22.74,2.27,,22.74,22.74,4337182199021,"hrana"
"2,5KG MC GF POMMES 6X6MM",260732,"METRO CHEF","2500 G","KG",6.3,2.52,,6.3,6.3,4337182198994,"hrana"
"2,5KG MC GF POMMES 6X6MM",261613,"METRO CHEF","10000 G","KG",23.99,2.4,,23.99,23.99,4337182199007,"hrana"
"2,5KG MC  PATATAS BRAVAS",263929,"METRO CHEF","2500 G","KG",7.49,3,,7.49,7.49,4337182153764,"hrana"
"2,5KG MC  PATATAS BRAVAS",271075,"METRO CHEF","10000 G","KG",29.95,3,,28.45,28.45,4337182153771,"hrana"
"2,5KG MCAIN SURECRISP SKIN ON9",264094,"MCCAIN","2500 G","KG",9.99,4,,9.99,9.99,8710438115994,"hrana"
"2,5KG MCAIN SURECRISP SKIN ON9",264093,"MCCAIN","10000 G","KG",39.95,4,,39.95,39.95,8710438116007,"hrana"
"2,5KG MCCAIN CRUNCHY PETALS",264091,"MCCAIN","2500 G","KG",11.24,4.5,,11.24,11.24,8710438120097,"hrana"
"2,5KG MCCAIN CRUNCHY PETALS",264092,"MCCAIN","10000 G","KG",42.45,4.25,,42.45,42.45,8710438120103,"hrana"
"2,5KG ARO POMMES FRIT.9X9MM",269725,"ARO","2500 G","KG",4.99,2,,4.99,4.99,4337182024033,"hrana"
"2,5KG ARO POMMES FRIT.9X9MM",269968,"ARO","10000 G","KG",19.95,2,,19.95,19.95,4337182024132,"hrana"
"2,5KG  AVIKO SUP.CRUN9,5MM.KOŽ",270702,"AVIKO","2500 G","KG",7.74,3.1,,7.74,8.11,8710449938186,"hrana"
"2,5KG  AVIKO SUP.CRUN9,5MM.KOŽ",270703,"AVIKO","10000 G","KG",30.95,3.1,,30.95,30.95,8710449938179,"hrana"
"2,5KG AVIKO SUP CRUN PURE & RUSTIC",270705,"AVIKO","2500 G","KG",7.11,2.84,,7.11,7.49,8710449952076,"hrana"
"2,5KG AVIKO SUP CRUN PURE & RUSTIC",270706,"AVIKO","10000 G","KG",28.45,2.85,,28.45,28.45,8710449952083,"hrana"
"2,5KG AVIKO H RÖSTI BITES OVEN",270707,"AVIKO","2500 G","KG",7.49,3,,7.49,7.49,8710449920556,"hrana"
"2,5KG AVIKO H RÖSTI BITES OVEN",270708,"AVIKO","10000 G","KG",28.45,2.85,,28.45,28.45,8710449920563,"hrana"
"2,5KG AVIKO PIRE KRUMPIR",270740,"AVIKO","2500 G","KG",8.11,3.24,,8.11,8.11,8710449003716,"hrana"
"2,5KG POMMES OD BATATA",272377,"","2500 G","KG",13.74,5.5,,13.74,,5425027893070,"hrana"
"2,5KG POMMES OD BATATA",272378,"","10000 G","KG",49.95,5,,49.95,,15425027897242,"hrana"
"2,5KG MCCAIN STEAKHOUSE KRUMP",214157,"MCCAIN","2500 G","KG",7.49,3,,7.49,7.49,8710438009576,"hrana"
"2,5KG MCCAIN STEAKHOUSE KRUMP",269931,"MCCAIN","12500 G","KG",36.19,2.9,,36.19,36.19,8710438028263,"hrana"
"2,5KG MCCAIN KRISKE WEDGES",214162,"MCCAIN","2500 G","KG",7.61,3.04,,7.61,7.61,8710438024500,"hrana"
"2,5KG MCCAIN KRISKE WEDGES",264468,"MCCAIN","12500 G","KG",38.06,3.04,,38.06,38.06,18710438126331,"hrana"
"2,5KG MCCAIN DOLLAR CHIPS",214166,"MCCAIN","2500 G","KG",7.24,2.9,,7.24,7.24,8710438011616,"hrana"
"2,5KG MCCAIN DOLLAR CHIPS",263007,"MCCAIN","10000 G","KG",27.95,2.8,27.95,27.95,27.95,8710438014099,"hrana"
"2,5KG MCCAIN DOLLAR CHIPS",263674,"MCCAIN","12500 G","KG",34.94,2.8,,34.94,34.94,3256830009622,"hrana"
"2,5KG MCCAIN ROSTI ROUNDS",214170,"MCCAIN","2500 G","KG",11.24,4.5,,11.24,11.24,8710438037777,"hrana"
"2,5KG MC KRUMPIR KRIŠKE WEDGES",220438,"METRO CHEF","2500 G","KG",6.49,2.6,,6.49,6.49,4337182228325,"hrana"
"2,5KG MC KRUMPIR KRIŠKE WEDGES",263047,"METRO CHEF","10000 G","KG",25.95,2.6,,25.95,25.95,4337182228332,"hrana"
"2,5KG MC KRUMPIR REZANI",222225,"METRO CHEF","2500 G","KG",6.99,2.8,,6.99,7.74,4337182175681,"hrana"
"2,5KG MC KRUMPIR REZANI",263048,"METRO CHEF","10000 G","KG",26.55,2.66,,26.55,29.45,4337182175698,"hrana"
"2,5KG MC POMMES NOISETTE",232192,"METRO CHEF","2500 G","KG",7.49,3,,7.49,7.49,4337182024699,"hrana"
"2,5KG MC POMMES NOISETTE",271070,"METRO CHEF","10000 G","KG",28.95,2.9,,28.95,28.95,4337182024958,"hrana"
"2,5KG AVIKO KROKETI",259045,"AVIKO","2500 G","KG",7.49,3,,7.49,7.49,8710449126101,"hrana"
"2,5KG AVIKO KROKETI",263027,"AVIKO","10000 G","KG",28.45,2.85,,28.45,28.45,8710449991303,"hrana"
"2,5KG MC KROKETI",263926,"METRO CHEF","2500 G","KG",7.49,3,,7.49,7.49,4337182159483,"hrana"
"2,5KG MC KROKETI",264460,"METRO CHEF","10000 G","KG",28.95,2.9,,28.95,28.95,4337182250210,"hrana"
"2,5KG MC SPICY WEDGES",263927,"METRO CHEF","2500 G","KG",7.49,3,,7.49,7.49,4337182155065,"hrana"
"2,5KG MC SPICY WEDGES",271074,"METRO CHEF","10000 G","KG",29.95,3,,29.95,28.45,4337182155058,"hrana"
"2,5KG MC SIDEWINDERS- POMMES",266621,"METRO CHEF","2500 G","KG",10.61,4.24,,10.61,10.61,4337182228981,"hrana"
"2,5KG  KRUM.CIJELI PARIS.25/35",270701,"FLANDERS BEST","2500 G","KG",6.86,2.74,,6.86,6.86,5412532020053,"hrana"
"2,5KG KRUMPIR KOCKA ZAMRZNUTA",271036,"","2500 G","KG",4.86,1.94,,4.86,4.86,3858894110490,"hrana"
"2,5KG KRUMPIR KOCKA ZAMRZNUTA",272409,"","10000 G","KG",18.48,1.85,,18.48,,3858894110506,"hrana"
"2,5KG BOROVNICE ŠUMSKE",191072,"","2500 G","KG",27.49,11,,27.49,27.49,3830054730601,"hrana"
"2,5KG  MC JAGODE",193385,"METRO CHEF","2500 G","KG",11.24,4.5,,11.24,11.24,4337182142751,"hrana"
"1KG MC JAGODE",194688,"METRO CHEF","1000 G","KG",5.2,5.2,,5.2,4.74,4337182138051,"hrana"
"1KG MC BOROVNICE",194691,"METRO CHEF","1000 G","KG",8,8,,8,7.49,4337182221050,"hrana"
"2,5KG MC MALINE",194693,"METRO CHEF","2500 G","KG",22.49,9,,22.49,22.49,4337182254959,"hrana"
"1KG MC BRUSNICA",214571,"METRO CHEF","1000 G","KG",6.74,6.74,,6.74,6.74,4337182220992,"hrana"
"1 KG MC CRNI RIBIZL",214576,"METRO CHEF","1000 G","KG",7.11,7.11,,7.11,7.11,4337182221074,"hrana"
"2,5KG MC MIX ŠUMSKOG VOĆA",231322,"METRO CHEF","2500 G","KG",15.31,6.12,,15.31,15.31,4337182143772,"hrana"
"1KG MC MIX ŠUMSKOG VOĆA",234245,"METRO CHEF","1000 G","KG",6.24,6.24,,6.24,6.24,4337182142799,"hrana"
"1KG MC MALINE",246615,"METRO CHEF","1000 G","KG",9.49,9.49,,9.49,9.49,4337182169918,"hrana"
"1KG MC KUPINA",246730,"METRO CHEF","1000 G","KG",6.8,6.8,,6.8,6.24,4337182169932,"hrana"
"1KG MC CRVENI RIBIZ",246731,"METRO CHEF","1000 G","KG",3.55,3.55,,3.55,3.24,4337182221043,"hrana"
"1KG MC MANGO KOCKICE",214559,"METRO CHEF","1000 G","KG",8.23,8.23,,8.23,7.49,4337182138273,"hrana"
"1 KG MC ANANAS KOCKE",214561,"METRO CHEF","1000 G","KG",5.86,5.86,,5.86,5.36,4337182221869,"hrana"
"1KG MC AVOKADO POLOVICE",214566,"METRO CHEF","1000 G","KG",7.74,7.74,,7.74,7.74,4337182216261,"hrana"
"1KG MC AVOKADO ZELENE KOCKICE",214567,"METRO CHEF","1000 G","KG",9.49,9.49,,9.49,9.49,4337182216247,"hrana"
"1KG MC EXOTIC MIX",246622,"METRO CHEF","1000 G","KG",5.61,5.61,,5.61,5.11,4337182220978,"hrana"
"2,5KG PAPAJA SMRZNUTA",271213,"","2500 G","KG",9.49,3.8,,9.49,9.49,5902815705604,"hrana"
"2,5KG PAPAJA SMRZNUTA",272407,"","10000 G","KG",36.05,3.61,,36.05,,5902815705611,"hrana"
"1KG MC VIŠNJE BK",194661,"METRO CHEF","1000 G","KG",6.24,6.24,,6.24,6.24,4337182254850,"hrana"
"2,5 KG MC POLOVICE ŠLJIVE",214557,"METRO CHEF","2500 G","KG",7.49,3,,7.49,7.49,4337182142843,"hrana"
"1KG MC KESTEN",214558,"METRO CHEF","1000 G","KG",9.99,9.99,,9.99,9.99,4337182221883,"hrana"
"1 KG MC POLOVICE MARELICE",214564,"METRO CHEF","1000 G","KG",6.74,6.74,,6.74,6.74,4337182018742,"hrana"
"2,5KG VIŠNJA ROLEND B/K",260175,"","2500 G","KG",14.99,6,,14.99,11.24,3858894110568,"hrana"
"500G LEDO SAVIJAČA VAN/Š.VOĆE",155041,"LEDO","500 G","KG",3.99,7.98,,3.99,3.95,3850116888972,"hrana"
"850G MC ČOKOLADNI TART 8/1",234971,"METRO CHEF","850 G","KG",11.74,13.81,,11.74,11.49,4337182159421,"hrana"
"3X1KG MC SAVIJAČA JABUKA",245037,"METRO CHEF","3000 G","KG",15.61,5.2,,15.61,15.61,3856024701693,"hrana"
"3X1KG MC SAVIJAČA SIR",245038,"METRO CHEF","3000 G","KG",20.86,6.95,,20.86,20.86,3856024701709,"hrana"
"1800G BAKIN KOLAČ S JABUK.48/1",255504,"ERLENBACHER","1800 G","KG",12.11,6.73,12.11,12.11,24.24,4004311148419,"hrana"
"1000G LEDO ROĐENDANSKA TORTA",139128,"LEDO","1000 G","KG",17.49,17.49,,17.49,17.49,3850116875873,"hrana"
"1100G MC TIRAM SAVOIARDI SM.",192341,"METRO CHEF","1100 G","KG",12.49,11.35,,12.49,12.49,4337182343851,"hrana"
"1250G ARO KOLAČ ŠLJIVA",216017,"ARO","1250 G","KG",6.99,5.59,,6.99,6.99,4337182217077,"hrana"
"1250G ARO KOLAČ SIR",216015,"ARO","1250 G","KG",7.24,5.79,,7.24,7.24,4337182239482,"hrana"
"1250G ARO KOLAČ JABUKA",216016,"ARO","1250 G","KG",6.24,4.99,,6.24,6.24,4337182239529,"hrana"
"36X10G MC MACARONS",231750,"METRO CHEF","360 G","KG",14.74,40.94,,14.74,14.74,4337182228967,"hrana"
"1600G MC CHEESECAKE 14/1",241326,"METRO CHEF","1600 G","KG",25.61,16.01,,25.61,25.61,4337182229377,"hrana"
"1000G MC BROWNIE 16/1",241327,"METRO CHEF","1000 G","KG",17.99,17.99,,17.99,17.99,4337182192336,"hrana"
"900G MC TART S BOROVNICAMA",241329,"METRO CHEF","900 G","KG",12.74,14.16,,12.74,12.74,4337182164456,"hrana"
"835G MC TART LIMUN",241330,"METRO CHEF","835 G","KG",9.99,11.96,,9.99,9.99,4337182164784,"hrana"
"900G ALMONDY CAKE GF",242481,"ALMONDY","900 G","KG",18.24,20.27,,18.24,18.24,7312930000214,"hrana"
"950G ČOKOLADNA TORTA 12/1",242690,"ERLENBACHER","950 G","KG",20.99,22.09,,20.99,20.99,4004311181928,"hrana"
"1050G BROWNIE MALINA GF 12/1",242691,"ERLENBACHER","1050 G","KG",21.24,20.23,,21.24,21.24,4004311190456,"hrana"
"1350G MORELLO KOCK VIŠNJA 12/1",248452,"ERLENBACHER","1350 G","KG",19.74,14.62,,19.74,19.74,4004311167144,"hrana"
"1000G ČOKO MOUSSE KOCKE 12/1",248454,"ERLENBACHER","1000 G","KG",16.86,16.86,,16.86,16.86,4004311142943,"hrana"
"1450G CHEESECAKE JAG.TORTA12/1",248460,"ERLENBACHER","1450 G","KG",23.74,16.37,,23.74,23.74,4004311122211,"hrana"
"1250G MC STRAWBERRY KOCKE 12/1",248462,"METRO CHEF","1250 G","KG",14.99,11.99,,14.99,14.74,4018905504680,"hrana"
"1300G MC APPLE CRUM.KOCKE 12/1",248463,"METRO CHEF","1300 G","KG",12.99,9.99,,12.99,12.99,4018905504666,"hrana"
"1550G LOTINA TORTA PISTAC.12/1",248492,"OMAMA","1550 G","KG",26.24,16.93,,26.24,26.24,3859893856020,"hrana"
"1500G HELGINA TORTA 12/1",253723,"OMAMA","1500 G","KG",21.24,14.16,,21.24,21.24,3859893856129,"hrana"
"1000G TORTA ČOKO/KARAMELA 12/1",255505,"ERLENBACHER","1000 G","KG",20.61,20.61,,20.61,20.61,4004311401316,"hrana"
"1570G VEGE TORTA OD MARE. 12/1",255506,"ERLENBACHER","1570 G","KG",23.49,14.96,,23.49,23.49,4004311402160,"hrana"
"2000G PITA OD JABU.MASLAC 12/1",255507,"ERLENBACHER","2000 G","KG",21.49,10.75,,21.49,21.49,4004311404393,"hrana"
"1700G KOLAČ VIŠNJA MASLAC 12/1",255508,"ERLENBACHER","1700 G","KG",20.99,12.35,,20.99,20.99,4004311404997,"hrana"
"1000G PEKAN BROWNIE 16/1",255683,"ERLENBACHER","1000 G","KG",19.99,19.99,,19.99,19.99,4004311405048,"hrana"
"1200G TART ČOK. I  MALINA 12/1",261558,"ERLENBACHER","1200 G","KG",20.61,17.18,,20.61,20.61,4004311401224,"hrana"
"1525G VEGAN CHEESECA. BOR.14/1",261559,"ERLENBACHER","1525 G","KG",27.99,18.35,,27.99,27.99,4004311405819,"hrana"
"4800G MEĐIMURSKA GIBANICA 30/1",265561,"OMAMA","4800 G","KG",56.24,11.72,,56.24,56.24,3859894132499,"hrana"
"1250G TORTA OD SIRA",266156,"LA LORRAINE","1250 G","KG",6.99,5.59,,6.99,6.99,8590325765712,"hrana"
"1550G VEGAN KOLAČ JAGODA 12/1",267268,"ERLENBACHER","1550 G","KG",18.74,12.09,,18.74,18.74,4004311195239,"hrana"
"2050G CHEESECAKE JAG GF 12/1",267269,"ERLENBACHER","2050 G","KG",31.24,15.24,,31.24,30.61,4004311187371,"hrana"
"1400G BAKLAVA PISTACIJA 14/1",267522,"AMELIE","1400 G","KG",39.36,28.11,,39.36,39.36,3859894132710,"hrana"
"170G CHIA PUDING BOROVNICA",268214,"","170 G","KG",2.11,12.41,2.11,2.11,2.11,3859894132659,"hrana"
"1250G ARO KOLAČ VIŠNJA",268531,"ARO","1250 G","KG",6.99,5.59,,6.99,6.99,4337182239444,"hrana"
"8X75G MC SEMIFREDO PISTACIJA",269502,"METRO CHEF","600 G","KG",10.74,17.9,,10.74,10.74,8026924076022,"hrana"
"8X85G MC SEMIFREDO ŠUMSKO VOĆE",269503,"METRO CHEF","680 G","KG",9.5,13.97,,9.5,9.5,8026924076046,"hrana"
"1200G MC TORTA DELLA NONNA",269505,"METRO CHEF","1200 G","KG",16.86,14.05,,16.86,16.86,8026924062117,"hrana"
"9X100G MC PANNA COTTA",269501,"METRO CHEF","900 G","KG",10.69,11.88,,10.69,10.69,8026924083204,"hrana"
"10X85G MC SEMIFREDO LJEŠNJAK",269504,"METRO CHEF","850 G","KG",18.75,22.06,,18.75,18.75,8026924082566,"hrana"
"6X100G MC DELIZIA AL LIMONE",269826,"METRO CHEF","600 G","KG",16.88,28.13,,16.88,16.88,8026924081750,"hrana"
"8X100G MC KOLAČ TRI ČOKOLADE",269827,"METRO CHEF","800 G","KG",26,32.5,,26,26,8026924087653,"hrana"
"8X100G MC CHEESECAKE ŠUM.VOĆE",269927,"METRO CHEF","800 G","KG",25,31.25,,25,25,8026924087646,"hrana"
"8X100G KOLAČ DOUX ROCHE",269929,"ALFONSO PETROSINO DESSERT","800 G","KG",25,31.25,,25,25,8052080382257,"hrana"
"8X100G KOLAČ PISTACIJA",269928,"ALFONSO PETROSINO DESSERT","800 G","KG",29,36.25,,29,29,8052080386507,"hrana"
"12X100G KIKIRIKI KARAMELA",269930,"ALFONSO PETROSINO DESSERT","1200 G","KG",40.5,33.75,,40.5,40.5,8052080386521,"hrana"
"950G KOLAČ BADEM KAREMELA",270571,"ERLENBACHER","950 G","KG",19.36,20.38,,19.36,19.36,4004311003725,"hrana"
"10X110G MC TIRAMISU",272552,"METRO CHEF","1100 G","KG",18.74,17.04,,18.74,,4337182257714,"hrana"
"2KG FRITULE OBIČNE",253631,"FLUXUS","2000 G","KG",14.24,7.12,,14.24,14.24,3858893113966,"hrana"
"16X75G MC ŠTRUKLI SIR",262686,"METRO CHEF","1200 G","KG",6.24,5.2,,6.24,6.24,3856024707824,"hrana"
"75G LEDO ZAGORSKI ŠTRUKLI",271542,"LEDO","75 G","KG",.65,8.67,,.65,,3850116064703,"hrana"
"75G LEDO ZAGORSKI ŠTRUKLI",271543,"LEDO","7500 G","KG",65,8.67,,65,,3850116064710,"hrana"
"55GX12 RIOBA CRNI DONUT",230041,"RIOBA","660 G","KG",6.61,10.02,,6.61,6.61,4333465998497,"hrana"
"15X70G DELIFR CROISS MAREL",183563,"DELIFRANCE","1050 G","KG",10.24,9.75,,10.24,10.24,3291811260340,"hrana"
"15X70G DELIFR CROISS ČOKO",183574,"DELIFRANCE","1050 G","KG",10.24,9.75,,10.24,10.24,3291811260883,"hrana"
"20X60G MC CROISSANT",210197,"METRO CHEF","1200 G","KG",9.49,7.91,,9.49,9.49,4337182231325,"hrana"
"75GX20 MC PAIN AU CHOCOLAT",210198,"METRO CHEF","1500 G","KG",12.49,8.33,,12.49,12.49,4337182231349,"hrana"
"1280G MC MINI MIX 48/1",210201,"METRO CHEF","1280 G","KG",13.11,10.24,,13.11,12.86,4337182235606,"hrana"
"24X90G LAVA KOLAČ ČOKOLADA",228961,"BELDESERT","2160 G","KG",34.99,16.2,,34.99,34.99,5414818032323,"hrana"
"18X110G MC ČOKOLADNI SOUFLE",229763,"METRO CHEF","1980 G","KG",26.24,13.25,,26.24,26.24,4337182216124,"hrana"
"20X60G PALAČINKE PRAZNE",230286,"PEKARNA PEČJAK","1200 G","KG",7.86,6.55,,7.86,7.86,3830001022933,"hrana"
"1430G PALAČINKE ČOKO/LJEŠ 20/1",230287,"PEKARNA PEČJAK","1430 G","KG",12.36,8.64,,12.36,12.36,3830001025262,"hrana"
"120X42G MINI DANISH PASTRY",235150,"GOURMAND","5040 G","KG",37.49,7.44,,37.49,37.49,5413141591996,"hrana"
"1430G PALAČINKE MARELICA 20/1",235152,"PEKARNA PEČJAK","1430 G","KG",12.11,8.47,,12.11,11.86,3830001025323,"hrana"
"1KG ARO MINI CROISSANT CCA25G",247667,"ARO","1000 G","KG",6.24,6.24,,6.24,6.24,3856024702768,"hrana"
"1KG ARO MINI CROIS.MARE.CCA30G",247668,"ARO","1000 G","KG",7.36,7.36,,7.36,7.36,3856024702751,"hrana"
"1KG ARO MINI CROIS.ČOKO CCA30G",247669,"ARO","1000 G","KG",7.36,7.36,,7.36,7.36,3856024702744,"hrana"
"1KG ARO MINI CROIS.ZEBRACCA30G",247670,"ARO","1000 G","KG",8.36,8.36,,8.36,8.36,3856024702737,"hrana"
"2X90G VEGAN LAVA KOLAČ GF",248476,"BELDESERT","180 G","KG",2.99,16.61,,2.99,2.99,5414818041462,"hrana"
"70X30G BRIDOR MINI CROISSANT",249735,"BRIDOR","2100 G","KG",24.99,11.9,,24.99,24.99,3419280009776,"hrana"
"1KG  MC MINI CROISSANT CCA30G",249856,"METRO CHEF","1000 G","KG",7.36,7.36,,7.36,7.36,3856024702812,"hrana"
"108X45G MINI CROISSANT SB ČOKO",262636,"GOURMAND","4860 G","KG",28.24,5.81,,28.24,28.24,5413141990997,"hrana"
"60X85G CROISSANT SB ČOKOLADA",262637,"GOURMAND","5100 G","KG",27.74,5.44,,27.74,27.74,5413141990928,"hrana"
"60X85G CROISSANT SB MARELICA",262638,"GOURMAND","5100 G","KG",27.74,5.44,,27.74,27.74,5413141990546,"hrana"
"80X65G CROISSANT S MASLACEM",266251,"LA LORRAINE","5200 G","KG",19.99,3.84,,19.99,19.99,8590325061395,"hrana"
"250X25G MINI CROISSANT",266252,"LA LORRAINE","6250 G","KG",24.99,4,,24.99,24.99,8590325081935,"hrana"
"12X90G LAVA CAKE PUMPKIN",268461,"BELDESERT","1080 G","KG",16.86,15.61,,16.86,16.86,5414818044227,"hrana"
"8X90G CROISSANT PISTACIJA",269590,"PEKARNA PEČJAK","720 G","KG",7.49,10.4,,7.49,7.49,3830053008893,"hrana"
"20X30G MINI RUSTIK PECIVO",270688,"LA LORRAINE","600 G","KG",2.36,3.93,,2.36,2.36,8590325279141,"hrana"
"24X70G MUFFIN",270691,"LA LORRAINE","1680 G","KG",16.74,9.96,,16.74,16.74,5410683075199,"hrana"
"20X30G MINI INTEGRAL PECIVO",270689,"LA LORRAINE","600 G","KG",2.69,4.48,,2.69,2.69,8590325279158,"hrana"
