NAZIV,SIFRA,MARKA,NETO_KOLICINA,JED_MJERE,MPC,CIJENA_PO_MJERI,POSEBNA_PRODAJA,NAJNIZA_30_DANA,SIDRENA_02_05,BARKOD,KATEGORIJA
"62ML SANITAR WC DUOBLOK FOREST",221391,"SANITAR",".062 L","L",2.44,40.67,,2.44,2.38,3850111981760,"sredstva za čišćenje"
"62ML SANITAR WC DUOBLOK LIMUN",221390,"SANITAR",".062 L","L",2.44,40.67,,2.44,2.38,3850111981753,"sredstva za čišćenje"
"750ML DUCK 5U1 TEK.ČIŠ.WC LAV",221920,"DUCK",".75 L","L",2.88,3.6,,2.88,3.1,5000204164527,"sredstva za čišćenje"
"750ML  DUCK 100%-TNI UNIŠ.KAM",221921,"DUCK",".75 L","L",3.21,4.01,,3.21,3.21,5000204545784,"sredstva za čišćenje"
"2X50G BREF TURQ.WAT.OC",223296,"BREF","100 G","KG",7.86,78.6,,7.86,7.86,9000101089769,"sredstva za čišćenje"
"2X50G BREF FLOWERS",234358,"BREF","100 G","KG",7.15,71.5,,7.15,7.15,9000101028614,"sredstva za čišćenje"
"3X50G BREF FLOWERS",234361,"BREF","150 G","KG",9.81,65.4,,9.81,8.93,9000101024067,"sredstva za čišćenje"
"3X50G BREF EUCALYPTUS",234362,"BREF","150 G","KG",9.81,65.4,,9.81,8.93,9000101018066,"sredstva za čišćenje"
"72ML DUCK FD REFIL LIME",237091,"DUCK",".072 L","L",5.2,35.14,,5.2,5.2,5000204341621,"sredstva za čišćenje"
"72ML DUCK FD REFIL LAVA",242193,"DUCK",".072 L","L",5.05,70.14,,5.05,5.05,5000204341683,"sredstva za čišćenje"
"700ML ARF WC LEMON POWER",246860,"ARF",".7 L","L",2.76,3.84,,2.76,2.76,3850105175045,"sredstva za čišćenje"
"3*55G ARF WC 5 DROPS LEMON",247024,"ARF","165 G","KG",5.48,33.21,,5.48,5.48,3850105174925,"sredstva za čišćenje"
"2X55G ARF WC 5 DROPS LEMON",250021,"ARF","110 G","KG",4.06,36.91,,4.06,3.96,3850105174895,"sredstva za čišćenje"
"2X55G ARF WC 5 DROPS PINE",250023,"ARF","110 G","KG",3.96,36,,3.96,3.96,3850105174987,"sredstva za čišćenje"
"288G WC NET ZA SEPTICKE JAME",257557,"WC NET","288 G","KG",13.28,46.11,,13.28,13.28,8004050193523,"sredstva za čišćenje"
"40G SANITAR WC OSVJE. CITRUS",258329,"SANITAR","40 G","KG",2.33,58.25,,2.33,2.33,3850111901126,"sredstva za čišćenje"
"40G SANITAR WC OSVJE. FLOWER",258330,"SANITAR","40 G","KG",2.33,58.25,,2.33,2.33,3850111901133,"sredstva za čišćenje"
"2X40G SANITAR WC OSVJEŽ. CITRUS",258332,"SANITAR","80 G","KG",4.11,51.38,,4.11,4.11,3850111901157,"sredstva za čišćenje"
"2X40G SANITAR WC OSVJEŽ. FLOWER",258333,"SANITAR","80 G","KG",4.11,51.38,,4.11,4.11,3850111901164,"sredstva za čišćenje"
"3X40G SANITAR WC OSVJEŽ. CITRUS",262805,"SANITAR","120 G","KG",5.3,44.17,,5.3,5.11,3850111901188,"sredstva za čišćenje"
"3X40G SANITAR WC OSVJEŽ. FLOWER",262806,"SANITAR","120 G","KG",5.3,44.17,,5.3,5.11,3850111901195,"sredstva za čišćenje"
"2X36G DUCK AQUABLUE MYST. LAG.",264033,"DUCK","72 G","KG",3.46,48.06,,3.46,3.46,5000204323894,"sredstva za čišćenje"
"750ML ARO SREDSTVO ZA WC",267295,"ARO",".75 L","L",1.93,2.57,,1.93,1.93,3856024709194,"sredstva za čišćenje"
"650ML SANITAR SPREJ",270956,"SANITAR",".65 L","L",3.49,5.09,,3.49,3.49,3850111505683,"sredstva za čišćenje"
"750ML SANITAR  GEL I KAMENAC",270957,"SANITAR",".75 L","L",2.69,3.4,,2.69,2.69,3850111505690,"sredstva za čišćenje"
"750ML AJAX STAKLO & SHINY TRIG",167498,"AJAX",".75 L","L",2.49,3.32,,2.49,2.49,8718951048799,"sredstva za čišćenje"
"750ML AJAX STAKLO CRYSTAL",26241,"AJAX",".75 L","L",2.49,3.32,,2.49,2.49,8718951048522,"sredstva za čišćenje"
"750ML AJAX STAKLO CRYSTAL",96399,"AJAX","9 L","L",29.85,3.32,,29.85,29.85,8718951351912,"sredstva za čišćenje"
"750ML AJAX STAKLO FR.BLUE",26243,"AJAX",".75 L","L",2.49,3.32,,2.49,2.49,8718951048461,"sredstva za čišćenje"
"750ML AJAX STAKLO FR.BLUE",96402,"AJAX","9 L","L",29.85,3.32,29.85,29.85,29.85,2602624103020,"sredstva za čišćenje"
"750ML AJAX STAKLO GREEN",148119,"AJAX",".75 L","L",2.49,3.32,,2.49,2.49,8714789842486,"sredstva za čišćenje"
"750ML AJAX STAKLO PINK TRIGGER",176090,"AJAX",".75 L","L",2.49,3.32,,2.49,2.49,8718951048669,"sredstva za čišćenje"
"1L AJAX FF LAGOON FLO.",27248,"AJAX","1 L","L",2.99,2.98,,2.99,3.61,8718951278486,"sredstva za čišćenje"
"1L AJAX FF LAGOON FLO.",123575,"AJAX","12 L","L",35.85,2.98,,35.85,43.35,8718951332621,"sredstva za čišćenje"
"1L AJAX FF SPR.FLOWER",27250,"AJAX","1 L","L",2.99,2.98,,2.99,3.61,8718951278424,"sredstva za čišćenje"
"1L AJAX FF SPR.FLOWER",123571,"AJAX","12 L","L",35.85,2.98,,35.85,43.35,8718951332386,"sredstva za čišćenje"
"1L AJAX FF UNIV.LILAC BREE",104393,"AJAX","1 L","L",2.99,2.98,,2.99,3.61,8718951278516,"sredstva za čišćenje"
"1L AJAX FF UNIV.LILAC BREE",123573,"AJAX","12 L","L",40.35,3.35,40.35,40.35,40.35,8718951337022,"sredstva za čišćenje"
"1L AJAX FF WILD FLOW.",37750,"AJAX","1 L","L",2.99,2.98,,2.99,3.61,8718951278394,"sredstva za čišćenje"
"1L AJAX FF WILD FLOW.",123572,"AJAX","12 L","L",40.35,3.35,,40.35,40.35,8718951665866,"sredstva za čišćenje"
"750ML PRONTO UNIV TEK POD",32143,"PRONTO",".75 L","L",5.49,7.32,,5.49,5.55,5000204604573,"sredstva za čišćenje"
"750ML PRONTO UNIV TEK POD",121025,"PRONTO","9 L","L",65.85,7.32,,65.85,66.6,5000204604580,"sredstva za čišćenje"
"750ML CILLIT BANG ODST.MASN.SP",68613,"CILLIT BANG",".75 L","L",6.49,8.65,,6.49,6.49,5900627024210,"sredstva za čišćenje"
"72/1 ARO UNIVER.MARAMICE ZA ČI",132366,"ARO","370 G","KG",1.75,4.73,,1.75,1.75,4337182142164,"sredstva za čišćenje"
"500G VIM UNIVERZALNO SR. CITRO",147247,"VIM","500 G","KG",1.99,3.98,,1.99,1.99,3850105136404,"sredstva za čišćenje"
"750ML CILLIT BANG UNI.SPR.BOCA",172001,"CILLIT BANG",".75 L","L",6.49,8.65,,6.49,6.49,5997321740690,"sredstva za čišćenje"
"750ML KH7 ODMAŠĆIVAČ S PUMPICO",185955,"KH-7",".75 L","L",5.13,6.84,,5.13,4.88,8420822115065,"sredstva za čišćenje"
"750ML PRONTO EXT.CARE BAD.",210907,"PRONTO",".75 L","L",5.63,7.51,,5.63,5.63,5000204635164,"sredstva za čišćenje"
"650ML SUPER JON ALKOHOL+OCAT",211847,"SUPER JON",".65 L","L",1.86,2.86,,1.86,1.86,3850111503382,"sredstva za čišćenje"
