ID naselja,Naziv naselja,Eksterni ID naselja,ID općine,Naziv općine,Eksterni ID općine,ID županije,Naziv županije,Eksterni ID županije
44032,Novo Brdo,44032,5452,Kravarsko,5452,1,Zagrebačka,1
44059,Novo Brdo Mrežničko,44059,990,Duga Resa,990,4,Karlovačka,4
44067,Novo Čiče,44067,5410,Velika Gorica,5410,1,Zagrebačka,1
44075,Novo Kusonje,44075,4995,Voćin,4995,10,Virovitičko-podravska,10
44083,Novo Mjesto,44083,4294,Sveti Ivan Zelina,4294,1,Zagrebačka,1
44091,Novo Nevesinje,44091,3255,Petlovac,3255,14,Osječko-baranjska,14
44105,Novo Petrovo Polje,44105,540,Crnac,540,10,Virovitičko-podravska,10
44113,Novo Pračno,44113,3913,Sisak,3913,3,Sisačko-moslavačka,3
44121,Novo Selište,44121,3280,Petrinja,3280,3,Sisačko-moslavačka,3
44130,Novo Selo,44130,639,Čazma,639,7,Bjelovarsko-bilogorska,7
44148,Novo Selo,44148,3514,Požega,3514,11,Požeško-slavonska,11
44156,Novo Selo,44156,3832,Selca,3832,17,Splitsko-dalmatinska,17
44164,Novo Selo,44164,3913,Sisak,3913,3,Sisačko-moslavačka,3
44172,Novo Selo,44172,4006,Slunj,4006,4,Karlovačka,4
44199,Novo Selo,44199,5088,Vrbovec,5088,1,Zagrebačka,1
44202,Novo Selo Bosiljevsko,44202,302,Bosiljevo,302,4,Karlovačka,4
44229,Novo Selo Garešničko,44229,183,Berek,183,7,Bjelovarsko-bilogorska,7
44237,Novo Selo Glinsko,44237,1210,Glina,1210,3,Sisačko-moslavačka,3
44245,Novo Selo Koreničko,44245,4553,Plitvička Jezera,4553,9,Ličko-senjska,9
44253,Novo Selo Lasinjsko,44253,2259,Lasinja,2259,4,Karlovačka,4
44261,Novo Selo Lekeničko,44261,5410,Velika Gorica,5410,1,Zagrebačka,1
44270,Novo Selo Na Dravi,44270,604,Čakovec,604,20,Međimurska,20
44288,Novo Selo Okićko,44288,1902,Klinča Sela,1902,1,Zagrebačka,1
44296,Novo Selo Palanječko,44296,3913,Sisak,3913,3,Sisačko-moslavačka,3
44300,Novo Selo Perjasičko,44300,78,Barilovići,78,4,Karlovačka,4
44318,Novo Selo Podravsko,44318,2518,Mali Bukovec,2518,5,Varaždinska,5
44326,Novo Selo Rok,44326,604,Čakovec,604,20,Međimurska,20
44334,Novo Selo Žumberačko,44334,3808,Samobor,3808,1,Zagrebačka,1
44342,Novo Topolje,44342,817,Donji Andrijevci,817,12,Brodsko-posavska,12
44369,Novo Virje,44369,5614,Novo Virje,5614,6,Koprivničko-križevačka,6
44377,Novo Zvečevo,44377,353,Brestovac,353,11,Požeško-slavonska,11
44385,Novoselci,44385,3344,Pleternica,3344,11,Požeško-slavonska,11
44393,Novoselci,44393,4260,Sunja,4260,3,Sisačko-moslavačka,3
44407,Novoselec,44407,2135,Križ,2135,1,Zagrebačka,1
44431,Novoseljani,44431,248,Bjelovar,248,7,Bjelovarsko-bilogorska,7
44415,Novoselo Bilajsko,44415,1309,Gospić,1309,9,Ličko-senjska,9
44423,Novoselo Trnovačko,44423,1309,Gospić,1309,9,Ličko-senjska,9
44440,Novska,44440,2933,Novska,2933,3,Sisačko-moslavačka,3
44458,Nunić,44458,1848,Kistanje,1848,15,Šibensko-kninska,15
44466,Nurkovac,44466,353,Brestovac,353,11,Požeško-slavonska,11
44474,Nuštar,44474,2941,Nuštar,2941,16,Vukovarsko-srijemska,16
44512,Obed,44512,5428,Orle,5428,1,Zagrebačka,1
44539,Obedišće,44539,2135,Križ,2135,1,Zagrebačka,1
44547,Obedišće Ježevsko,44547,3760,Rugvica,3760,1,Zagrebačka,1
44555,Oblakovac,44555,353,Brestovac,353,11,Požeško-slavonska,11
44563,Oborovo,44563,3760,Rugvica,3760,1,Zagrebačka,1
44571,Oborovo Bistransko,44571,5479,Bistra,5479,1,Zagrebačka,1
44580,Obradovci,44580,5240,Zdenci,5240,10,Virovitičko-podravska,10
44598,Obrankovec,44598,4375,Sveti Đurđ,4375,5,Varaždinska,5
44601,Obrezina,44601,5410,Velika Gorica,5410,1,Zagrebačka,1
44610,Obrež Kalnički,44610,5606,Kalnik,5606,6,Koprivničko-križevačka,6
44628,Obrež Vivodinski,44628,3158,Ozalj,3158,4,Karlovačka,4
44636,Obrež Zelinski,44636,4294,Sveti Ivan Zelina,4294,1,Zagrebačka,1
44644,Obrh,44644,5568,Ribnik,5568,4,Karlovačka,4
44652,Obrovac,44652,2968,Obrovac,2968,13,Zadarska,13
44679,Obrovac Sinjski,44679,3891,Sinj,3891,17,Splitsko-dalmatinska,17
44687,Obrovnica,44687,248,Bjelovar,248,7,Bjelovarsko-bilogorska,7
44695,Obrš,44695,2739,Mošćenička Draga,2739,8,Primorsko-goranska,8
44709,Očura,44709,2291,Lepoglava,2291,5,Varaždinska,5
44717,Očura,44717,5541,Novi Golubovec,5541,2,Krapinsko-zagorska,2
44725,Oćestovo,44725,1961,Knin,1961,15,Šibensko-kninska,15
44733,Odra,44733,1333,Grad Zagreb,1333,22,Grad Zagreb,22
44741,Odra Sisačka,44741,3913,Sisak,3913,3,Sisačko-moslavačka,3
44750,Odranski Obrež,44750,1333,Grad Zagreb,1333,22,Grad Zagreb,22
44768,Oglavci,44768,5827,Rogoznica,5827,15,Šibensko-kninska,15
44776,Ogulin,44776,2976,Ogulin,2976,4,Karlovačka,4
44784,Ogulinec,44784,5410,Velika Gorica,5410,1,Zagrebačka,1
44792,Ohnići,44792,4987,Vižinada,4987,18,Istarska,18
44806,Okešinec,44806,2135,Križ,2135,1,Zagrebačka,1
44814,Okić,44814,1791,Karlovac,1791,4,Karlovačka,4
44822,Oklaj,44822,2984,Promina,2984,15,Šibensko-kninska,15
44857,Oključna,44857,1970,Komiža,1970,17,Splitsko-dalmatinska,17
44865,Okoli,44865,4774,Velika Ludina,4774,3,Sisačko-moslavačka,3
44873,Okreti,44873,1759,Kanfanar,1759,18,Istarska,18
44881,Okrivje,44881,558,Čabar,558,8,Primorsko-goranska,8
44890,Okrug Donji,44890,5886,Okrug,5886,17,Splitsko-dalmatinska,17
44903,Okrug Gornji,44903,5886,Okrug,5886,17,Splitsko-dalmatinska,17
44911,Okrugli Vrh,44911,4405,Sveti Juraj Na Bregu,4405,20,Međimurska,20
44938,Okrugljača,44938,4499,Špišić Bukovica,4499,10,Virovitičko-podravska,10
44946,Okučani,44946,2992,Okučani,2992,12,Brodsko-posavska,12
44954,Okuje,44954,5410,Velika Gorica,5410,1,Zagrebačka,1
44962,Okuklje,44962,2682,Mljet,2682,19,Dubrovačko-neretvanska,19
44989,Okunšćak,44989,3760,Rugvica,3760,1,Zagrebačka,1
44997,Olib,44997,5207,Zadar,5207,13,Zadarska,13
45004,Oljasi,45004,4758,Velika,4758,11,Požeško-slavonska,11
45012,Omamno,45012,5509,Bedenica,5509,1,Zagrebačka,1
45039,Omanovac,45039,3182,Pakrac,3182,11,Požeško-slavonska,11
45047,Omiš,45047,3000,Omiš,3000,17,Splitsko-dalmatinska,17
45055,Omišalj,45055,3018,Omišalj,3018,8,Primorsko-goranska,8
45063,Omsica,45063,1317,Gračac,1317,13,Zadarska,13
45071,Ondić,45071,4677,Udbina,4677,9,Ličko-senjska,9
45080,Opanci,45080,2437,Lovreć,2437,17,Splitsko-dalmatinska,17
45098,Opasanjek,45098,5274,Zlatar-Bistrica,5274,2,Krapinsko-zagorska,2
45110,Opatija,45110,3026,Opatija,3026,8,Primorsko-goranska,8
45101,Opatija,45101,5444,Pokupsko,5444,1,Zagrebačka,1
45128,Opatinec,45128,1589,Ivanić-Grad,1589,1,Zagrebačka,1
45136,Opatovac,45136,469,Cernik,469,12,Brodsko-posavska,12
45144,Opatovac,45144,2399,Lovas,2399,16,Vukovarsko-srijemska,16
45152,Općevac,45152,639,Čazma,639,7,Bjelovarsko-bilogorska,7
