Naziv proizvoda;Sifra proizvoda;Marka proizvoda;Neto kolicina;Jedinica mjere;Maloprodajna cijena;Cijena po JM;MPC za vrijeme posebnog oblika prodaje;Najniza cijena u poslj. 30 dana;Sidrena cijena na 2.5.2025;Barkod;Kategorija proizvoda;
SIR TRAPIST 1/4 PASKA SIRANA;175050;PASKA SIRANA;0,600 KG;KG;;30,83;18,5;18,5;19,1;3859889426114;HRANA;
SUNKA U OVITKU PIK VRBOVEC;175077;PIK BREND;;KG;12,2;;;;12,2;3850139613100;HRANA;
HRENOVKE WUDY SIR 150 G AIA B2922;175082;AIA;0,150 KG;KOM;1,15;7,67;;;,99;8008110003449;HRANA;
HRENOVKE WUDY KLASIK 500 G AIA B2917;175085;AIA;0,500 KG;KOM;1,34;2,68;;;1,34;8008110001803;HRANA;
HRENOVKE WUDY KLASIK 1000 G AIA;175086;AIA;1 KG;KOM;2,69;2,69;;;2,69;8008110002275;HRANA;
SUNKA U OVITKU SLJEME;175100;PIK SLJEME;;KG;8,7;;;;8,79;3850139613117;HRANA;
DIMLJENA SUNKA 1/2 VP PIK VRBOVEC;175145;PIK BREND;;KG;12,95;;;;12,95;3850139602500;HRANA;
HRENOVKE BEZ OVITKA 250 G PIK VRBOVEC (341410);175157;PIK BREND;0,250 KG;KOM;2,69;10,76;;;2,69;3850139310825;HRANA;
SIR ISTARSKI MIJESANI CCA 2 KG AGROLAGUNA;175181;AGROLAGUNA;1 KG;KG;29,99;29,99;;;29,5;3858881191693;HRANA;
SIR TRAPIST KOLUT CCA 2 KG ZDENKA;175222;ZDENKA;1 KG;KG;14,99;14,99;;;14,99;2131001;HRANA;
SIR TRAPIST KORA 1/2 CCA 1 KG ZDENKA;175223;ZDENKA;;KG;14,99;;;;14,99;2821105;HRANA;
SIR TRAPIST KORA 1/4 CCA 0,5 KG ZDENKA;175224;ZDENKA;;KG;14,99;;;;14,99;2821101;HRANA;
SIR LIVANJSKI 1/4 VP CCA 500 G M.LIVNO;175244;MLJEKARA LIVNO;;KG;21,99;;;;21,99;2100520;HRANA;
SIR SVJEZI ZRNATI PRESIDENT 200 G DUKAT;175266;DUKAT-PRESIDENT;0,200 KG;KOM;2,49;12,45;;;2,29;3850355000814;HRANA;
MESNI NAREZAK 400 G GAVRILOVIC;175297;GAVRILOVIC;0,400 KG;KOM;4,59;11,48;;;4,59;3858881224490;HRANA;
BUDJOLA VP 1/2 GUSTI PIVAC;175356;GUSTI;;KG;19,69;;;;19,69;3858884996097;HRANA;
SIR SVJEZI VARAZDINSKI 800 G VINDIJA;175370;VINDIJA-Z'BREGOV;0,800 KG;KOM;4,99;6,24;;;4,99;3850108058420;HRANA;
BUDJOLA 1/1VP GUSTI PIVAC;175391;GUSTI;;KG;19,99;;;;19,99;3858884996080;HRANA;
HRENOVKE VP 200 G GAVRILOVIC;175433;GAVRILOVIC;0,200 KG;KOM;2,19;10,95;;;2,19;3858881224766;HRANA;
PURECI PARIZER 500 G  VINDON;175446;VINDIJA VINDON PRERADA;0,500 KG;KOM;1,99;3,98;;;2,25;3850159128561;HRANA;
POLI NAREZAK 150 G PERUTNINA;175476;PERUTNINA POLI;0,150 KG;KOM;1,99;13,27;;;1,79;3838977012897;HRANA;
HRENOVKA FRANKFURT 100 G AIA B2918;175488;AIA;0,100 KG;KOM;,45;4,50;;;,49;8008110003593;HRANA;
ZIMSKA SALAMA NAREZAK 100 G PIK VRBOVEC;175492;PIK BREND;0,100 KG;KOM;2,79;27,90;;;2,79;3850139010480;HRANA;
MORTADELA NAREZAK 150 G PIK VRBOVEC (342560);175493;PIK BREND;0,150 KG;KOM;2,69;17,93;;;2,69;3850139171044;HRANA;
KUHANA SUNKA NAREZAK 125 G PIK VRBOVEC;175494;PIK BREND;0,125 KG;KOM;;15,92;1,99;2,29;2,29;3850139360516;HRANA;
SIR SV. GRGUR PLODINE CCA 2,5 KG STANIC;175496;PLODINE;1 KG;KG;16,99;16,99;;;16,99;2706300;HRANA;
SIR RICOTTA 250 G ZANETTI;175577;ZANETTI;0,250 KG;KOM;1,99;7,96;;;1,79;8002710333111;HRANA;
SIR FETA 200 G KOLIOS;175627;KOLIOS;0,200 KG;KOM;3,29;16,45;;;3,29;5201704054176;HRANA;
SIR GOUDA BLOK BON CCA 3,2 KG MILCHWERKE SCHWABEN EG;175654;BON;1 KG;KG;;4,20;4,2;4,2;6,49;4028900043909;HRANA;
MOZZARELLA GALBANI 125 G DUKAT;175659;DUKAT-GALBANI;0,125 KG;KOM;2,49;19,92;;;2,19;8000430133035;HRANA;
EMENTALER PRESIDENT 250 G DUKAT;175662;DUKAT-PRESIDENT;0,250 KG;KOM;5,49;21,96;;;5,49;3228023910039;HRANA;
SIR MEKI SALAKIS 250 G PRESIDENT DUKAT;175685;DUKAT-PRESIDENT;0,250 KG;KOM;;15,96;3,99;4,99;4,79;3850355001637;HRANA;
SIR MEKI SALAKIS 500 G PRESIDENT DUKAT;175686;DUKAT-PRESIDENT;0,500 KG;KOM;;12,78;6,39;7,99;7,69;3850355001651;HRANA;
GORGONZOLA ERB.GALBANI CCA 1,5 KG DUKAT;175689;DUKAT-GALBANI;;KG;17,92;;;;17,92;3850355004492;HRANA;
SIR GOUDA BLOK CCA 2,5 KG VINDIJA;175705;VINDIJA-VINDIJA SIREVI;;KG;6,49;;;;6,49;3850108058055;HRANA;
KISELO VRHNJE 12% 900 G DUKAT;175765;DUKAT-BRZO I FINO;0,900 KG;KOM;3,99;4,43;;;3,99;3850354009863;HRANA;
SIR OTOCAN SIRANA MIH CCA 2,4 KG;175768;MIH SIRANA KOLAN;;KG;31,99;;;;23,99;;HRANA;
SIR KOLANJAC SIRANA MIH CCA 2 KG;175769;MIH SIRANA KOLAN;;KG;21,99;;;;20,99;;HRANA;
KISELO VRH.20% 900 G DUKAT;175787;DUKAT-BRZO I FINO;0,900 KG;KOM;4,49;4,99;;;4,49;3850354009887;HRANA;
SIR PICOK CLASSIC 140 G PRESIDENT DUKAT;175825;DUKAT-PRESIDENT;0,140 KG;KOM;2,29;16,36;;;1,99;3850355007660;HRANA;
SIR PICOK DIMSI 140 G PRESIDENT DUKAT;175828;DUKAT-PRESIDENT;0,140 KG;KOM;2,29;16,36;;;1,99;3850355007684;HRANA;
SIR TRAPIST VARAZDINSKI CCA 1,5 KG VINDIJA;175829;VINDIJA-VINDIJA SIREVI;1 KG;KG;12,4;12,40;;;12,89;3850108057331;HRANA;
SIR SVJEZI POSNI PROTEIN 250G VINDIJA;175833;VINDIJA-Z'BREGOV PROTEIN;0,250 KG;KOM;1,45;5,80;;;1,59;3850108058390;HRANA;
TIROLSKA KOBASICA 400 G PIK VRBOVEC;175855;PIK BREND;0,400 KG;KOM;4,39;10,98;;;4,39;3850139171235;HRANA;
PIK SUNKA FINA VAK PIK VRBOVEC;175878;PIK BREND;;KG;;;13,9;11,9;15,9;3850139614176;HRANA;
MORTADELA PIK VP PIK VRBOVEC (342510);175896;PIK BREND;;KG;8,5;;;;10,89;3850139613421;HRANA;
MORTADELA  S MASLINAMA VP PIK VRBOVEC (342720);175897;PIK BREND;;KG;8,5;;;;10,89;3850139613452;HRANA;
SIR TOAST GOUDA 150 G PRESIDENT DUKAT;175920;DUKAT-PRESIDENT;0,150 KG;KOM;1,99;13,27;;;1,79;3228022210048;HRANA;
SIR TOAST EMMENTALER 150 G DUKAT;175922;DUKAT-PRESIDENT;0,150 KG;KOM;1,99;13,27;;;1,79;3228022210062;HRANA;
SIR PIZZA PRESIDENT 350 G DUKAT;175923;DUKAT-PRESIDENT;0,350 KG;KOM;4,79;13,69;;;4,89;3850355001811;HRANA;
SIR TOPLJENI NATUR 140 G PRESIDENT DUKAT;175966;DUKAT-PRESIDENT;0,140 KG;KOM;2,29;16,36;;;2,29;3850355001750;HRANA;
SIR RIBANAC 100 G SIRELA DUKAT;175968;DUKAT-PRESIDENT;0,100 KG;KOM;3,19;31,90;;;3,19;3850355007622;HRANA;
HRENOVKE PAVO 1000 G AIA;175991;AIA;1 KG;KOM;2,69;2,69;;;2,69;8004248002200;HRANA;
SIR LISTICI CARDAS 150 G ZDENKA;175994;ZDENKA;0,150 KG;KOM;1,55;10,33;;;1,79;3858888591878;HRANA;
SIR LISTICI EDAMAC 150 G ZDENKA;175995;ZDENKA;0,150 KG;KOM;1,79;11,93;;;1,79;3858888591885;HRANA;
SIR LISTICI SANDWICH 150 G ZDENKA;175996;ZDENKA;0,150 KG;KOM;1,69;11,27;;;1,79;3858888591908;HRANA;
CAJNA KOBASICA NAREZAK 100 G MA PIK VRBOVEC;176009;PIK BREND;0,100 KG;KOM;2,65;26,50;;;2,65;3850139010435;HRANA;
STANCIJA PURECA SUNKA GAVRILOVIC;176028;GAVRILOVIC;;KG;16,9;;;;13,99;3859892502942;HRANA;
CAJNA KOBASICA  XXL 330 G MA PIK VRBOVEC;176032;PIK BREND;0,330 KG;KOM;6,89;20,88;;;6,89;3850139010619;HRANA;
RIBANI PASKI SIR 40 G PASKA SIRANA;176044;PASKA SIRANA;0,040 KG;KOM;,93;23,25;;;1,46;3859889426138;HRANA;
SIR SVJEZI ZAGREBACKI 375 G DUKAT;176045;DUKAT-PRESIDENT;0,375 KG;KOM;;6,37;2,39;2,99;2,99;3850355002498;HRANA;
KRACICE VP GUSTI  PPK;176048;GUSTI;;KG;4,9;;;;5,79;3858890188516;HRANA;
SIR TOPLJENI CLASSIC 140 G ZDENKA;176057;ZDENKA;0,140 KG;KOM;2,19;15,64;;;2,19;3858888590093;HRANA;
SIR TOPLJENI SANDWICH 140 G ZDENKA;176058;ZDENKA;0,140 KG;KOM;2,19;15,64;;;2,19;3858888590185;HRANA;
SIR TOPLJENI SPECIJAL 140 G ZDENKA;176059;ZDENKA;0,140 KG;KOM;2,19;15,64;;;2,19;3858888590147;HRANA;
SIR TOPLJENI CARDAS 140 G ZDENKA;176060;ZDENKA;0,140 KG;KOM;2,19;15,64;;;2,19;3858888590109;HRANA;
SIR TOPLJENI SUNKA 140 G ZDENKA;176061;ZDENKA;0,140 KG;KOM;2,19;15,64;;;2,19;3858888590116;HRANA;
SIR TOPLJENI LIGHT 140 G ZDENKA;176062;ZDENKA;0,140 KG;KOM;2,19;15,64;;;2,19;3858888590130;HRANA;
DIMLJENA SVINJSKA SPIC REBRA VP GUSTI PPK;176064;GUSTI;;KG;7,39;;;;7,39;3858890188929;HRANA;
SIR PLANINSKI CCA 4 KG STANIC;176069;BUCO;;KG;14,9;;;;18,57;;HRANA;
PANONA SALAMA VAK PIK VRBOVEC (365950);176108;PIK BREND;;KG;21,59;;;;21,59;3850139613254;HRANA;
SIR GOUDA PLODINE DUKAT;176120;PLODINE;1 KG;KG;6,39;6,39;;;6,39;3850355002719;HRANA;
SUNKA U OVITKU NAREZAK 125 G MA PIK VRBOVEC;176149;PIK BREND;0,125 KG;KOM;;15,92;1,99;1,99;2,39;3850139171051;HRANA;
SIR TILZIT FRIENDSHIP CCA 12 KG;176156;FRIENDSHIP;1 KG;KG;8,99;8,99;;;8,99;;HRANA;
DIM.LOPATICA S KOZOM VP GUSTI PPK;176184;GUSTI;;KG;;;5,7;6,3;7,99;3858890188752;HRANA;
PECENA SUNKA 1/2 GUSTI  PPK;176189;GUSTI;;KG;6,9;;;;9,49;3858890188080;HRANA;
ROL.LOPATICA S KOZOM VP GUSTI  PIVAC;176193;GUSTI;;KG;8,19;;;;8,19;3858884999005;HRANA;
SUHA PECENICA 1/2 VP GUSTI PIVAC;176206;GUSTI;;KG;19,49;;;;19,49;3858884996042;HRANA;
SIR SVJEZI POSNI 500 G ZDENKA PL.POS.;176236;ZDENKA;0,500 KG;KOM;2,89;5,78;;;2,89;3858888590215;HRANA;
MORTADELA S MASLINAMA 150 G MA PIK VRBOVEC;176253;PIK BREND;0,150 KG;KOM;2,69;17,93;;;2,69;3850139171099;HRANA;
EDAMAC 400 G ZDENKA;176263;ZDENKA;0,400 KG;KOM;5,69;14,23;;;5,69;3858888590475;HRANA;
EDAMAC 250 G ZDENKA;176264;ZDENKA;0,250 KG;KOM;3,69;14,76;;;3,69;3858888590482;HRANA;
GAUDA 400 G ZDENKA;176265;ZDENKA;0,400 KG;KOM;5,69;14,23;;;5,69;3858888590505;HRANA;
GAUDA 250 G ZDENKA;176266;ZDENKA;0,250 KG;KOM;3,69;14,76;;;3,69;3858888590512;HRANA;
PANONA SALAMA NAREZAK 100 G PIK VRBOVEC;176291;PIK BREND;0,100 KG;KOM;2,99;29,90;;;2,99;3850139010855;HRANA;
DIMLJENE KOLJENICE VP GUSTI PPK;176298;GUSTI;;KG;6,79;;;;6,79;3858890188844;HRANA;
PUCKA KOBASICA 280 G VP PLODINE  PPK;176307;PLODINE;0,280 KG;KOM;2,33;8,32;;;2,33;3858881616424;HRANA;
PUCKA KOBASICA 750 G VP PLODINE  PPK;176308;PLODINE;0,750 KG;KOM;4,69;6,25;;;4,69;3858881616431;HRANA;
KRANJSKA KOBASICA 320 G GUSTI  PPK;176309;GUSTI;0,320 KG;KOM;1,99;6,22;;;2,04;3858881616448;HRANA;
KRANJSKA KOBASICA 650 G GUSTI PPK;176310;GUSTI;0,650 KG;KOM;4,15;6,38;;;4,16;3858881616455;HRANA;
TIROLSKA GUSTI  PPK;176312;GUSTI;;KG;5,59;;;;5,59;3856025890310;HRANA;
KRANJSKA RFZ PLODINE  PPK;176317;PLODINE;;KG;6,4;;;;6,4;3858890188790;HRANA;
SUNKA U OVITKU GUSTI  PPK;176320;GUSTI;;KG;7,99;;;;7,99;3856025890693;HRANA;
LISTICI TOAST 120 G PLODINE;176329;DOLINE;0,120 KG;KOM;,99;8,25;;;,99;3856012854066;HRANA;
LISTICI SANDWICH 120 G PLODINE;176330;DOLINE;0,120 KG;KOM;,95;7,92;;;,99;3856012854073;HRANA;
DIMLJENI HAMBURGER 1/2 VP GUSTI PIVAC;176343;GUSTI;;KG;;;5,9;5,9;6,49;3858884996004;HRANA;
ZIMSKA SALAMA 330 G PIK  VRBOVEC (367003);176364;PIK BREND;0,330 KG;KOM;7,99;24,21;;;7,99;3850139010626;HRANA;
SIR DOR BLU BLOK CCA 3 KG KASEREI STANIC;176369;DOR BLU;;KG;32,99;;;;32,99;4000504212165;HRANA;
SUHE KOSTI RFZ PLODINE  PPK;176398;PLODINE;;KG;;;2,9;2,9;3,59;3858881611863;HRANA;
SIR EMENTALER 250G ZDENKA;176462;ZDENKA;0,250 KG;KOM;4,19;16,76;;;4,19;3858888591977;HRANA;
PURECA POSEBNA GUSTI  500 G PERUTNINA;176470;GUSTI;0,500 KG;KOM;1,59;3,18;;;1,59;3850220151665;HRANA;
PURECA POSEBNA 1000 G GUSTI PERUTNINA;176471;GUSTI;1 KG;KOM;2,79;2,79;;;2,79;3850220151764;HRANA;
PILECE HRENOVKE CLASSIC 2X100 G  VINDIJA;176473;VINDIJA CEKIN PRERADA;0,200 KG;KOM;1,69;8,45;;;1,69;3850159121272;HRANA;
GURMANIKA HRENOVKE 1000 G VINDIJA;176476;VINDIJA GURMANIKA;1 KG;KOM;2,69;2,69;;;2,69;3850159127106;HRANA;
ZIMSKA 300 G VP PODRAVKA;176503;PODRAVKA DANICA;0,300 KG;KOM;6,99;23,30;;;6,99;3858886466239;HRANA;
CAJNA KOBASICA 300 G VP PODRAVKA;176504;PODRAVKA DANICA;0,300 KG;KOM;5,79;19,30;;;5,71;3858886466260;HRANA;
KULEN 300 G VP PODRAVKA;176505;PODRAVKA DANICA;0,300 KG;KOM;6,49;21,63;;;6,49;3858886466383;HRANA;
BARANJSKA SLANINA CCA 400 G VP BELJE;176512;BELJE;;KG;21,99;;;;21,99;3850257051556;HRANA;
SIR SVJEZI POSNI PRESIDENT 200 G DUKAT;176518;DUKAT-PRESIDENT;0,200 KG;KOM;1,49;7,45;;;1,49;3850355002993;HRANA;
SIR DZIUGAS CCA 4,5 KG 6 MJ.;176545;DZIUGAS;;KG;15,99;;;;15,99;;HRANA;
MORTADELA SAN GIORGIO 1/2 VP GAVRILOVIC;176550;GAVRILOVIC;;KG;;;7,9;11,9;11,99;3858881227026;HRANA;
MORTADELA SAN GIORGIO S MASLINAMA 1/2 VP GAVRILOVIC;176551;GAVRILOVIC;;KG;11,9;;;;11,99;3858881227033;HRANA;
ZIMSKA NARESCI 80 G GAVRILOVIC;176562;GAVRILOVIC;0,080 KG;KOM;2,89;36,13;;;2,89;3858881227637;HRANA;
SRIJEMSKA NARESCI 80 G GAVRILOVIC;176563;GAVRILOVIC;0,080 KG;KOM;2,35;29,38;;;2,39;3858881227620;HRANA;
CAJNA SALAMA NARESCI 80 G GAVRILOVIC;176564;GAVRILOVIC;0,080 KG;KOM;2,35;29,38;;;2,39;3858881227613;HRANA;
SIR GRANA PADANO CCA 4 KG ZANETTI;176565;ZANETTI;1 KG;KG;21,99;21,99;;;20,99;2017656500004;HRANA;
MOZZARELLA 125 G MEGGLE;176567;MEGGLE;0,125 KG;KOM;1,89;15,12;;;1,89;3870085050019;HRANA;
SIR RIBANI 40 G MEGGLE;176568;MEGGLE;0,040 KG;KOM;1,25;31,25;;;1,25;3870085050026;HRANA;
GURMANIKA HRENOVKE 500 G VINDIJA;176583;VINDIJA GURMANIKA;0,500 KG;KOM;1,34;2,68;;;1,34;3850159127144;HRANA;
DELIKATES PURECA SUNKA 3800 G GAVRILOVIC;176591;GAVRILOVIC;;KG;14,99;;;;12,29;3858890205855;HRANA;
MORTADELA S.GIORGIO SA PISTACIJOM 1/2 VAC GAVRILOVIC;176592;GAVRILOVIC;;KG;;;7,9;7,9;11,99;3858881227804;HRANA;
SIR KOZJI 113G PRESIDENT DUKAT;176618;DUKAT-PRESIDENT;0,113 KG;KOM;2,99;26,46;;;2,99;3228022930052;HRANA;
MASLINE CRNE PECENE NETTO 2,5 KG BRAOUZIS FABIAN;176653;FABIAN;1 KG;KG;10,99;10,99;;;10,99;3859889307574;HRANA;
SIR SPORT DIMLJENI VP CCA 600 G ZDENKA;176676;ZDENKA;1 KG;KG;13,79;13,79;;;13,79;2821097;HRANA;
SIR MEKI SALAKIS RINFUZO DUKAT;176686;DUKAT-SALAKIS;1 KG;KG;7,8;7,80;;;7,89;3850355005932;HRANA;
SIR FETA 200 G KASEREI STANIC;176697;KASEREI;0,200 KG;KOM;4,79;23,95;;;4,79;4000504255629;HRANA;
TRAPIST KORA 250 G ZDENKA;176717;ZDENKA;0,250 KG;KOM;3,99;15,96;;;3,99;3858888593292;HRANA;
TRAPIST KORA 500 G PRESIDENT DUKAT;176730;DUKAT-PRESIDENT;0,500 KG;KOM;7,55;15,10;;;7,55;3850355007165;HRANA;
DIMLJENA PECENICA VP GUSTI  PPK;176731;GUSTI;;KG;;;7,9;7,9;10,99;3858884999050;HRANA;
SUNKA NAREZAK 150 G GAVRILOVIC;176736;GAVRILOVIC;0,150 KOM;KOM;2,15;14,33;;;2,15;3858881227927;HRANA;
SIR TARTUFI 125 G SIRANA GLIGORA;176744;SIRANA GLIGORA;0,125 KG;KOM;6,49;51,92;;;5,99;3858891770178;HRANA;
SIR DIMEK CCA 1,6 KG VINDIJA;176769;VINDIJA-VINDIJA SIREVI;;KG;;;10,9;12,99;12,99;3850108057751;HRANA;
SIR EMMENTAL PRESIDENT CCA 2,87 KG DUKAT;176795;DUKAT-PRESIDENT;;KG;13,99;;;;13,99;3850355003457;HRANA;
PIKO PARIZER NAREZAK 200 G PIK VRBOVEC;176796;PIK BREND;0,200 KG;KOM;2,85;14,25;;;2,85;3850139190892;HRANA;
SUNKA FINA NAREZAK 150 G PIK VRBOVEC;176823;PIK BREND;0,150 KG;KOM;2,49;16,60;;;2,99;3850139250671;HRANA;
SIR EMMENTALER 250 G GOLDSTEIG;176832;GOLDSTEIG;0,250 KG;KOM;3,89;15,56;;;3,89;4008432040416;HRANA;
PILECE HRENOVKE 200 G GAVRILOVIC;176862;GAVRILOVIC;0,200 KG;KOM;1,75;8,75;;;1,75;3858881225930;HRANA;
GALA PILECE HRENOVKE 200 G VAC GAVRILOVIC;176868;GAVRILOVIC GALA;0,200 KG;KOM;1,89;9,45;;;1,89;3858881225954;HRANA;
ROMANA  NARESCI 80 G GAVRILOVIC;176897;GAVRILOVIC;0,080 KG;KOM;2,59;32,38;;;2,59;3859892569792;HRANA;
GRANICARSKA KOBASICA NARESCI 80 G  GAVRILOVIC;176898;GAVRILOVIC;0,080 KG;KOM;2,35;29,38;;;2,39;3859892502522;HRANA;
ROSTILJSKA KOBASICA 460 G VP  PIK VRBOVEC;176909;PIK BREND;0,460 KG;KOM;4,19;9,11;;;5,99;3850139171587;HRANA;
BARANJSKA SLANINA 100 G MA BELJE;176921;BELJE;0,100 KG;KOM;3,09;30,90;;;3,19;3850257053253;HRANA;
CAJNA KOBASICA E300 G GUSTI PPK;176926;GUSTI;0,300 KG;KOM;3,99;13,30;;;3,99;3858881619258;HRANA;
KULEN E300 G GUSTI  PPK;176927;GUSTI;0,300 KG;KOM;3,89;12,97;;;3,89;3858881619265;HRANA;
ZIMSKA E300 G  GUSTI  PPK;176928;GUSTI;0,300 KG;KOM;3,89;12,97;;;3,89;3858881619272;HRANA;
SIR TOPLJENI 140 G DOLINE;176950;DOLINE;0,140 KG;KOM;1,29;9,21;;;1,29;3856018202496;HRANA;
SIR GOUDA 300 G PLODINE;176951;PLODINE;0,300 KG;KOM;3,69;12,30;;;3,69;3856018202472;HRANA;
SIR EDAMAC 300 G PLODINE;176952;PLODINE;0,300 KG;KOM;3,69;12,30;;;3,69;3856018202489;HRANA;
PAPRIKA PEPPADEW LJUTA CRVENA RINFUZO 3 KG (NETTO 1,2 KG);176953;PEPPADEW;1 KG;KG;16,99;16,99;;;16,99;6007788002800;HRANA;
PANONA S PAPRIKOM 1 KOM MA PIK VRBOVEC;176961;PIK BREND;;KG;21,59;;;;21,59;3850139616972;HRANA;
SIR TRAPIST BEZ KORE 600 G DOLINE;176962;DOLINE;0,600 KG;KOM;7,69;12,82;;;7,69;3858888594695;HRANA;
PECENI BUT BK 1/2 VP GUSTI PPK;176995;GUSTI;;KG;9,69;;;;9,69;3858890189001;HRANA;
HAMBURGER PECEN RFZ PLODINE  PIK VRBOVEC;177004;PLODINE;;KG;6,99;;;;6,99;3850139618549;HRANA;
HRENOVKE PIL/PUR 1000 G GUSTI B4334  AIA;177019;GUSTI;1 KG;KOM;2,39;2,39;;;2,39;3859892346157;HRANA;
DEBRECINKA 400 G VP MM;177028;MEDVEN;0,400 KG;KOM;4,99;12,48;;;4,99;3859892460723;HRANA;
DIMLJENA DOMACA KOBASICA ZA KUHANJE MAP MM;177035;MEDVEN;;KG;8,2;;;;12,4;3859893378805;HRANA;
PILECA POSEBNA 1000 G GUSTI PERUTNINA;177048;GUSTI;1 KG;KOM;2,89;2,89;;;2,89;3850220152549;HRANA;
SIR REZ.SANDWICH GOUDA 120 G PRESIDENT DUKAT;177058;DUKAT-PRESIDENT;0,120 KG;KOM;2,79;23,25;;;2,79;3850355007103;HRANA;
SIR KREM VIVIS 200 G VINDIJA;177064;VINDIJA-VIVIS;0,200 KG;KOM;2,19;10,95;;;2,19;3850108058482;HRANA;
SIR PARENJAK 1/4 PASKA SIRANA;177073;PASKA SIRANA;0,600 KG;KG;18,99;31,65;;;16,1;3859889426794;HRANA;
TRAPIST CARDAS 250 G ZDENKA;177103;ZDENKA;0,250 KG;KOM;3,79;15,16;;;3,79;3858888594947;HRANA;
SIR TRAPIST 300 G PLODINE;177104;PLODINE;0,300 KG;KOM;3,69;12,30;;;3,69;3856018214307;HRANA;
SIR RIBANI 40 G DOLINE PLODINE;177105;DOLINE;0,040 KG;KOM;,99;24,75;;;,99;3856018214314;HRANA;
SIR GOUDA JAGER CCA 2,5 KG;177106;JAGER;1 KG;KG;6,49;6,49;;;6,49;;HRANA;
SIR MAASDAM FRIENDSHIP CCA 12 KG UHRENHOLT;177108;FRIENDSHIP;1 KG;KG;10,99;10,99;;;10,99;2112413130828;HRANA;
SIR TILZIT BLOK PRESIDENT CCA 3 KG DUKAT;177111;DUKAT-PRESIDENT;;KG;12,49;;;;12,49;3850355007509;HRANA;
SIR TILZIT 400 G PRESIDENT DUKAT;177117;DUKAT-PRESIDENT;0,400 KG;KOM;5,39;13,48;;;5,19;3850355007387;HRANA;
SIR OVCJI MLADI DOLINE CCA 3,5 KG ARGIOLAS;177135;DOLINE;1 KG;KG;11,99;11,99;;;10,99;;HRANA;
SIR GORGONZOLA 150 G BALLARINI;177136;ZANETTI;0,150 KG;KOM;2,99;19,93;;;2,89;8011940101018;HRANA;
MASCARPONE 250 G ZANETTI;177137;ZANETTI;0,250 KG;KOM;2,89;11,56;;;2,59;8002710332992;HRANA;
SIR GRANA PAD.200 G ZANETTI;177138;ZANETTI;0,200 KG;KOM;4,79;23,95;;;4,39;8002710412007;HRANA;
SIR RIBANI GRANA PADANO 100 G ZANETTI;177139;ZANETTI;0,100 KG;KOM;2,59;25,90;;;2,49;8002710410041;HRANA;
SIR REZANI GOUDA 150 G DUKAT;177141;DUKAT-PRESIDENT;0,150 KG;KOM;3,19;21,27;;;3,19;3850355007080;HRANA;
SIR PARMIGGIANO REGGIANO 150 G 30 MJESECI;177147;PARMAREGGIO;0,150 KG;KOM;5,49;36,60;;;5,49;8010721997048;HRANA;
SIR PARM.REGGIANO 150 G PARMAREGGIO;177148;PARMAREGGIO;0,150 KG;KOM;4,39;29,27;;;4,39;8016129000847;HRANA;
SIR PARMAREGGIANO REGGIANO RIBANI 60 G;177149;PARMAREGGIO;0,060 KG;KOM;1,79;29,83;;;1,79;8010721974513;HRANA;
SIR PECORINO ROMANO 200 G PARMAREGGIO;177152;PARMAREGGIO;0,200 KG;KOM;5,99;29,95;;;5,79;8010721999929;HRANA;
SIR REZANI EDAMAC 150 G DOLINE PLODINE;177155;DOLINE;0,150 KG;KOM;2,09;13,93;;;2,09;3856018222432;HRANA;
SIR REZANI EMENTALER 150 G DOLINE PLODINE;177156;DOLINE;0,150 KG;KOM;2,09;13,93;;;2,09;3856018222456;HRANA;
SIR REZANI GAUDA 150 G DOLINE PLODINE;177157;DOLINE;0,150 KG;KOM;2,09;13,93;;;2,09;3856018222425;HRANA;
SIR REZANI TILZIT 150 G DOLINE PLODINE;177158;DOLINE;0,150 KG;KOM;2,09;13,93;;;2,09;3856018222449;HRANA;
SIR TOPLJENI DIMLJENI 140 G ZDENKA;177159;ZDENKA;0,140 KG;KOM;2,19;15,64;;;2,19;3858888595609;HRANA;
SIR TOPLJENI MEDITERAN 140 G ZDENKA;177160;ZDENKA;0,140 KG;KOM;2,19;15,64;;;2,19;3858888595616;HRANA;
SIR MEKI BIJELI RINFUZO 16 KG;177176;NORDEX;1 KG;KG;5,49;5,49;;;5,29;;HRANA;
SIR REZANI GOUDA 150 G VINDIJA;177183;VINDIJA-VINDIJA SIREVI;0,150 KG;KOM;2,99;19,93;;;2,99;3850108058215;HRANA;
SIR REZANI DIMEK 150 G VINDIJA;177209;VINDIJA-VINDIJA SIREVI;0,150 KG;KOM;2,99;19,93;;;2,99;3850108057744;HRANA;
BAKALAR NA BIJELO RINFUZO MILENA;177213;MILENA;1 KG;KG;22,99;22,99;;;20,99;3859890853046;HRANA;
GRANA PADANO 200 G GALBANI DUKAT;177222;DUKAT-GALBANI;0,200 KG;KOM;4,69;23,45;;;6,39;8000430388367;HRANA;
SIR DOMACI 300 G PRESIDENT DUKAT;177223;DUKAT-PRESIDENT;0,300 KG;KOM;5,99;19,97;;;5,49;3850355007202;HRANA;
SIR DOMACI DIMLJENI 300 G PRESIDENT DUKAT;177224;DUKAT-PRESIDENT;0,300 KG;KOM;5,99;19,97;;;5,49;3850355007226;HRANA;
