Naziv proizvoda;Sifra proizvoda;Marka proizvoda;Neto kolicina;Jedinica mjere;Maloprodajna cijena;Cijena po JM;MPC za vrijeme posebnog oblika prodaje;Najniza cijena u poslj. 30 dana;Sidrena cijena na 2.5.2025;Barkod;Kategorija proizvoda;
OLIVAL CICKOVO ULJE 60 ML;963338;OLIVAL;0,060 L;KOM;4,65;77,50;;;4,99;3859892751999;KOZMETIKA;
TJESENINA FETTUCCINE 500 G BARILLA KUTIJA;963492;BARILLA TJESTENINA OSTALO;0,500 KG;KOM;3,49;6,98;;;3,49;8076809523776;HRANA;
TJESTENINA INTEGRALNA FUSILLI 500 G BARILLA KUTIJA;963495;BARILLA TJESTENINA OSTALO;0,500 KG;KOM;2,95;5,90;;;2,95;8076809529457;HRANA;
VINO ALBA 0,75 L MATOSEVIC;963512;MATOSEVIC;0,750 L;KOM;16,02;21,36;;;16,02;3859892196011;PICE;
JACOBS CRONAT GOLD 75 G;963595;JACOBS;0,075 KG;KOM;5,99;79,87;;;4,99;8711000532751;HRANA;
VINO DJAKOVACKA GRASEVINA 5 L BB KUTJEVO;963877;KUTJEVO -VINA;5 L;KOM;19,99;4,00;;;19,99;3859888932906;PICE;
DUKATINO SVJEZI SIR S VOCEM 6X50 G DUKAT;964114;DUKAT-DUKATINO;0,300 KG;KOM;2,79;9,30;;;2,49;3850354015116;HRANA;
VISNJA 300 G LEDO;964210;LEDO VOCE;0,300 KG;KOM;;10,37;3,11;3,89;2,99;3850116053554;HRANA;
MASLAC 'Z BREGOV 125 G VINDIJA;964337;VINDIJA-Z'BREGOV;0,125 KG;KOM;1,99;15,92;;;2,19;3850108060126;HRANA;
KOST PRIRODNA KOZA 13 CM 130 G;964432;HOBBY PROGRAM;0,130 KG;KOM;2,39;18,38;;;2,39;3838964100460;HRANA;
UMAK BOLOGNESE STAKLO 410 G PODRAVKA;964729;PODRAVKA KONZERVIRANO;0,410 KG;KOM;4,29;10,46;;;3,99;3850104224850;HRANA;
KVIKI STAPICI 220 G PODRAVKA;964731;KVIKI;0,220 KG;KOM;1,79;8,14;;;1,79;3850104224966;HRANA;
KOMPOT VISNJA BEZ KOSTICE 680 G PODRAVKA STAKLO;964851;PODRAVKA KONZERVIRANO;0,340 KG;KOM;3,19;9,38;;;3,19;3850104223518;HRANA;
TJESTENINA SPAGHETTI 5 1 KG BARILLA KUTIJA;965165;BARILLA TJESTENINA - 17 VRSTA;1 KG;KOM;3,66;3,66;;;3,66;8076800105056;HRANA;
PUDING LJESNJAK/COK.125 G VINDIJA;965461;VINDIJA;0,125 KG;KOM;,65;5,20;;;,65;38503924;HRANA;
KEKS CAJNI KOLUTICI 800 G KRAS;965633;KRAS 2X MJ NARUDZBE;0,800 KG;KOM;3,89;4,86;;;3,89;3850120700079;HRANA;
HRANA ZA ZAMORCE 400 G;965891;HOBBY VITAKRAFT;0,400 KG;KOM;3,58;8,95;;;3,58;4008239106469;HRANA;
SOK ISO SPORT LIMUN GREJP 0,5 L PET GAZIRANI;966285;VINDIJA ISO SPORT;0,500 L;KOM;1,19;2,38;;;1,19;3850108071665;PICE;
ORAH KIFLICE 400 G;966343;;0,400 KG;KOM;3,69;9,23;;;3,69;3830056443332;HRANA;
